Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,16.41,16.41,16.41,16.41,16.41,16.41,16.41,18.65,19.53,19.69,PGEL
Reserves,131.01,126.09,106.03,101.49,103.21,106.75,114.41,150.37,156.7,171.15,PGEL
Borrowings,93.43,91.96,87.87,89.98,83.31,111.7,128.55,129.93,188.22,186.05,PGEL
Other Liabilities,46.65,53.5,72.75,59.03,81.54,95.08,88.69,113.95,135.67,203.18,PGEL
Total,287.5,287.96,283.06,266.91,284.47,329.94,348.06,412.9,500.12,580.07,PGEL
Net Block,121.58,144.02,137.62,140.82,146.36,162.74,179.26,192.66,253.78,273.13,PGEL
Capital Work in Progress,20.91,0.68,2.39,6.09,1.16,2.72,22.94,33.54,5.49,6.01,PGEL
Investments,29.8,26.17,25.35,,,,,,,0.17,PGEL
Other Assets,115.21,117.09,117.7,120.0,136.95,164.48,145.86,186.7,240.85,300.76,PGEL
Total,287.5,287.96,283.06,266.91,284.47,329.94,348.06,412.9,500.12,580.07,PGEL
Receivables,17.73,35.36,49.79,44.41,54.06,67.49,50.71,84.71,101.19,147.26,PGEL
Inventory,23.88,27.86,16.92,33.25,45.87,63.13,59.31,68.25,84.58,93.29,PGEL
Cash & Bank,11.78,4.49,0.11,0.11,0.57,4.22,4.13,6.37,17.96,14.96,PGEL
No. of Equity Shares,16414332.0,16414332.0,16414332.0,16414332.0,16414332.0,16414332.0,16414332.0,18654332.0,19528916.0,19693916.0,PGEL
New Bonus Shares,,,,,,,,,,,PGEL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,PGEL
