Report Date,2012-06-30 00:00:00,2013-06-30 00:00:00,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,Company_Name
Sales,1297.41,1676.56,2050.94,2333.79,2275.39,2320.4,2455.29,2946.85,3001.99,3574.14,PGHH
Raw Material Cost,540.95,737.89,807.91,922.16,895.48,966.08,887.05,1274.53,1114.57,1169.52,PGHH
Change in Inventory,16.67,33.39,-4.88,1.24,10.71,51.11,-61.64,37.73,7.82,10.22,PGHH
Power and Fuel,9.84,13.89,15.1,12.18,11.37,11.23,11.82,12.48,11.58,12.28,PGHH
Other Mfr. Exp,41.02,59.09,70.96,72.58,82.62,90.45,95.54,153.7,310.55,328.87,PGHH
Employee Cost,64.88,99.93,95.3,113.67,117.68,114.43,115.74,134.5,174.16,202.76,PGHH
Selling and admin,442.16,533.83,610.53,703.42,526.9,487.75,581.36,720.47,687.81,897.27,PGHH
Other Expenses,14.66,8.97,23.68,15.53,43.71,26.89,80.62,70.84,104.86,87.53,PGHH
Other Income,50.56,61.17,78.31,63.57,85.1,67.25,17.94,44.53,41.54,37.53,PGHH
Depreciation,28.08,31.31,35.18,52.53,51.67,59.74,52.37,49.78,47.88,47.66,PGHH
Interest,0.03,0.01,5.39,5.72,6.27,10.42,5.32,5.48,6.07,6.11,PGHH
Profit before tax,223.02,286.2,460.32,500.81,635.5,671.77,581.77,607.33,593.87,869.89,PGHH
Tax,41.73,82.98,158.3,154.67,213.0,239.04,207.18,188.2,160.79,218.1,PGHH
Net profit,181.29,203.22,302.02,346.14,422.5,432.73,374.59,419.13,433.08,651.79,PGHH
