Report Date,2012-06-30 00:00:00,2013-06-30 00:00:00,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,Company_Name
Equity Share Capital,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,PGHH
Reserves,664.58,772.86,970.44,1196.22,1619.32,493.66,773.04,876.6,1125.4,681.81,PGHH
Borrowings,,,,,,,,,,,PGHH
Other Liabilities,401.5,443.99,505.04,719.0,514.63,634.0,619.85,707.98,670.54,918.44,PGHH
Total,1098.54,1249.31,1507.94,1947.68,2166.41,1160.12,1425.35,1617.04,1828.4,1632.71,PGHH
Net Block,198.39,214.87,239.51,308.79,317.43,285.71,250.11,234.22,206.5,183.81,PGHH
Capital Work in Progress,28.91,41.24,98.17,38.98,34.72,40.84,21.48,14.55,22.15,37.58,PGHH
Investments,,,,,,,,,,,PGHH
Other Assets,871.24,993.2,1170.26,1599.91,1814.26,833.57,1153.76,1368.27,1599.75,1411.32,PGHH
Total,1098.54,1249.31,1507.94,1947.68,2166.41,1160.12,1425.35,1617.04,1828.4,1632.71,PGHH
Receivables,48.15,80.87,86.05,113.94,149.62,132.8,148.47,181.37,166.34,142.35,PGHH
Inventory,92.27,118.9,118.52,119.07,127.48,177.35,123.61,203.42,205.05,249.3,PGHH
Cash & Bank,182.37,166.03,269.08,618.58,1073.18,116.83,399.59,540.45,902.5,660.24,PGHH
No. of Equity Shares,32460736.0,32460736.0,32460736.0,32460736.0,32460736.0,32460736.0,32460736.0,32460736.0,32460736.0,32460736.0,PGHH
New Bonus Shares,,,,,,,,,,,PGHH
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,PGHH
