,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,366.95,369.85,360.0,367.55,134958,PNBHOUSING
1,2021-01-04 00:00:00+05:30,369.0,376.35,369.0,373.6,206769,PNBHOUSING
2,2021-01-05 00:00:00+05:30,373.6,373.65,365.05,370.85,135729,PNBHOUSING
3,2021-01-06 00:00:00+05:30,370.9,378.0,364.05,366.3,241176,PNBHOUSING
4,2021-01-07 00:00:00+05:30,370.0,383.9,369.65,376.9,607236,PNBHOUSING
5,2021-01-08 00:00:00+05:30,380.0,385.2,371.35,375.75,300646,PNBHOUSING
6,2021-01-11 00:00:00+05:30,378.0,378.0,364.0,366.4,285648,PNBHOUSING
7,2021-01-12 00:00:00+05:30,368.25,377.0,364.0,369.1,226601,PNBHOUSING
8,2021-01-13 00:00:00+05:30,376.0,383.0,366.2,376.1,616043,PNBHOUSING
9,2021-01-14 00:00:00+05:30,378.0,378.0,369.2,370.0,175400,PNBHOUSING
10,2021-01-15 00:00:00+05:30,370.1,371.85,361.0,363.5,140137,PNBHOUSING
11,2021-01-18 00:00:00+05:30,361.05,368.0,348.0,350.9,244592,PNBHOUSING
12,2021-01-19 00:00:00+05:30,351.5,361.85,351.45,357.95,206390,PNBHOUSING
13,2021-01-20 00:00:00+05:30,361.8,376.45,360.95,372.45,721337,PNBHOUSING
14,2021-01-21 00:00:00+05:30,375.0,379.9,366.2,371.05,343030,PNBHOUSING
15,2021-01-22 00:00:00+05:30,374.9,376.5,362.55,368.2,227847,PNBHOUSING
16,2021-01-25 00:00:00+05:30,374.0,374.0,356.85,361.4,139358,PNBHOUSING
17,2021-01-27 00:00:00+05:30,360.6,360.6,351.1,353.05,136985,PNBHOUSING
18,2021-01-28 00:00:00+05:30,332.0,344.9,325.05,341.95,477259,PNBHOUSING
19,2021-01-29 00:00:00+05:30,350.8,351.15,332.6,335.35,199097,PNBHOUSING
20,2021-02-01 00:00:00+05:30,337.25,347.9,332.85,338.15,502468,PNBHOUSING
