,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,26.0,26.45,24.5,25.0,84005,PNC
1,2021-01-04 00:00:00+05:30,26.0,26.0,23.25,23.85,93062,PNC
2,2021-01-05 00:00:00+05:30,24.0,25.5,22.1,23.7,77098,PNC
3,2021-01-06 00:00:00+05:30,23.95,24.45,22.25,22.85,49389,PNC
4,2021-01-07 00:00:00+05:30,23.0,24.0,23.0,23.45,26255,PNC
5,2021-01-08 00:00:00+05:30,23.5,23.75,22.75,22.8,31951,PNC
6,2021-01-11 00:00:00+05:30,22.1,23.2,22.0,22.2,35750,PNC
7,2021-01-12 00:00:00+05:30,22.25,22.3,21.75,21.9,20040,PNC
8,2021-01-13 00:00:00+05:30,22.0,23.0,20.5,21.2,51066,PNC
9,2021-01-14 00:00:00+05:30,21.45,21.45,20.55,20.6,24135,PNC
10,2021-01-15 00:00:00+05:30,21.15,22.0,20.05,21.45,32057,PNC
11,2021-01-18 00:00:00+05:30,21.95,22.65,20.55,21.3,32325,PNC
12,2021-01-19 00:00:00+05:30,21.35,22.1,21.3,21.3,6225,PNC
13,2021-01-20 00:00:00+05:30,21.4,21.45,20.85,21.25,6791,PNC
14,2021-01-21 00:00:00+05:30,20.55,21.15,20.55,20.75,8369,PNC
15,2021-01-22 00:00:00+05:30,20.75,21.3,20.3,20.7,10238,PNC
16,2021-01-25 00:00:00+05:30,20.85,20.9,19.15,19.95,15896,PNC
17,2021-01-27 00:00:00+05:30,20.15,20.15,19.0,19.3,7150,PNC
18,2021-01-28 00:00:00+05:30,19.65,19.7,19.25,19.6,2043,PNC
19,2021-01-29 00:00:00+05:30,20.0,20.0,18.85,19.15,10893,PNC
20,2021-02-01 00:00:00+05:30,19.75,20.15,18.1,19.3,15948,PNC
21,2021-02-02 00:00:00+05:30,19.35,21.15,19.0,20.0,13640,PNC
22,2021-02-03 00:00:00+05:30,20.9,21.0,19.75,20.5,12364,PNC
23,2021-02-04 00:00:00+05:30,20.0,20.75,19.95,20.1,6500,PNC
24,2021-02-05 00:00:00+05:30,21.0,21.0,19.0,19.5,11676,PNC
25,2021-02-08 00:00:00+05:30,19.1,20.0,19.1,19.6,14448,PNC
26,2021-02-09 00:00:00+05:30,20.5,20.5,19.0,19.1,10036,PNC
27,2021-02-10 00:00:00+05:30,19.25,19.4,18.65,18.85,9614,PNC
28,2021-02-11 00:00:00+05:30,18.85,19.65,18.15,19.1,10332,PNC
29,2021-02-12 00:00:00+05:30,19.9,19.95,19.0,19.1,5133,PNC
30,2021-02-15 00:00:00+05:30,21.0,21.0,19.35,20.0,17038,PNC
31,2021-02-16 00:00:00+05:30,20.75,20.75,18.65,18.85,43566,PNC
32,2021-02-17 00:00:00+05:30,19.25,19.3,17.3,17.95,26823,PNC
33,2021-02-18 00:00:00+05:30,18.65,18.95,17.9,18.2,12239,PNC
34,2021-02-19 00:00:00+05:30,18.4,19.4,17.85,18.1,10192,PNC
35,2021-02-22 00:00:00+05:30,18.4,18.4,16.55,17.9,25799,PNC
36,2021-02-23 00:00:00+05:30,18.0,18.5,17.55,17.85,7241,PNC
37,2021-02-24 00:00:00+05:30,17.85,19.5,17.05,18.25,16375,PNC
38,2021-02-25 00:00:00+05:30,18.25,18.95,17.55,17.95,20233,PNC
39,2021-02-26 00:00:00+05:30,18.25,18.25,17.7,17.8,7584,PNC
40,2021-03-01 00:00:00+05:30,18.75,18.75,17.8,18.1,332112,PNC
41,2021-03-02 00:00:00+05:30,18.6,19.2,18.1,18.75,86180,PNC
42,2021-03-03 00:00:00+05:30,19.3,20.6,18.8,20.6,124892,PNC
43,2021-03-04 00:00:00+05:30,20.7,21.6,19.75,20.4,65324,PNC
44,2021-03-05 00:00:00+05:30,20.5,21.15,19.85,20.8,36991,PNC
45,2021-03-08 00:00:00+05:30,21.4,22.85,20.75,22.6,182238,PNC
46,2021-03-09 00:00:00+05:30,23.0,24.2,22.0,22.35,78100,PNC
47,2021-03-10 00:00:00+05:30,22.25,23.25,22.05,22.5,23941,PNC
48,2021-03-12 00:00:00+05:30,22.8,23.0,21.25,21.45,14470,PNC
49,2021-03-15 00:00:00+05:30,21.65,23.55,21.2,23.55,55653,PNC
50,2021-03-16 00:00:00+05:30,25.9,25.9,25.9,25.9,44071,PNC
51,2021-03-17 00:00:00+05:30,27.15,27.15,27.15,27.15,50264,PNC
52,2021-03-18 00:00:00+05:30,28.5,28.5,28.5,28.5,16267,PNC
53,2021-03-19 00:00:00+05:30,29.9,29.9,29.9,29.9,63741,PNC
54,2021-03-22 00:00:00+05:30,31.35,31.35,31.35,31.35,143612,PNC
55,2021-03-23 00:00:00+05:30,32.9,32.9,32.9,32.9,383529,PNC
56,2021-03-24 00:00:00+05:30,34.5,34.5,34.5,34.5,67103,PNC
57,2021-03-25 00:00:00+05:30,36.2,36.2,36.2,36.2,144511,PNC
58,2021-03-26 00:00:00+05:30,38.0,38.0,38.0,38.0,96673,PNC
