Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.04,0.04,0.04,0.04,0.04,0.05,POLICYBZR
Reserves,,,,,346.35,429.36,920.82,955.75,2041.79,2939.76,POLICYBZR
Borrowings,,,,,,,,,2.06,13.51,POLICYBZR
Other Liabilities,,,,,17.66,63.56,47.99,12.27,20.32,45.25,POLICYBZR
Total,,,,,364.05,492.96,968.85,968.06,2064.21,2998.57,POLICYBZR
Net Block,,,,,5.5,2.68,1.79,1.82,3.48,15.73,POLICYBZR
Capital Work in Progress,,,,,,,,,,,POLICYBZR
Investments,,,,,276.24,380.48,884.91,659.26,914.22,1146.48,POLICYBZR
Other Assets,,,,,82.31,109.8,82.15,306.98,1146.51,1836.36,POLICYBZR
Total,,,,,364.05,492.96,968.85,968.06,2064.21,2998.57,POLICYBZR
Receivables,,,,,26.53,30.32,27.56,4.13,7.76,11.95,POLICYBZR
Inventory,,,,,,,,,,,POLICYBZR
Cash & Bank,,,,,29.24,23.19,16.19,201.94,1068.29,1751.34,POLICYBZR
No. of Equity Shares,,,,,36018.0,36018.0,36073.0,38017.0,38027.0,228195.0,POLICYBZR
New Bonus Shares,,,,,,,,,,,POLICYBZR
Face value,,,,,10.0,10.0,10.0,10.0,10.0,2.0,POLICYBZR
