Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,10.75,10.75,10.94,12.58,14.71,14.71,14.71,14.71,14.71,14.71,POWERMECH
Reserves,143.62,192.47,262.56,341.36,538.37,602.45,666.54,761.51,871.36,836.67,POWERMECH
Borrowings,117.46,164.76,208.77,256.97,235.02,193.24,282.25,364.96,515.38,514.51,POWERMECH
Other Liabilities,300.12,395.7,471.11,421.31,490.82,454.68,477.61,644.41,756.58,765.48,POWERMECH
Total,571.95,763.68,953.38,1032.22,1278.92,1265.08,1441.11,1785.59,2158.03,2131.37,POWERMECH
Net Block,169.25,169.3,173.21,178.42,191.77,161.34,148.59,155.01,153.66,143.32,POWERMECH
Capital Work in Progress,3.56,6.9,6.6,9.2,7.2,7.91,5.65,3.24,2.56,5.28,POWERMECH
Investments,0.21,0.26,5.38,6.85,6.85,9.48,11.08,13.86,13.86,16.24,POWERMECH
Other Assets,398.93,587.22,768.19,837.75,1073.1,1086.35,1275.79,1613.48,1987.95,1966.53,POWERMECH
Total,571.95,763.68,953.38,1032.22,1278.92,1265.08,1441.11,1785.59,2158.03,2131.37,POWERMECH
Receivables,147.57,174.2,148.2,194.17,270.72,265.47,315.02,388.57,467.87,486.51,POWERMECH
Inventory,11.06,19.25,24.29,30.68,30.95,41.81,33.39,79.26,115.23,106.81,POWERMECH
Cash & Bank,42.02,56.58,68.73,67.04,42.75,32.34,72.37,85.26,68.68,62.18,POWERMECH
No. of Equity Shares,10753000.0,10750000.0,10940000.0,12582764.0,14710764.0,14710764.0,14710764.0,14700000.0,14700000.0,14700000.0,POWERMECH
New Bonus Shares,,,,1080000.0,,,,,,,POWERMECH
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,POWERMECH
