Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56,11.56,PRECWIRE
Reserves,179.93,190.63,191.54,175.28,183.24,201.17,224.95,253.87,271.24,304.49,PRECWIRE
Borrowings,64.2,95.68,53.35,37.68,27.79,37.8,33.43,29.5,31.04,21.98,PRECWIRE
Other Liabilities,196.66,232.73,178.96,133.08,134.13,152.49,258.76,294.85,230.15,447.85,PRECWIRE
Total,452.35,530.6,435.41,357.6,356.72,403.02,528.7,589.78,543.99,785.88,PRECWIRE
Net Block,147.44,134.0,126.86,86.85,80.29,81.81,79.04,112.89,115.42,109.81,PRECWIRE
Capital Work in Progress,2.62,2.94,2.67,2.77,11.94,5.18,10.43,10.38,3.91,1.62,PRECWIRE
Investments,0.5,19.7,,,1.86,1.33,1.42,1.48,1.48,28.45,PRECWIRE
Other Assets,301.79,373.96,305.88,267.98,262.63,314.7,437.81,465.03,423.18,646.0,PRECWIRE
Total,452.35,530.6,435.41,357.6,356.72,403.02,528.7,589.78,543.99,785.88,PRECWIRE
Receivables,168.34,192.6,186.0,137.5,135.01,181.44,253.92,295.44,268.64,440.11,PRECWIRE
Inventory,76.11,98.13,75.42,95.26,97.44,107.0,108.05,123.05,106.71,166.04,PRECWIRE
Cash & Bank,27.08,39.74,26.6,18.2,17.06,15.2,61.34,34.06,38.38,33.32,PRECWIRE
No. of Equity Shares,11565223.0,11565223.0,11565223.0,11565223.0,23130446.0,23130446.0,23130446.0,23130446.0,23130446.0,23130446.0,PRECWIRE
New Bonus Shares,,,,,,,,,,,PRECWIRE
Face value,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,PRECWIRE
