Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2011-03-31 00:00:00,2012-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,2.5,2.75,4.5,6.14,6.14,12.29,RAJMET
Reserves,,,,,0.02,0.37,3.53,7.2,8.36,7.29,RAJMET
Borrowings,,,,,0.07,15.36,22.13,25.37,40.05,42.58,RAJMET
Other Liabilities,,,,,5.85,9.09,8.09,1.41,8.26,27.52,RAJMET
Total,,,,,8.44,27.57,38.25,40.12,62.81,89.68,RAJMET
Net Block,,,,,0.12,0.36,0.57,6.59,16.92,24.67,RAJMET
Capital Work in Progress,,,,,,,,0.95,4.58,,RAJMET
Investments,,,,,,,,,,,RAJMET
Other Assets,,,,,8.32,27.21,37.68,32.58,41.31,65.01,RAJMET
Total,,,,,8.44,27.57,38.25,40.12,62.81,89.68,RAJMET
Receivables,,,,,6.27,21.15,24.8,20.19,18.46,37.77,RAJMET
Inventory,,,,,1.97,5.11,5.18,7.55,17.14,22.67,RAJMET
Cash & Bank,,,,,0.01,0.11,1.38,1.44,0.63,0.12,RAJMET
No. of Equity Shares,,,,,2500000.0,2750000.0,4500000.0,6144000.0,6144000.0,12288000.0,RAJMET
New Bonus Shares,,,,,,,,,,,RAJMET
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,RAJMET
