Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,214.95,252.93,272.04,293.45,324.73,375.2,419.67,426.71,508.7,598.02,RBLBANK
Reserves,927.26,1352.73,1612.16,1935.95,2664.5,3960.37,6264.3,7120.61,10074.25,12064.56,RBLBANK
Borrowings,5937.88,11077.87,15494.14,24061.95,34884.87,42567.85,53163.7,70226.49,74818.95,84347.16,RBLBANK
Other Liabilities,127.17,278.75,818.74,812.3,1286.99,1771.35,2003.09,2585.01,3575.87,3640.87,RBLBANK
Total,7207.26,12962.28,18197.08,27103.65,39161.09,48674.77,61850.76,80358.82,88977.77,100650.61,RBLBANK
Net Block,45.43,83.04,110.2,153.33,158.24,224.16,302.71,362.54,407.67,442.36,RBLBANK
Capital Work in Progress,12.34,10.14,23.1,10.09,19.05,34.55,31.29,39.94,62.09,24.12,RBLBANK
Investments,2264.72,5516.05,6477.0,9792.3,14436.03,13481.71,15447.5,16840.36,18149.74,23230.42,RBLBANK
Other Assets,4884.77,7353.05,11586.78,17147.93,24547.77,34934.35,46069.26,63115.98,70358.27,76953.71,RBLBANK
Total,7207.26,12962.28,18197.08,27103.65,39161.09,48674.77,61850.76,80358.82,88977.77,100650.61,RBLBANK
Receivables,,,,,,,,,,,RBLBANK
Inventory,,,,,,,,,,,RBLBANK
Cash & Bank,586.12,688.58,1192.25,2170.33,2449.92,4193.65,4284.44,6602.11,8857.18,13424.22,RBLBANK
No. of Equity Shares,214947396.0,252924711.0,272040198.0,293449630.0,324728130.0,375203136.0,419667547.0,426709728.0,508698564.0,598020398.0,RBLBANK
New Bonus Shares,,,,,,,,,,,RBLBANK
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,RBLBANK
