Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,11110.0,11267.0,11176.0,11925.0,11180.0,3537.0,2231.0,1379.0,818.0,483.0,RCOM
Raw Material Cost,,,,,,,,,,,RCOM
Change in Inventory,,,,,,,,,,,RCOM
Power and Fuel,820.0,766.0,1063.0,1289.0,1230.0,231.0,160.0,175.0,170.0,82.0,RCOM
Other Mfr. Exp,6099.0,6527.0,6798.0,7009.0,5737.0,2676.0,1473.0,731.0,562.0,351.0,RCOM
Employee Cost,476.15,290.0,286.0,269.0,190.0,37.0,28.0,105.0,105.0,82.0,RCOM
Selling and admin,1261.8,852.0,1057.0,1630.0,1795.0,209.0,296.0,318.0,170.0,113.0,RCOM
Other Expenses,-1286.95,76.0,155.0,72.0,101.0,2058.0,12943.0,9615.0,29715.0,4612.0,RCOM
Other Income,-579.0,1525.0,1269.0,3304.0,309.0,,3000.0,16247.0,-15251.0,,RCOM
Depreciation,1741.0,1681.0,2048.0,1940.0,2014.0,216.0,200.0,277.0,183.0,132.0,RCOM
Interest,1265.0,1976.0,1796.0,1680.0,2049.0,,,,,,RCOM
Profit before tax,155.0,624.0,-758.0,1340.0,-1627.0,-1890.0,-9869.0,6405.0,-45338.0,-4889.0,RCOM
Tax,-1.0,,-1488.0,1494.0,-1248.0,-94.0,1.0,3558.0,,,RCOM
Net profit,156.0,624.0,730.0,-154.0,-379.0,-1796.0,-9870.0,2847.0,-45338.0,-4889.0,RCOM
