Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,19.08,19.08,19.08,19.08,19.08,18.43,18.68,18.68,18.68,18.68,RGL
Reserves,278.22,285.89,324.91,337.78,378.18,415.84,407.33,440.25,445.24,489.55,RGL
Borrowings,188.11,184.69,268.6,178.04,155.42,199.4,191.38,213.6,207.06,216.76,RGL
Other Liabilities,50.45,134.56,188.28,210.18,257.32,161.62,191.97,203.97,185.37,178.81,RGL
Total,535.86,624.22,800.87,745.08,810.0,795.29,809.36,876.5,856.35,903.8,RGL
Net Block,41.06,42.17,43.83,34.86,30.75,33.38,34.32,39.23,38.96,42.67,RGL
Capital Work in Progress,0.08,1.04,0.32,0.33,5.38,0.23,2.95,0.11,0.08,0.06,RGL
Investments,107.37,105.09,105.16,124.6,131.14,151.83,98.11,80.2,74.68,55.15,RGL
Other Assets,387.35,475.92,651.56,585.29,642.73,609.85,673.98,756.96,742.63,805.92,RGL
Total,535.86,624.22,800.87,745.08,810.0,795.29,809.36,876.5,856.35,903.8,RGL
Receivables,147.09,230.21,349.72,321.39,331.11,326.95,315.5,359.51,358.09,345.93,RGL
Inventory,200.3,209.75,248.26,212.99,220.21,182.52,278.68,328.49,257.9,300.54,RGL
Cash & Bank,15.59,13.2,12.59,23.08,49.31,53.85,32.85,18.96,76.17,61.82,RGL
No. of Equity Shares,19079440.0,19079440.0,19079440.0,19079440.0,19079440.0,18433000.0,18683000.0,18683000.0,18683000.0,18683000.0,RGL
New Bonus Shares,,,,,,,,,,,RGL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,RGL
