Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,RUPA
Reserves,182.88,226.03,264.83,306.31,357.95,434.81,502.97,567.59,618.97,776.12,RUPA
Borrowings,171.09,212.8,192.54,212.14,148.26,83.88,110.66,175.67,138.83,104.52,RUPA
Other Liabilities,125.53,155.43,172.07,212.56,163.14,184.81,272.41,248.12,222.97,269.58,RUPA
Total,487.46,602.22,637.4,738.97,677.31,711.46,894.0,999.34,988.73,1158.18,RUPA
Net Block,112.93,139.39,141.72,133.42,152.92,156.51,154.07,169.08,173.29,182.04,RUPA
Capital Work in Progress,3.99,1.15,4.31,19.03,8.78,,8.48,3.0,6.37,19.35,RUPA
Investments,4.12,4.12,4.12,4.12,4.13,8.22,14.13,14.02,63.71,63.71,RUPA
Other Assets,366.42,457.56,487.25,582.4,511.48,546.73,717.32,813.24,745.36,893.08,RUPA
Total,487.46,602.22,637.4,738.97,677.31,711.46,894.0,999.34,988.73,1158.18,RUPA
Receivables,125.55,144.56,160.43,182.76,172.14,207.02,328.62,370.22,230.17,330.9,RUPA
Inventory,206.67,271.75,286.97,360.76,299.91,288.48,312.52,351.18,441.85,375.79,RUPA
Cash & Bank,5.12,5.74,5.49,5.2,6.48,10.38,6.4,6.06,1.37,117.96,RUPA
No. of Equity Shares,79733560.0,79733560.0,79733560.0,79733560.0,79733560.0,79733560.0,79733560.0,79733560.0,79733560.0,79733560.0,RUPA
New Bonus Shares,,,,,,,,,,,RUPA
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,RUPA
