Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,,1.1,RVHL
Raw Material Cost,,,,,,,,,,,RVHL
Change in Inventory,,,,,,,,,,,RVHL
Power and Fuel,,,,,,,,,,,RVHL
Other Mfr. Exp,,,,,,,,,,,RVHL
Employee Cost,,,,,,,,,0.05,0.15,RVHL
Selling and admin,,,,,,,,,0.01,0.54,RVHL
Other Expenses,,,,,,,,,,,RVHL
Other Income,,,,,,,,,,0.02,RVHL
Depreciation,,,,,,,,,1.23,1.13,RVHL
Interest,,,,,,,,,,,RVHL
Profit before tax,,,,,,,,,-1.29,-0.7,RVHL
Tax,,,,,,,,,5.88,-0.57,RVHL
Net profit,,,,,,,,,-7.18,-0.13,RVHL
