Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1103.16,1170.41,707.29,836.51,821.0,926.38,528.83,505.06,803.01,633.38,SAKHTISUG
Raw Material Cost,771.47,893.56,579.23,460.66,530.71,623.41,399.24,373.9,556.97,444.96,SAKHTISUG
Change in Inventory,-13.76,3.28,46.97,-37.22,-2.82,5.84,-15.54,11.38,-39.22,-3.07,SAKHTISUG
Power and Fuel,34.16,21.43,12.68,10.14,10.59,11.88,11.21,14.39,17.5,14.61,SAKHTISUG
Other Mfr. Exp,71.45,86.02,61.74,135.89,156.51,81.74,63.64,81.68,110.24,83.17,SAKHTISUG
Employee Cost,56.06,61.07,60.09,62.34,59.17,64.28,59.13,58.74,61.8,58.18,SAKHTISUG
Selling and admin,21.88,25.23,22.24,15.97,17.26,19.43,16.4,38.21,22.52,19.05,SAKHTISUG
Other Expenses,4.65,3.43,2.15,1.22,0.65,17.53,0.82,4.75,72.54,0.32,SAKHTISUG
Other Income,4.59,3.25,3.07,32.41,36.67,126.41,-12.29,99.72,120.9,121.84,SAKHTISUG
Depreciation,65.29,65.98,66.38,63.79,74.37,57.0,52.82,51.59,49.31,38.85,SAKHTISUG
Interest,122.54,137.7,187.19,131.07,80.83,140.2,149.95,259.67,202.15,196.52,SAKHTISUG
Profit before tax,-53.51,-117.48,-234.37,-49.38,-75.24,43.16,-252.21,-266.77,-208.34,-103.51,SAKHTISUG
Tax,-5.79,-30.05,-74.99,-14.61,-20.18,12.8,-75.1,-52.75,-2.42,12.75,SAKHTISUG
Net profit,-47.72,-87.42,-159.38,-34.77,-55.07,30.35,-177.1,-214.01,-205.92,-116.27,SAKHTISUG
