Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,41.54,42.46,43.94,46.61,50.75,50.68,57.67,94.54,115.89,125.6,SAKSOFT
Raw Material Cost,,,,,,,,,,,SAKSOFT
Change in Inventory,,,,,,,,,,,SAKSOFT
Power and Fuel,0.94,1.3,1.35,1.2,1.19,1.12,1.06,1.11,0.92,0.86,SAKSOFT
Other Mfr. Exp,1.03,0.78,1.03,1.08,1.25,1.42,1.33,1.64,1.81,1.71,SAKSOFT
Employee Cost,23.39,24.1,21.98,21.77,22.11,25.96,33.3,52.51,68.03,75.77,SAKSOFT
Selling and admin,7.63,7.99,9.43,5.79,7.04,7.74,7.05,10.17,5.66,3.57,SAKSOFT
Other Expenses,0.37,0.21,0.3,5.33,4.73,3.68,4.77,8.47,8.28,12.58,SAKSOFT
Other Income,1.45,0.34,1.94,1.43,4.36,2.51,7.08,5.42,12.62,0.73,SAKSOFT
Depreciation,1.5,1.14,1.4,1.11,0.61,0.77,0.75,0.79,3.74,3.93,SAKSOFT
Interest,2.88,3.22,2.64,3.5,3.64,3.81,4.5,4.36,4.37,2.71,SAKSOFT
Profit before tax,5.25,4.06,7.75,8.26,14.54,8.69,11.99,20.91,35.7,25.2,SAKSOFT
Tax,1.77,1.24,2.27,2.53,4.06,2.56,2.89,4.61,6.24,6.4,SAKSOFT
Net profit,3.48,2.82,5.48,5.72,10.47,6.13,9.11,16.31,29.46,18.81,SAKSOFT
