Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,21.6,21.6,21.6,21.6,21.6,21.6,12.96,12.96,12.96,12.96,SHIVATEX
Reserves,85.96,105.22,123.05,129.33,137.3,141.31,95.14,99.03,98.18,110.66,SHIVATEX
Borrowings,287.81,226.76,288.09,229.64,244.58,166.04,180.28,200.03,187.37,121.13,SHIVATEX
Other Liabilities,52.98,86.89,101.1,83.34,77.18,23.23,72.34,52.35,56.19,65.35,SHIVATEX
Total,448.35,440.47,533.84,463.91,480.66,352.18,360.72,364.37,354.7,310.1,SHIVATEX
Net Block,298.26,299.26,297.4,293.4,289.43,212.8,209.06,201.25,200.76,173.79,SHIVATEX
Capital Work in Progress,10.06,8.0,1.02,5.37,7.06,,1.27,3.36,0.31,2.96,SHIVATEX
Investments,1.46,1.34,1.96,1.11,1.09,0.6,0.69,0.66,0.58,1.1,SHIVATEX
Other Assets,138.57,131.87,233.46,164.03,183.08,138.78,149.7,159.1,153.05,132.25,SHIVATEX
Total,448.35,440.47,533.84,463.91,480.66,352.18,360.72,364.37,354.7,310.1,SHIVATEX
Receivables,27.28,34.36,42.79,34.86,39.22,36.32,40.84,49.94,48.02,34.18,SHIVATEX
Inventory,69.72,43.5,129.69,78.9,91.74,64.06,66.75,80.43,80.04,72.31,SHIVATEX
Cash & Bank,10.36,19.6,19.33,6.64,7.89,5.71,8.86,11.78,7.42,10.04,SHIVATEX
No. of Equity Shares,21604521.0,21604521.0,21604521.0,21604521.0,21604521.0,21604521.0,12962713.0,12962713.0,12962713.0,12962713.0,SHIVATEX
New Bonus Shares,,,,,,,,,,,SHIVATEX
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SHIVATEX
