Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,60.14,39.63,45.53,59.59,148.35,150.63,172.75,156.75,176.99,109.8,SPLIL
Raw Material Cost,16.63,12.76,14.88,22.1,79.74,75.41,95.79,91.82,113.73,62.26,SPLIL
Change in Inventory,-39.07,-1.33,-0.1,1.35,3.02,4.79,-9.37,1.34,-1.18,-0.16,SPLIL
Power and Fuel,10.95,10.31,10.14,11.76,13.02,13.89,14.46,17.64,16.15,13.09,SPLIL
Other Mfr. Exp,4.16,3.74,3.34,8.76,17.71,28.38,17.43,6.7,5.81,4.91,SPLIL
Employee Cost,6.29,5.12,5.7,11.27,19.53,28.67,18.36,8.89,8.54,8.05,SPLIL
Selling and admin,1.72,1.29,4.51,3.07,7.35,6.68,6.06,2.25,5.26,2.05,SPLIL
Other Expenses,36.07,14.62,0.03,-0.14,2.15,0.12,4.19,1.27,-0.5,3.53,SPLIL
Other Income,29.96,-2.96,-0.25,0.46,1.36,4.9,3.93,2.44,7.92,5.67,SPLIL
Depreciation,5.38,4.36,3.42,3.95,3.17,2.99,3.9,3.84,3.15,2.77,SPLIL
Interest,10.68,5.24,0.12,0.11,1.22,2.73,1.73,0.95,1.32,0.7,SPLIL
Profit before tax,-40.85,-22.1,3.04,0.52,8.84,1.45,5.39,27.17,30.27,17.95,SPLIL
Tax,-2.89,0.22,0.3,,0.01,,,,-1.0,4.39,SPLIL
Net profit,-37.96,-22.32,2.74,0.52,8.83,1.45,5.39,27.17,31.27,13.55,SPLIL
