Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,41.92,41.92,41.92,41.92,41.92,41.92,41.92,41.92,41.24,41.24,STARCEMENT
Reserves,406.76,495.93,467.98,473.76,530.07,585.84,796.49,1009.36,1076.81,1234.14,STARCEMENT
Borrowings,200.97,307.25,417.56,451.02,574.05,621.84,427.85,157.15,148.26,122.2,STARCEMENT
Other Liabilities,64.68,77.51,182.59,290.06,348.61,337.62,420.02,336.74,352.41,495.32,STARCEMENT
Total,714.33,922.61,1110.05,1256.76,1494.65,1587.22,1686.28,1545.17,1618.72,1892.9,STARCEMENT
Net Block,141.85,350.7,375.28,308.58,263.45,285.51,273.7,256.27,274.24,435.43,STARCEMENT
Capital Work in Progress,164.73,34.86,16.93,21.52,40.72,46.24,26.4,60.52,223.08,109.75,STARCEMENT
Investments,211.32,238.77,238.78,238.78,238.78,238.85,238.84,238.95,238.8,279.16,STARCEMENT
Other Assets,196.43,298.28,479.06,687.88,951.7,1016.62,1147.34,989.43,882.6,1068.56,STARCEMENT
Total,714.33,922.61,1110.05,1256.76,1494.65,1587.22,1686.28,1545.17,1618.72,1892.9,STARCEMENT
Receivables,13.86,19.16,99.02,227.21,347.37,123.27,127.1,127.94,106.93,131.09,STARCEMENT
Inventory,50.78,54.24,70.68,52.46,85.06,62.03,122.27,80.05,84.26,94.87,STARCEMENT
Cash & Bank,5.05,14.85,6.15,11.98,8.06,12.59,7.57,194.17,262.21,380.06,STARCEMENT
No. of Equity Shares,41921392.0,41921400.0,41921400.0,41921400.0,41921392.0,419213920.0,419228997.0,419228997.0,412428997.0,412428997.0,STARCEMENT
New Bonus Shares,,,,,,,,,,,STARCEMENT
Face value,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,STARCEMENT
