Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,10.72,21.95,29.77,17.47,22.22,28.42,25.47,24.85,20.21,17.79,SURANAT&P
Raw Material Cost,5.92,8.54,15.88,3.43,7.69,1.39,,,2.52,0.57,SURANAT&P
Change in Inventory,-0.69,,0.42,,-0.01,-7.51,-5.77,-2.8,0.99,0.31,SURANAT&P
Power and Fuel,0.34,0.48,0.2,0.27,0.19,0.33,0.22,0.22,0.24,0.7,SURANAT&P
Other Mfr. Exp,0.64,0.41,0.58,0.56,0.58,0.88,0.85,0.73,3.08,2.66,SURANAT&P
Employee Cost,0.44,0.49,0.29,0.25,0.7,1.51,1.81,1.8,2.07,2.15,SURANAT&P
Selling and admin,0.81,0.78,1.11,0.41,1.25,2.89,3.1,1.79,1.46,0.6,SURANAT&P
Other Expenses,0.33,0.96,1.29,0.35,1.44,1.16,1.72,3.0,1.33,1.1,SURANAT&P
Other Income,1.87,4.64,2.22,1.26,0.8,0.85,2.06,1.62,9.28,2.5,SURANAT&P
Depreciation,2.56,9.51,8.43,7.71,6.47,7.41,7.19,7.02,7.55,5.26,SURANAT&P
Interest,0.36,3.76,3.96,3.27,3.09,3.94,3.93,3.31,3.6,3.34,SURANAT&P
Profit before tax,0.5,1.66,0.67,2.48,1.6,2.25,2.94,5.8,8.63,4.22,SURANAT&P
Tax,-0.19,0.13,-0.06,0.49,0.3,0.49,0.64,1.05,1.39,0.75,SURANAT&P
Net profit,0.69,1.52,0.73,1.99,1.3,1.76,2.31,4.75,7.24,3.48,SURANAT&P
