Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,13.58,16.3,16.3,18.45,18.45,18.45,18.45,18.45,18.45,18.45,SURYALAXMI
Reserves,164.04,191.01,289.65,296.34,310.38,259.54,259.42,248.29,215.21,212.29,SURYALAXMI
Borrowings,350.18,347.81,331.44,295.74,371.01,369.6,381.7,344.57,309.74,303.02,SURYALAXMI
Other Liabilities,96.63,102.37,117.25,133.43,175.92,161.37,189.94,167.66,182.94,153.87,SURYALAXMI
Total,624.43,657.49,754.64,743.96,875.76,808.96,849.51,778.97,726.34,687.63,SURYALAXMI
Net Block,255.73,361.03,452.07,418.76,491.7,408.39,402.87,380.3,337.14,322.4,SURYALAXMI
Capital Work in Progress,90.38,1.24,0.22,10.22,2.86,15.18,1.69,1.4,1.87,1.82,SURYALAXMI
Investments,7.6,4.57,0.1,0.1,0.06,0.06,0.05,0.04,0.05,0.08,SURYALAXMI
Other Assets,270.72,290.65,302.25,314.88,381.14,385.33,444.9,397.23,387.28,363.33,SURYALAXMI
Total,624.43,657.49,754.64,743.96,875.76,808.96,849.51,778.97,726.34,687.63,SURYALAXMI
Receivables,104.45,118.55,109.61,103.38,136.84,130.94,177.34,168.24,122.97,128.94,SURYALAXMI
Inventory,103.56,104.48,110.75,137.91,156.32,177.56,173.16,130.35,156.7,125.23,SURYALAXMI
Cash & Bank,6.0,12.87,8.83,9.8,8.64,3.64,9.69,9.27,13.4,19.61,SURYALAXMI
No. of Equity Shares,14522290.0,14522290.0,18445316.0,18445290.0,18445290.0,18445290.0,18445290.0,18445290.0,18445290.0,18445290.0,SURYALAXMI
New Bonus Shares,,,,,,,,,,,SURYALAXMI
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SURYALAXMI
