Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,31.54,54.36,41.93,37.31,22.01,28.14,12.18,11.95,11.95,1.59,TARAPUR
Raw Material Cost,24.48,54.97,34.74,35.5,25.68,24.41,13.26,9.05,11.9,1.4,TARAPUR
Change in Inventory,-3.84,6.84,-8.12,0.7,3.81,-2.71,0.59,-3.34,,,TARAPUR
Power and Fuel,0.47,0.47,0.41,0.25,0.18,0.14,0.16,0.13,0.07,0.08,TARAPUR
Other Mfr. Exp,0.81,1.42,1.49,1.04,0.52,0.36,0.31,0.32,0.24,0.32,TARAPUR
Employee Cost,1.64,1.7,1.81,1.24,0.69,0.3,0.13,0.04,0.11,0.19,TARAPUR
Selling and admin,1.27,2.59,3.32,1.98,1.08,0.46,1.14,0.27,0.72,0.41,TARAPUR
Other Expenses,0.48,1.38,0.71,0.68,0.02,2.7,7.93,0.11,6.74,26.1,TARAPUR
Other Income,-3.85,1.89,2.02,1.8,3.3,2.57,2.57,3.86,-0.78,1.46,TARAPUR
Depreciation,0.63,0.63,0.92,2.02,1.96,1.84,3.16,1.78,1.62,1.18,TARAPUR
Interest,1.85,2.93,4.55,0.4,0.04,0.06,0.26,0.04,0.02,0.01,TARAPUR
Profit before tax,-7.78,-3.0,-12.12,-3.3,-1.05,-2.27,-11.01,0.73,-10.25,-26.64,TARAPUR
Tax,,,,,,,0.15,,,,TARAPUR
Net profit,-7.78,-2.99,-12.12,-3.3,-1.05,-2.26,-11.15,0.73,-10.25,-26.64,TARAPUR
