Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,187.2,151.61,102.62,63.56,51.33,58.67,60.81,95.41,233.02,170.59,TARMAT
Raw Material Cost,47.7,48.36,7.5,6.07,2.8,20.15,43.03,,,,TARMAT
Change in Inventory,,,,,,,,,,,TARMAT
Power and Fuel,0.59,,0.28,0.2,0.21,0.17,0.15,0.18,0.3,0.24,TARMAT
Other Mfr. Exp,108.0,83.35,94.43,56.44,44.31,34.2,22.75,87.91,213.78,152.11,TARMAT
Employee Cost,9.16,8.56,3.41,3.16,2.71,2.31,2.75,3.57,5.48,5.99,TARMAT
Selling and admin,7.74,4.94,4.38,3.68,2.91,2.52,2.78,22.91,2.31,5.07,TARMAT
Other Expenses,-2.11,5.08,-2.56,-2.42,-1.49,-1.45,5.98,-0.08,0.18,0.05,TARMAT
Other Income,-2.13,-7.73,1.95,1.48,1.35,0.87,19.05,21.85,0.96,1.26,TARMAT
Depreciation,5.02,4.98,4.41,3.78,2.33,1.42,0.97,0.69,0.73,1.32,TARMAT
Interest,9.64,8.43,15.57,15.52,4.59,0.01,1.35,1.37,2.36,3.06,TARMAT
Profit before tax,-0.67,-19.82,-22.85,-21.39,-5.69,0.21,0.1,0.71,8.84,4.01,TARMAT
Tax,3.15,6.46,-0.43,-0.43,-6.51,0.18,-1.15,0.14,1.91,-1.08,TARMAT
Net profit,-3.82,-26.27,-22.42,-20.95,0.82,0.03,1.25,0.57,6.92,5.09,TARMAT
