Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,767.44,829.42,446.39,438.58,1076.64,1154.15,1135.19,1858.16,1831.8,1688.74,TEXRAIL
Raw Material Cost,483.22,530.76,274.86,272.03,826.88,777.63,811.1,1361.54,1305.51,1013.2,TEXRAIL
Change in Inventory,15.18,20.1,4.34,6.3,36.51,-70.52,53.93,64.45,85.0,-168.44,TEXRAIL
Power and Fuel,34.59,47.92,30.77,35.02,42.23,43.25,45.12,62.05,71.67,55.15,TEXRAIL
Other Mfr. Exp,64.82,69.62,52.9,50.53,77.56,87.43,107.47,142.33,193.95,167.62,TEXRAIL
Employee Cost,44.79,44.21,44.02,45.59,77.77,80.41,97.78,113.55,128.16,116.5,TEXRAIL
Selling and admin,6.66,10.09,14.2,7.22,13.02,12.9,42.89,42.04,24.12,21.83,TEXRAIL
Other Expenses,14.54,21.8,16.38,14.95,24.94,23.63,24.17,34.42,36.64,25.88,TEXRAIL
Other Income,25.61,30.97,22.89,23.69,44.93,47.31,50.64,21.13,-122.66,31.7,TEXRAIL
Depreciation,9.18,9.39,11.74,14.94,14.55,16.16,24.82,28.96,35.91,37.26,TEXRAIL
Interest,14.17,11.93,9.99,12.07,46.99,47.52,60.86,70.64,96.89,102.97,TEXRAIL
Profit before tax,136.26,134.77,18.76,16.22,34.14,42.01,25.55,88.21,-98.71,11.59,TEXRAIL
Tax,43.2,40.5,1.79,2.49,6.94,8.44,12.17,12.93,-32.87,-0.27,TEXRAIL
Net profit,93.06,94.27,16.97,13.74,27.2,33.57,13.39,75.28,-65.84,11.87,TEXRAIL
