Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,906.27,1145.04,1033.62,923.19,776.51,857.22,1011.61,994.25,865.42,857.18,TIRUMALCHM
Raw Material Cost,744.73,938.28,858.01,721.57,559.77,596.94,596.39,687.31,633.86,507.04,TIRUMALCHM
Change in Inventory,14.47,20.48,-10.37,-44.4,-7.91,16.98,-10.93,14.94,-0.46,-10.77,TIRUMALCHM
Power and Fuel,30.06,30.15,28.47,19.82,18.01,26.41,30.43,43.23,36.46,18.21,TIRUMALCHM
Other Mfr. Exp,16.04,14.35,22.17,17.45,19.64,23.0,29.54,26.56,20.83,19.15,TIRUMALCHM
Employee Cost,19.64,22.91,24.18,22.81,29.96,33.51,39.91,34.08,33.86,38.44,TIRUMALCHM
Selling and admin,40.14,53.8,39.84,49.84,53.21,52.92,63.63,56.38,52.47,54.9,TIRUMALCHM
Other Expenses,3.78,5.05,5.35,3.53,3.91,8.86,11.73,6.89,13.13,19.1,TIRUMALCHM
Other Income,5.63,8.14,15.84,15.88,11.67,7.76,9.97,14.22,22.02,8.79,TIRUMALCHM
Depreciation,13.81,12.87,12.21,7.01,10.8,14.02,10.39,15.17,21.18,25.21,TIRUMALCHM
Interest,52.37,52.02,45.42,33.11,20.97,14.55,10.93,10.71,15.54,18.87,TIRUMALCHM
Profit before tax,5.8,44.23,3.44,19.53,64.0,111.75,217.7,143.08,59.65,154.28,TIRUMALCHM
Tax,1.02,16.48,-0.12,5.33,21.28,37.62,73.71,46.99,18.78,36.66,TIRUMALCHM
Net profit,4.78,27.75,3.57,14.2,42.73,74.13,143.99,96.09,40.87,117.62,TIRUMALCHM
