Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,TTL
Reserves,73.26,76.57,82.34,82.88,83.09,69.31,55.77,54.87,52.88,46.64,TTL
Borrowings,260.56,324.74,329.05,319.09,306.88,314.28,266.6,277.02,272.41,254.08,TTL
Other Liabilities,13.76,19.77,22.28,20.29,30.06,36.88,47.97,44.03,47.09,36.11,TTL
Total,369.08,442.58,455.17,443.76,441.53,441.97,391.84,397.42,393.88,358.33,TTL
Net Block,223.79,213.52,285.81,273.4,269.25,259.95,225.33,229.68,223.24,94.3,TTL
Capital Work in Progress,2.73,73.89,,0.32,2.83,,,,,,TTL
Investments,,,,,,0.04,,,,,TTL
Other Assets,142.56,155.17,169.36,170.04,169.45,181.98,166.51,167.74,170.64,264.03,TTL
Total,369.08,442.58,455.17,443.76,441.53,441.97,391.84,397.42,393.88,358.33,TTL
Receivables,33.81,44.6,50.86,50.6,54.52,57.02,38.88,36.74,31.52,46.17,TTL
Inventory,64.18,68.08,59.64,63.93,62.92,69.06,63.05,76.27,86.62,75.95,TTL
Cash & Bank,1.87,1.41,1.55,1.48,1.44,2.68,2.34,2.14,1.72,2.54,TTL
No. of Equity Shares,21498050.0,21498050.0,21498050.0,21498050.0,21498050.0,21498050.0,21498050.0,21498050.0,21498050.0,21498050.0,TTL
New Bonus Shares,,,,,,,,,,,TTL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,TTL
