Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,550.55,596.79,630.31,635.78,687.44,687.44,1168.57,1763.02,3422.82,6406.84,UNIONBANK
Reserves,13971.51,16588.39,17734.05,19125.1,22203.77,22747.75,23928.2,24723.99,30362.83,58069.89,UNIONBANK
Borrowings,240778.43,287558.84,326992.26,352229.9,373677.36,417124.88,454182.41,458779.09,503154.7,975642.45,UNIONBANK
Other Liabilities,6910.95,7389.76,8424.29,9625.15,8127.33,12144.37,8100.91,8772.74,13742.92,31586.66,UNIONBANK
Total,262211.44,312133.78,353780.91,381615.93,404695.9,452704.44,487380.09,494038.84,550683.27,1071705.84,UNIONBANK
Net Block,2332.19,2467.47,2607.62,2677.82,3928.09,3873.48,3799.84,3718.72,4709.12,7281.58,UNIONBANK
Capital Work in Progress,3.61,11.54,0.85,4.14,11.78,20.93,33.49,43.57,53.39,62.29,UNIONBANK
Investments,62363.56,80830.45,93723.18,84461.73,89208.35,112148.96,123754.22,126046.64,152413.9,331511.79,UNIONBANK
Other Assets,197512.08,228824.32,257449.26,294472.24,311547.68,336661.07,359792.54,364229.91,393506.86,732850.18,UNIONBANK
Total,262211.44,312133.78,353780.91,381615.93,404695.9,452704.44,487380.09,494038.84,550683.27,1071705.84,UNIONBANK
Receivables,,,,,,,,,,,UNIONBANK
Inventory,,,,,,,,,,,UNIONBANK
Cash & Bank,15675.14,16210.39,23072.87,22378.02,29276.22,32822.5,49441.19,43045.97,55106.22,84410.35,UNIONBANK
No. of Equity Shares,550549035.0,596794209.0,630306273.0,635778836.0,687441117.0,687441117.0,1168573400.0,1763016314.0,3422818852.0,6406844355.0,UNIONBANK
New Bonus Shares,,,,,,,,,,,UNIONBANK
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,UNIONBANK
