Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,7025.45,2347.63,28536.53,32502.41,34094.28,36663.0,45524.0,38644.0,35858.0,37440.0,VEDL
Raw Material Cost,955.82,330.37,18764.84,19848.15,17877.46,19368.0,25635.0,16013.0,12720.0,14194.0,VEDL
Change in Inventory,-31.91,205.77,556.86,-263.8,-116.95,417.0,11.0,-307.0,-1430.0,-70.0,VEDL
Power and Fuel,16.76,557.64,4742.69,4534.3,4460.71,4708.0,6643.0,9179.0,7930.0,6763.0,VEDL
Other Mfr. Exp,1403.28,414.65,744.8,1092.97,1171.16,1577.0,1287.0,1641.0,1817.0,2027.0,VEDL
Employee Cost,192.08,194.68,560.57,652.32,733.25,787.0,806.0,1508.0,1349.0,1438.0,VEDL
Selling and admin,1678.62,587.75,371.94,381.86,1987.09,2064.0,2203.0,3052.0,2865.0,2432.0,VEDL
Other Expenses,240.26,126.46,1812.24,1099.15,19077.03,1903.0,2486.0,1397.0,1843.0,1828.0,VEDL
Other Income,418.07,332.28,1901.79,2005.21,1457.39,11007.0,8944.0,6400.0,-9775.0,10688.0,VEDL
Depreciation,83.85,147.91,1504.79,1011.67,4287.13,2986.0,2842.0,3243.0,3264.0,2519.0,VEDL
Interest,420.0,469.23,3564.96,3655.93,3600.44,3896.0,3353.0,3757.0,3328.0,3193.0,VEDL
Profit before tax,2420.94,56.99,-1071.65,1967.47,-17759.55,10798.0,9224.0,4947.0,-10463.0,13664.0,VEDL
Tax,741.0,-63.78,-2147.74,40.27,-5853.32,-271.0,1968.0,-128.0,-3731.0,3161.0,VEDL
Net profit,1679.94,120.77,1076.09,1927.2,-11906.23,11069.0,7256.0,5075.0,-6732.0,10503.0,VEDL
