,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,67.15,71.45,67.15,71.0,93431,VLSFINANCE
1,2021-01-04 00:00:00+05:30,72.6,85.2,72.6,85.2,1044728,VLSFINANCE
2,2021-01-05 00:00:00+05:30,88.0,92.6,85.9,86.85,1077151,VLSFINANCE
3,2021-01-06 00:00:00+05:30,87.55,89.5,84.1,86.35,229349,VLSFINANCE
4,2021-01-07 00:00:00+05:30,86.5,88.0,84.2,85.0,99886,VLSFINANCE
5,2021-01-08 00:00:00+05:30,85.1,86.5,81.7,82.7,94196,VLSFINANCE
6,2021-01-11 00:00:00+05:30,82.55,83.3,70.2,79.15,100300,VLSFINANCE
7,2021-01-12 00:00:00+05:30,81.95,81.95,79.05,79.5,52558,VLSFINANCE
8,2021-01-13 00:00:00+05:30,80.0,80.0,77.45,78.5,55329,VLSFINANCE
9,2021-01-14 00:00:00+05:30,78.0,80.9,77.1,79.4,53538,VLSFINANCE
10,2021-01-15 00:00:00+05:30,79.3,81.6,78.0,78.8,78360,VLSFINANCE
11,2021-01-18 00:00:00+05:30,78.55,79.35,76.1,77.05,41094,VLSFINANCE
12,2021-01-19 00:00:00+05:30,77.95,80.6,76.5,78.25,53396,VLSFINANCE
13,2021-01-20 00:00:00+05:30,77.95,81.0,76.5,77.3,48766,VLSFINANCE
14,2021-01-21 00:00:00+05:30,77.1,86.5,77.05,81.3,283552,VLSFINANCE
15,2021-01-22 00:00:00+05:30,81.5,85.0,79.0,80.05,145861,VLSFINANCE
16,2021-01-25 00:00:00+05:30,80.25,82.7,76.95,77.5,109499,VLSFINANCE
17,2021-01-27 00:00:00+05:30,79.05,79.05,75.0,75.5,48646,VLSFINANCE
18,2021-01-28 00:00:00+05:30,75.75,76.45,74.3,75.3,39846,VLSFINANCE
19,2021-01-29 00:00:00+05:30,76.0,80.9,75.8,78.2,72344,VLSFINANCE
20,2021-02-01 00:00:00+05:30,79.8,80.6,75.9,77.25,55957,VLSFINANCE
21,2021-02-02 00:00:00+05:30,79.6,81.0,78.0,79.65,35814,VLSFINANCE
22,2021-02-03 00:00:00+05:30,79.95,81.25,78.5,79.7,48151,VLSFINANCE
23,2021-02-04 00:00:00+05:30,79.65,80.25,78.35,78.8,35626,VLSFINANCE
24,2021-02-05 00:00:00+05:30,79.0,79.95,78.5,79.25,30581,VLSFINANCE
25,2021-02-08 00:00:00+05:30,79.35,84.1,79.2,83.6,117969,VLSFINANCE
26,2021-02-09 00:00:00+05:30,83.6,87.3,83.6,85.2,156859,VLSFINANCE
27,2021-02-10 00:00:00+05:30,87.5,88.3,85.5,87.25,86158,VLSFINANCE
28,2021-02-11 00:00:00+05:30,88.6,91.0,86.1,89.75,180262,VLSFINANCE
