Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,5169.77,5565.43,5151.36,5168.95,5148.77,5410.36,5808.77,6693.19,7206.6,6377.97,VOLTAS
Raw Material Cost,3918.49,4440.66,3924.32,3879.92,3885.43,4267.39,4296.89,5513.14,5685.77,4479.98,VOLTAS
Change in Inventory,19.53,66.48,-115.8,-14.82,-79.02,205.35,-99.76,273.36,302.05,-279.25,VOLTAS
Power and Fuel,2.93,3.39,4.13,3.64,3.21,9.52,8.88,9.2,11.35,8.38,VOLTAS
Other Mfr. Exp,9.74,9.74,9.97,9.75,49.76,52.16,52.16,73.97,90.19,87.28,VOLTAS
Employee Cost,552.05,579.23,483.85,467.85,412.07,406.55,422.3,488.75,521.19,465.44,VOLTAS
Selling and admin,250.35,242.61,254.79,247.26,275.08,314.69,352.37,355.12,396.54,306.46,VOLTAS
Other Expenses,278.77,170.07,194.3,239.1,220.98,146.74,99.84,140.34,148.85,188.68,VOLTAS
Other Income,84.85,105.28,127.58,165.62,291.89,260.14,232.92,287.41,195.48,219.85,VOLTAS
Depreciation,28.57,22.21,18.96,22.45,19.1,18.12,19.23,19.71,28.56,29.83,VOLTAS
Interest,25.9,26.71,15.99,16.25,8.06,9.66,7.5,22.93,8.84,19.1,VOLTAS
Profit before tax,207.35,242.57,256.83,433.53,487.95,651.02,682.76,630.8,812.84,733.42,VOLTAS
Tax,55.48,62.5,75.34,104.29,138.6,164.83,181.53,166.33,217.75,163.12,VOLTAS
Net profit,151.87,180.07,181.48,329.23,349.35,486.19,501.23,464.47,595.09,570.3,VOLTAS
