Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,6.68,2.9,1.12,0.87,0.74,0.86,1.37,1.79,8.3,1.37,WELINV
Raw Material Cost,4.03,1.64,0.78,0.55,0.39,0.52,0.8,0.94,0.68,,WELINV
Change in Inventory,,,,,,,,,,,WELINV
Power and Fuel,,,,,,,,,,,WELINV
Other Mfr. Exp,,,,,,,,,,,WELINV
Employee Cost,0.19,0.2,0.07,0.03,0.06,0.07,0.08,0.08,0.08,0.09,WELINV
Selling and admin,0.17,0.17,0.17,0.22,0.19,0.21,0.23,0.26,0.26,0.21,WELINV
Other Expenses,,,11.96,0.01,,0.01,,,,0.01,WELINV
Other Income,,,,,,,,0.05,,,WELINV
Depreciation,,,,,,,,,,,WELINV
Interest,1.32,0.34,,,,,,,,,WELINV
Profit before tax,0.97,0.55,-11.86,0.06,0.1,0.05,0.26,0.56,7.28,1.06,WELINV
Tax,,0.03,,0.01,,,,-0.06,-0.05,0.27,WELINV
Net profit,0.97,0.52,-11.86,0.05,0.1,0.05,0.26,0.61,7.33,0.79,WELINV
