Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,49.98,49.98,49.98,49.98,49.98,49.98,49.98,49.98,49.98,49.98,WINPRO
Reserves,80.46,81.12,80.89,80.18,80.57,80.69,80.99,82.62,-31.14,-28.81,WINPRO
Borrowings,0.32,5.01,0.01,,,,,,78.78,0.66,WINPRO
Other Liabilities,59.93,99.68,48.98,23.25,17.85,17.43,46.58,38.5,174.91,36.34,WINPRO
Total,190.69,235.79,179.86,153.41,148.4,148.1,177.55,171.1,272.53,58.17,WINPRO
Net Block,2.68,2.07,1.62,1.24,0.97,0.76,0.65,0.66,0.45,0.95,WINPRO
Capital Work in Progress,,,,,,,,,,,WINPRO
Investments,111.59,108.97,99.6,68.61,68.61,65.51,65.51,2.62,,,WINPRO
Other Assets,76.42,124.75,78.64,83.56,78.82,81.83,111.39,167.82,272.08,57.22,WINPRO
Total,190.69,235.79,179.86,153.41,148.4,148.1,177.55,171.1,272.53,58.17,WINPRO
Receivables,43.86,86.72,37.1,10.51,5.43,5.76,35.23,31.02,176.0,,WINPRO
Inventory,,0.94,0.95,0.95,1.77,1.77,1.77,1.77,,,WINPRO
Cash & Bank,0.03,-4.35,-0.96,0.4,0.05,0.06,0.15,0.42,2.6,0.66,WINPRO
No. of Equity Shares,99962110.0,99962110.0,99962110.0,99962110.0,99962110.0,99962110.0,99962110.0,99962110.0,99962110.0,,WINPRO
New Bonus Shares,,,,,,,,,,,WINPRO
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,WINPRO
