Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,712.75,837.67,920.36,1079.93,1245.28,1272.39,1285.81,1370.08,1370.3,1361.78,ZENSARTECH
Raw Material Cost,,,,,,,,12.09,8.77,7.05,ZENSARTECH
Change in Inventory,,,,,,,,,,,ZENSARTECH
Power and Fuel,9.11,9.77,9.41,10.09,11.42,11.99,11.62,11.05,10.91,5.71,ZENSARTECH
Other Mfr. Exp,57.6,72.18,34.83,75.57,101.85,125.33,88.21,78.59,87.04,70.88,ZENSARTECH
Employee Cost,412.88,459.28,471.79,580.15,645.24,717.15,752.27,789.49,809.13,776.81,ZENSARTECH
Selling and admin,88.04,124.66,133.56,130.35,146.85,137.5,143.99,149.43,115.66,71.12,ZENSARTECH
Other Expenses,9.73,7.6,23.45,17.12,31.43,13.6,37.45,28.95,20.94,19.69,ZENSARTECH
Other Income,27.91,34.54,41.65,20.72,52.74,21.72,62.75,84.99,90.93,73.91,ZENSARTECH
Depreciation,25.05,26.86,29.53,32.76,34.72,33.88,46.1,42.78,81.38,89.45,ZENSARTECH
Interest,1.03,0.88,1.48,1.15,2.24,1.67,12.14,9.18,23.3,21.8,ZENSARTECH
Profit before tax,137.22,170.98,257.96,253.46,324.27,252.99,256.78,333.51,304.1,373.18,ZENSARTECH
Tax,42.67,49.46,70.74,70.34,86.05,72.77,64.2,75.51,73.06,83.54,ZENSARTECH
Net profit,94.55,121.53,187.22,183.11,238.22,180.22,192.58,258.0,231.04,289.64,ZENSARTECH
