date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,15800,15856.3,15698,15746,22888
2021-01-04 00:00:00+05:30,15793.75,15862.9,15630.9,15668.05,16723
2021-01-05 00:00:00+05:30,15668,15839.9,15551.9,15605.7,22730
2021-01-06 00:00:00+05:30,15689.25,15800,15483.55,15550.95,15681
2021-01-07 00:00:00+05:30,15664.3,15700,15400,15435.95,19630
2021-01-08 00:00:00+05:30,15549.9,15699.95,15445.05,15496.05,13199
2021-01-11 00:00:00+05:30,15520,15650,15415,15483.15,32292
2021-01-12 00:00:00+05:30,15566.85,15566.85,15383,15405.4,21062
2021-01-13 00:00:00+05:30,15450.7,15505,14925,15001.55,40084
2021-01-14 00:00:00+05:30,15100,15198.4,14992.1,15003.5,26752
2021-01-15 00:00:00+05:30,15076.15,15140,14922,14996.05,17186
2021-01-18 00:00:00+05:30,15074,15074,14730,14748.65,23904
2021-01-19 00:00:00+05:30,14844.65,14922,14568,14601.7,27878
2021-01-20 00:00:00+05:30,14645,14720,14325,14397.2,39316
2021-01-21 00:00:00+05:30,14508.85,14647.95,14411.2,14487.8,28348
2021-01-22 00:00:00+05:30,14549,14569.95,14350,14399.9,17701
2021-01-25 00:00:00+05:30,14539.55,14588.6,14399.9,14546.65,13183
2021-01-27 00:00:00+05:30,14600,14667,14403.1,14527,23458
2021-01-28 00:00:00+05:30,14550,14618.15,14348.95,14576.05,9956
2021-01-29 00:00:00+05:30,14600,14640.65,14100,14222.05,29267
2021-02-01 00:00:00+05:30,14358.85,14472.35,14215.05,14299.5,18605
2021-02-02 00:00:00+05:30,14350,14462,13959.8,14093.85,56037
2021-02-03 00:00:00+05:30,14199.85,14600,14094,14432.1,23496
2021-02-04 00:00:00+05:30,14575,14586.9,14360,14488.2,33793
2021-02-05 00:00:00+05:30,14542.5,14550,14405,14477.75,22721
2021-02-08 00:00:00+05:30,14560,14589,14260.45,14500.6,29673
2021-02-09 00:00:00+05:30,14600,14995,14510,14634.8,38323
2021-02-10 00:00:00+05:30,14630,14630,14291.05,14371.5,39275
2021-02-11 00:00:00+05:30,14400.5,14456.3,14311.25,14434.55,18914
2021-02-12 00:00:00+05:30,14400,14460,14375,14439.1,12309
2021-02-15 00:00:00+05:30,14469.1,14599,14400,14448.95,13660
2021-02-16 00:00:00+05:30,14484.75,14739,14465,14700.7,23617
2021-02-17 00:00:00+05:30,14710.7,14760.45,14485.2,14651.55,16801
2021-02-18 00:00:00+05:30,14649,14949,14555.8,14918.8,14887
2021-02-19 00:00:00+05:30,14950,14950,14650,14716.3,9407
2021-02-22 00:00:00+05:30,14780,14789.65,14485.05,14637.2,12942
2021-02-23 00:00:00+05:30,14705,14748.9,14454.5,14471.3,11319
2021-02-24 00:00:00+05:30,14548.1,14717.5,14477,14591.6,5329
2021-02-25 00:00:00+05:30,14591.6,14688.45,14270.05,14352.55,24900
2021-02-26 00:00:00+05:30,14352.55,14484.1,14228,14389.45,11859
2021-03-01 00:00:00+05:30,14450,14520,14250,14497.75,19828
2021-03-02 00:00:00+05:30,14550,14685.75,14450,14531.6,8953
2021-03-03 00:00:00+05:30,14630,14844,14537.65,14613.9,12011
2021-03-04 00:00:00+05:30,14613.9,14855,14590,14689.35,11316
2021-03-05 00:00:00+05:30,14700,14865.55,14700,14754.8,9970
2021-03-08 00:00:00+05:30,14770.05,14850.05,14625.15,14759.7,5777
