date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,265.85,268,262.35,266.25,14049
2021-01-04 00:00:00+05:30,269,269,265.2,266.65,103201
2021-01-05 00:00:00+05:30,269.9,269.9,260,263.85,29953
2021-01-06 00:00:00+05:30,264.95,266.2,260.35,261.55,118284
2021-01-07 00:00:00+05:30,264.9,265.6,260,263.95,40652
2021-01-08 00:00:00+05:30,264.8,266,262.35,264.35,26530
2021-01-11 00:00:00+05:30,266.3,270.55,265,266.35,88814
2021-01-12 00:00:00+05:30,266.5,269,262.35,264.5,64136
2021-01-13 00:00:00+05:30,265.2,268,258.15,262.95,23483
2021-01-14 00:00:00+05:30,260.95,277.85,259.7,272.5,3575820
2021-01-15 00:00:00+05:30,282.2,284.9,272,273.55,408025
2021-01-18 00:00:00+05:30,274.8,278.85,265.4,277.7,118807
2021-01-19 00:00:00+05:30,282.95,283,276.25,277.15,48374
2021-01-20 00:00:00+05:30,278.55,278.55,272.75,274.4,30160
2021-01-21 00:00:00+05:30,275,287,271.4,282.7,142242
2021-01-22 00:00:00+05:30,276.6,286,272.25,284.9,95703
2021-01-25 00:00:00+05:30,284.9,286.4,270,271.9,43192
2021-01-27 00:00:00+05:30,277.85,277.85,267.1,268.2,23639
2021-01-28 00:00:00+05:30,269.4,271.1,262.05,267.05,33454
2021-01-29 00:00:00+05:30,268.35,271.35,267.05,269.8,22575
2021-02-01 00:00:00+05:30,270.95,276.4,266.05,274.4,27905
2021-02-02 00:00:00+05:30,281.9,284.75,275,281,75097
2021-02-03 00:00:00+05:30,281,284.7,279,283,41667
2021-02-04 00:00:00+05:30,282.85,284.6,275,276.5,23939
2021-02-05 00:00:00+05:30,276.5,304.8,276.3,299.5,244605
2021-02-08 00:00:00+05:30,306.4,317,300,315.25,169573
2021-02-09 00:00:00+05:30,313,317.4,303.05,305.3,67969
2021-02-10 00:00:00+05:30,308.5,324,301.35,309.8,79918
2021-02-11 00:00:00+05:30,309.8,317.45,308,309.75,24827
2021-02-12 00:00:00+05:30,310,313.95,306.5,307.45,23945
2021-02-15 00:00:00+05:30,309,312,304.9,307.4,174076
2021-02-16 00:00:00+05:30,309,310.2,286.5,290.65,279943
2021-02-17 00:00:00+05:30,289.05,289.1,274.7,277.75,273063
2021-02-18 00:00:00+05:30,283,283,280,281.4,108059
2021-02-19 00:00:00+05:30,277.1,290,277.1,284.95,117782
2021-02-22 00:00:00+05:30,285.5,285.5,280.25,282.2,18501
2021-02-23 00:00:00+05:30,282.75,286.95,279.6,283.7,15922
2021-02-24 00:00:00+05:30,285.45,289.9,283.35,287.15,9349
2021-02-25 00:00:00+05:30,287.15,293.25,285.1,291.5,17367
2021-02-26 00:00:00+05:30,289,295.9,284.55,293.15,36204
2021-03-01 00:00:00+05:30,291.4,301,289.5,297.35,24247
2021-03-02 00:00:00+05:30,297.7,299.75,288,289.3,14437
2021-03-03 00:00:00+05:30,289.2,292,287.5,288.05,9033
2021-03-04 00:00:00+05:30,287,296.55,286.85,291.4,188202
2021-03-05 00:00:00+05:30,289,295.35,285.2,288.75,14629
2021-03-08 00:00:00+05:30,288.75,293.55,286.5,289.65,8200
2021-03-09 00:00:00+05:30,291.3,291.3,284.1,285.2,31178
2021-03-10 00:00:00+05:30,289.9,302.8,287.6,300.25,140304
2021-03-12 00:00:00+05:30,302.9,309,298.35,300.05,108756
2021-03-15 00:00:00+05:30,301.6,309,289.1,306.7,152741
2021-03-16 00:00:00+05:30,310,311.5,298.05,303.05,23561
2021-03-17 00:00:00+05:30,303.05,303.05,295.45,297.95,9816
2021-03-18 00:00:00+05:30,296.8,307,291.55,304,32066
2021-03-19 00:00:00+05:30,301.2,308,287.75,304.3,55909
2021-03-22 00:00:00+05:30,307.5,309,298,305.15,25235
2021-03-23 00:00:00+05:30,302.4,307.1,298.25,304.55,22941
2021-03-24 00:00:00+05:30,304,316,294.8,307.8,43379
2021-03-25 00:00:00+05:30,312.35,312.35,304.7,309.25,70384
2021-03-26 00:00:00+05:30,308.1,310.9,296,298.05,19552
2021-03-30 00:00:00+05:30,296,304.7,293.4,302.3,8854
2021-03-31 00:00:00+05:30,303.85,303.85,297.1,299.2,2698
2021-04-01 00:00:00+05:30,300.75,308,300.75,302.25,6638
2021-04-05 00:00:00+05:30,299.5,301.95,292,292.75,6066
2021-04-06 00:00:00+05:30,290.75,301.8,289.05,297.75,8714
2021-04-07 00:00:00+05:30,297.3,300.45,291.7,294.45,5832
2021-04-08 00:00:00+05:30,297.6,297.7,292,294.3,4713
2021-04-09 00:00:00+05:30,291.1,299.4,291.05,294.55,4041
2021-04-12 00:00:00+05:30,292,293.5,278.25,285.95,18164
2021-04-13 00:00:00+05:30,285.95,298.95,279.25,294.95,23472
2021-04-15 00:00:00+05:30,295,295,287.95,291.05,51646
2021-04-16 00:00:00+05:30,292.7,294.9,286.6,291.75,113104
2021-04-19 00:00:00+05:30,290,290,279.95,285.05,14915
2021-04-20 00:00:00+05:30,283,294.25,283,286.2,8190
2021-04-22 00:00:00+05:30,280.55,287.1,280.1,282.9,9101
2021-04-23 00:00:00+05:30,280.5,289,280.45,285.85,5331
2021-04-26 00:00:00+05:30,283.6,293.25,283.6,289.2,6306
2021-04-27 00:00:00+05:30,290.9,293,286.25,289.45,9700
2021-04-28 00:00:00+05:30,289.65,296,283.55,287.5,9546
2021-04-29 00:00:00+05:30,288.7,289.95,285,285.4,2108
2021-04-30 00:00:00+05:30,284.25,286.75,282.45,284.55,9326
2021-05-03 00:00:00+05:30,281.55,288.95,280.05,283.75,114601
2021-05-04 00:00:00+05:30,283.8,287,280,281.25,53472
2021-05-05 00:00:00+05:30,286.5,295,286,292.45,20434
2021-05-06 00:00:00+05:30,294.95,298.8,287.65,290.2,9029
2021-05-07 00:00:00+05:30,290.25,297,287.5,293,13896
2021-05-10 00:00:00+05:30,296.95,296.95,289.6,290.25,11060
2021-05-11 00:00:00+05:30,290,292.7,288.45,290.4,13226
2021-05-12 00:00:00+05:30,290.4,292.55,287.7,289.95,9429
2021-05-14 00:00:00+05:30,295,295,283.1,288.9,39874
2021-05-17 00:00:00+05:30,290.05,291.7,289.75,290,7059
2021-05-18 00:00:00+05:30,290.6,293.8,288.95,290.1,32741
2021-05-19 00:00:00+05:30,286,294,286,292,13564
2021-05-20 00:00:00+05:30,291.8,294.2,290,293.1,14525
2021-05-21 00:00:00+05:30,298,302,291,297.2,53902
2021-05-24 00:00:00+05:30,302.7,304.75,297,303.2,51815
2021-05-25 00:00:00+05:30,308.6,308.6,303.85,306.05,12438
2021-05-26 00:00:00+05:30,309.85,311.5,304.25,307.8,12867
2021-05-27 00:00:00+05:30,312.5,312.5,305.35,309.85,9335
2021-05-28 00:00:00+05:30,311.6,312.45,305,309,10371
2021-05-31 00:00:00+05:30,310.95,311,305,306,12855
2021-06-01 00:00:00+05:30,309.95,310,306.1,308,8755
2021-06-02 00:00:00+05:30,306.1,334.5,306.1,321.35,97256
2021-06-03 00:00:00+05:30,323,329.1,315,317.1,20990
2021-06-04 00:00:00+05:30,317.2,334,315,324.75,23644
2021-06-07 00:00:00+05:30,329.75,329.75,320.1,322.35,22179
2021-06-08 00:00:00+05:30,325,325,316,318.8,23352
2021-06-09 00:00:00+05:30,319,325,312.7,315.6,19347
2021-06-10 00:00:00+05:30,310.05,326.5,309.95,323.15,26971
2021-06-11 00:00:00+05:30,329,329,319.95,321.2,10780
2021-06-14 00:00:00+05:30,318.05,320.95,309.5,314.3,14003
2021-06-15 00:00:00+05:30,318.9,318.9,312,314.35,5914
2021-06-16 00:00:00+05:30,312.3,324.2,312.3,317.65,12635
2021-06-17 00:00:00+05:30,314.5,320.05,314,317.65,7553
2021-06-18 00:00:00+05:30,319.8,323,297.05,318.25,7556
2021-06-21 00:00:00+05:30,319.9,325.6,307.05,318.55,5484
2021-06-22 00:00:00+05:30,321.7,322.65,311.45,315.9,12419
2021-06-23 00:00:00+05:30,313.1,320.5,313.1,318.85,9035
2021-06-24 00:00:00+05:30,316.85,322.45,315.35,320.1,6894
2021-06-25 00:00:00+05:30,323.5,339.4,317.45,331.5,59396
2021-06-28 00:00:00+05:30,359,397.8,351,389.2,612044
2021-06-29 00:00:00+05:30,390.9,391,365.95,368.85,131255
