date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,7.85,7.85,7.65,7.75,287348
2021-01-04 00:00:00+05:30,7.75,7.95,7.05,7.55,717254
2021-01-05 00:00:00+05:30,7.55,7.6,7.4,7.4,380641
2021-01-06 00:00:00+05:30,7.5,8.1,7.45,8.1,1891853
2021-01-07 00:00:00+05:30,8.9,8.9,8.6,8.9,2119479
2021-01-08 00:00:00+05:30,9.35,9.5,8.35,8.6,1620145
2021-01-11 00:00:00+05:30,8.55,8.85,7.9,8.1,834839
2021-01-12 00:00:00+05:30,8.1,8.5,8.1,8.25,427139
2021-01-13 00:00:00+05:30,8.25,8.5,8.05,8.25,541808
2021-01-14 00:00:00+05:30,8.25,8.3,7.95,8.1,288977
2021-01-15 00:00:00+05:30,8.1,8.25,7.95,8,355875
2021-01-18 00:00:00+05:30,8,8,7.3,7.65,341756
2021-01-19 00:00:00+05:30,7.7,7.95,7.55,7.7,401142
2021-01-20 00:00:00+05:30,7.8,7.8,7.3,7.45,374094
2021-01-21 00:00:00+05:30,7.45,7.7,7.25,7.3,313896
2021-01-22 00:00:00+05:30,7.4,7.4,6.95,7.05,327911
2021-01-25 00:00:00+05:30,7.25,7.25,6.55,7,230199
2021-01-27 00:00:00+05:30,6.85,7,6.5,6.8,311829
2021-01-28 00:00:00+05:30,6.5,7.45,6.5,7.15,397229
2021-01-29 00:00:00+05:30,7.3,7.4,7,7.05,246243
2021-02-01 00:00:00+05:30,7.25,7.45,6.9,7.15,238442
2021-02-02 00:00:00+05:30,7.2,7.45,6.5,6.85,596074
2021-02-03 00:00:00+05:30,6.9,7.3,6.8,7.2,529764
2021-02-04 00:00:00+05:30,7.35,7.35,7.05,7.1,193738
2021-02-05 00:00:00+05:30,7.25,7.25,6.95,7,166204
2021-02-08 00:00:00+05:30,7,7.2,6.85,6.9,306400
2021-02-09 00:00:00+05:30,6.75,6.95,6.65,6.75,253556
2021-02-10 00:00:00+05:30,6.75,7.05,6.3,6.9,293840
2021-02-11 00:00:00+05:30,7,7.45,6.7,7.1,471652
2021-02-12 00:00:00+05:30,7.2,7.2,6.85,6.9,181144
2021-02-15 00:00:00+05:30,6.9,6.95,6.7,6.8,154852
2021-02-16 00:00:00+05:30,6.8,7.1,6.75,6.8,261579
2021-02-17 00:00:00+05:30,6.85,7.45,6.7,7.25,612095
2021-02-18 00:00:00+05:30,7.45,7.45,6.9,7.05,564472
2021-02-19 00:00:00+05:30,7.05,7.15,6.75,6.95,417433
2021-02-22 00:00:00+05:30,6.9,7.05,6.8,6.85,171860
2021-02-23 00:00:00+05:30,6.85,7,6.75,6.85,227840
2021-02-24 00:00:00+05:30,6.9,6.95,6.75,6.8,99540
2021-02-25 00:00:00+05:30,6.8,7.1,6.75,6.95,369618
2021-02-26 00:00:00+05:30,6.8,6.9,6.65,6.75,307556
2021-03-01 00:00:00+05:30,6.85,7.1,6.75,6.85,212514
2021-03-02 00:00:00+05:30,6.9,7,6.85,6.9,289677
2021-03-03 00:00:00+05:30,6.9,7.05,6.8,6.95,314894
2021-03-04 00:00:00+05:30,6.8,7,6.75,6.85,266729
2021-03-05 00:00:00+05:30,6.85,7,6.8,6.85,226753
2021-03-08 00:00:00+05:30,6.9,7.05,6.75,6.75,463141
2021-03-09 00:00:00+05:30,6.75,6.85,6.65,6.7,204238
2021-03-10 00:00:00+05:30,6.7,6.75,6.5,6.65,290214
2021-03-12 00:00:00+05:30,6.7,6.75,6.6,6.6,210589
2021-03-15 00:00:00+05:30,6.6,6.7,6.25,6.4,242369
2021-03-16 00:00:00+05:30,6.4,6.65,6.3,6.3,153627
2021-03-17 00:00:00+05:30,6.3,6.55,6.2,6.3,248016
2021-03-18 00:00:00+05:30,6.3,6.45,6.1,6.15,274008
2021-03-19 00:00:00+05:30,6.1,6.2,5.6,6.1,308638
2021-03-22 00:00:00+05:30,6.2,6.3,5.85,5.95,279059
2021-03-23 00:00:00+05:30,6,6.4,5.9,6.3,289057
2021-03-24 00:00:00+05:30,6.4,6.75,5.7,5.7,1062612
2021-03-25 00:00:00+05:30,5.85,6,5.7,5.75,478131
2021-03-26 00:00:00+05:30,5.8,6.1,5.5,5.65,329146
2021-03-30 00:00:00+05:30,5.7,5.75,5.4,5.5,338140
2021-03-31 00:00:00+05:30,5.5,5.6,5.3,5.35,181023
2021-04-01 00:00:00+05:30,5.45,5.85,5.3,5.85,230826
2021-04-05 00:00:00+05:30,5.8,6.3,5.8,6.15,395766
2021-04-06 00:00:00+05:30,6.3,6.75,6.15,6.75,531024
2021-04-07 00:00:00+05:30,6.7,7.2,6.5,6.85,1416968
2021-04-08 00:00:00+05:30,7,7.25,6.85,7,721190
2021-04-09 00:00:00+05:30,7.15,7.35,7.05,7.15,358092
2021-04-12 00:00:00+05:30,7.15,7.15,6.1,6.2,748202
2021-04-13 00:00:00+05:30,6.35,6.5,6.2,6.35,214727
2021-04-15 00:00:00+05:30,6.35,6.35,6.2,6.25,157811
2021-04-16 00:00:00+05:30,6.25,6.35,6.2,6.25,136421
2021-04-19 00:00:00+05:30,6.1,6.15,5.55,6,258978
2021-04-20 00:00:00+05:30,6.15,6.2,5.95,6,195928
2021-04-22 00:00:00+05:30,6,6.2,5.8,5.9,230047
2021-04-23 00:00:00+05:30,5.9,6.3,5.85,6.1,325288
2021-04-26 00:00:00+05:30,6.3,6.3,6.05,6.1,117957
2021-04-27 00:00:00+05:30,6.1,6.2,6,6.05,170397
2021-04-28 00:00:00+05:30,6.2,6.2,6,6,196863
2021-04-29 00:00:00+05:30,6.05,6.15,5.85,5.9,186181
2021-04-30 00:00:00+05:30,5.9,6.2,5.8,5.95,211429
2021-05-03 00:00:00+05:30,5.85,6.5,5.8,6.1,376369
2021-05-04 00:00:00+05:30,6.15,6.45,6.1,6.3,323787
2021-05-05 00:00:00+05:30,6.45,6.45,6.05,6.35,412114
2021-05-06 00:00:00+05:30,6.35,6.65,6.1,6.25,468133
2021-05-07 00:00:00+05:30,6.25,6.4,6.2,6.25,270272
2021-05-10 00:00:00+05:30,6.35,6.35,5.95,6.1,569089
2021-05-11 00:00:00+05:30,6,6.35,6,6.3,359734
2021-05-12 00:00:00+05:30,6.4,7.55,6.1,7.55,4541842
2021-05-14 00:00:00+05:30,7.95,8.95,7.6,8.1,5318067
2021-05-17 00:00:00+05:30,8.25,8.7,7.65,8.1,1937261
2021-05-18 00:00:00+05:30,8.25,8.25,7.5,7.6,903543
2021-05-19 00:00:00+05:30,7.2,7.55,7.2,7.35,665709
2021-05-20 00:00:00+05:30,7.5,7.5,7,7.35,321686
2021-05-21 00:00:00+05:30,7.45,7.7,7.4,7.6,627350
2021-05-24 00:00:00+05:30,7.3,7.7,7.25,7.4,301999
2021-05-25 00:00:00+05:30,7.25,7.5,7.1,7.2,299300
2021-05-26 00:00:00+05:30,7.4,7.4,7.1,7.3,300424
2021-05-27 00:00:00+05:30,7.35,7.5,7.3,7.4,214938
2021-05-28 00:00:00+05:30,7.45,7.45,7.1,7.2,232224
2021-05-31 00:00:00+05:30,7.1,7.35,7,7.1,170493
2021-06-01 00:00:00+05:30,7.05,7.25,6.75,6.95,472606
2021-06-02 00:00:00+05:30,6.9,7.25,6.65,6.75,705715
2021-06-03 00:00:00+05:30,6.75,7.05,6.75,7,199316
2021-06-04 00:00:00+05:30,7.25,7.3,7,7.1,350831
2021-06-07 00:00:00+05:30,7.15,7.3,6.95,7.2,544044
2021-06-08 00:00:00+05:30,7.2,7.35,7.1,7.25,528467
2021-06-09 00:00:00+05:30,7.3,7.6,7.15,7.45,865525
2021-06-10 00:00:00+05:30,7.4,7.6,7.35,7.45,354150
2021-06-11 00:00:00+05:30,7.6,7.7,7.45,7.6,443711
2021-06-14 00:00:00+05:30,7.85,7.85,7.3,7.45,404941
2021-06-15 00:00:00+05:30,7.6,7.6,7.2,7.45,497028
