date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,49,50.45,48.5,49.9,307054
2021-01-04 00:00:00+05:30,50.5,50.85,49.4,49.9,256475
2021-01-05 00:00:00+05:30,49.15,50.4,49.15,50,244279
2021-01-06 00:00:00+05:30,50.05,54,49.85,52.85,1031080
2021-01-07 00:00:00+05:30,53.75,54.5,51.85,52.2,312139
2021-01-08 00:00:00+05:30,52.5,54.7,51,51.1,232190
2021-01-11 00:00:00+05:30,51.15,51.75,45.1,48.2,627009
2021-01-12 00:00:00+05:30,48.2,49.8,48.15,49.05,155666
2021-01-13 00:00:00+05:30,49.5,49.75,46.8,47.8,254245
2021-01-14 00:00:00+05:30,47.5,48.9,46.25,47.35,217070
2021-01-15 00:00:00+05:30,47.2,48.05,46.6,47.05,98091
2021-01-18 00:00:00+05:30,47,48.35,46.05,46.9,103839
2021-01-19 00:00:00+05:30,46.6,47.85,46.6,46.95,77388
2021-01-20 00:00:00+05:30,46.8,47.6,46.7,46.95,63750
2021-01-21 00:00:00+05:30,47.25,47.5,46.15,46.25,100557
2021-01-22 00:00:00+05:30,46.75,46.9,45.6,46.35,170218
2021-01-25 00:00:00+05:30,46.9,46.9,45.6,45.9,170886
2021-01-27 00:00:00+05:30,46.3,46.7,44.1,44.7,192442
2021-01-28 00:00:00+05:30,44.95,45.5,43.65,43.9,144799
2021-01-29 00:00:00+05:30,44.4,44.85,42.8,43,209221
2021-02-01 00:00:00+05:30,43.65,44.2,42.6,43.7,96261
2021-02-02 00:00:00+05:30,44.1,45.4,44.1,45.15,107379
2021-02-03 00:00:00+05:30,45.95,48,45.05,46.85,153273
2021-02-04 00:00:00+05:30,47.8,47.8,46.3,46.5,82244
2021-02-05 00:00:00+05:30,48.45,48.45,45.15,45.85,105019
2021-02-08 00:00:00+05:30,46,47.25,46,46.05,110891
2021-02-09 00:00:00+05:30,47,47,46,46.05,84627
2021-02-10 00:00:00+05:30,46.35,48,45,47.3,275702
2021-02-11 00:00:00+05:30,47.9,48,46.9,47.1,146316
2021-02-12 00:00:00+05:30,47.75,47.75,47,47.05,169193
2021-02-15 00:00:00+05:30,47.05,47.95,46,46.4,94440
2021-02-16 00:00:00+05:30,46.7,47.1,45.8,46.15,77459
2021-02-17 00:00:00+05:30,46.15,47.2,45.35,45.65,271466
2021-02-18 00:00:00+05:30,45.6,46.45,45.05,46.05,157902
2021-02-19 00:00:00+05:30,46.35,46.6,45.45,45.65,151737
2021-02-22 00:00:00+05:30,46.25,46.5,43.5,44.15,149571
2021-02-23 00:00:00+05:30,44.5,45.95,43.75,43.9,148388
2021-02-24 00:00:00+05:30,44.7,45.35,43.75,43.95,60288
2021-02-25 00:00:00+05:30,44.15,44.8,43.85,44.65,153970
2021-02-26 00:00:00+05:30,44.5,45.25,43.95,44.25,159101
2021-03-01 00:00:00+05:30,44.1,45.2,44.1,44.65,70293
2021-03-02 00:00:00+05:30,45.15,46,44.7,45.75,134799
2021-03-03 00:00:00+05:30,45.9,49.7,45.9,48.15,883620
2021-03-04 00:00:00+05:30,47.65,49.25,45.9,47.05,399590
2021-03-05 00:00:00+05:30,47,47.25,45.75,45.9,162716
2021-03-08 00:00:00+05:30,45.7,47.95,45.7,46.85,189709
2021-03-09 00:00:00+05:30,47.2,49.75,46.85,48.3,574905
2021-03-10 00:00:00+05:30,48.5,49.25,47.7,47.9,117467
2021-03-12 00:00:00+05:30,48,48.85,45.65,46.55,138940
2021-03-15 00:00:00+05:30,46,48.9,45.5,47.4,224441
2021-03-16 00:00:00+05:30,47.8,48.25,46.2,46.7,89140
2021-03-17 00:00:00+05:30,46.3,46.9,44.45,44.7,164702
2021-03-18 00:00:00+05:30,45.5,46,43,44.5,179883
2021-03-19 00:00:00+05:30,44,44.5,42.85,43.95,136434
2021-03-22 00:00:00+05:30,43.5,45.75,43.5,45,78300
2021-03-23 00:00:00+05:30,45.5,45.7,44.4,45,50982
2021-03-24 00:00:00+05:30,45.15,45.15,44.3,44.4,40419
2021-03-25 00:00:00+05:30,44.35,44.7,42.9,43.35,89142
2021-03-26 00:00:00+05:30,43.8,44.7,43.1,43.5,98517
2021-03-30 00:00:00+05:30,44.4,45.2,44,44.3,101567
2021-03-31 00:00:00+05:30,44.65,45.65,44,45,115588
2021-04-01 00:00:00+05:30,45,46.5,45,46.35,138918
2021-04-05 00:00:00+05:30,47.2,47.2,44.3,45.25,91834
2021-04-06 00:00:00+05:30,45.9,46.6,44.2,46.3,119927
2021-04-07 00:00:00+05:30,46.7,46.9,45.7,46.5,78934
2021-04-08 00:00:00+05:30,46.5,47,45.2,46.25,117660
2021-04-09 00:00:00+05:30,46.75,46.75,45.5,45.85,75536
2021-04-12 00:00:00+05:30,45,45.5,43.6,44,197010
2021-04-13 00:00:00+05:30,44.4,45.35,44.1,45,65082
2021-04-15 00:00:00+05:30,44.25,45,43.4,43.85,89089
2021-04-16 00:00:00+05:30,43.55,44.6,43,43.25,134837
2021-04-19 00:00:00+05:30,42.6,43.45,41.5,42.25,168670
2021-04-20 00:00:00+05:30,42.5,45.4,42.5,43.65,100785
2021-04-22 00:00:00+05:30,43.05,44,42.7,43.65,102055
2021-04-23 00:00:00+05:30,44.2,44.95,43.65,44,111898
2021-04-26 00:00:00+05:30,44.25,47,44.2,46.35,380875
2021-04-27 00:00:00+05:30,46.75,51.75,46.7,49.55,1186666
2021-04-28 00:00:00+05:30,49.8,52,49.8,50.75,490182
2021-04-29 00:00:00+05:30,51.2,51.2,47.95,48.6,275893
2021-04-30 00:00:00+05:30,47.7,49.1,47.05,47.5,198209
2021-05-03 00:00:00+05:30,47.5,51.35,47.05,50,438174
2021-05-04 00:00:00+05:30,50.25,53.4,50,50.25,744590
2021-05-05 00:00:00+05:30,50.6,52.15,50.5,51.1,224904
2021-05-06 00:00:00+05:30,51.75,54,50.25,52.65,692178
2021-05-07 00:00:00+05:30,53.75,56.4,52.5,54.65,851825
2021-05-10 00:00:00+05:30,55.5,56.8,53.6,54.3,460948
2021-05-11 00:00:00+05:30,53.85,57.55,53.05,56.35,694821
2021-05-12 00:00:00+05:30,56.9,57.75,54.3,54.85,539579
2021-05-14 00:00:00+05:30,55,56,52.75,53.3,224048
2021-05-17 00:00:00+05:30,53.6,55.5,53.6,54.55,197890
2021-05-18 00:00:00+05:30,55.5,55.9,54.05,54.6,176740
2021-05-19 00:00:00+05:30,54.95,55.95,54.05,55,132979
2021-05-20 00:00:00+05:30,54.85,60.4,54.2,58.4,1234778
2021-05-21 00:00:00+05:30,60.5,62.7,60,60.2,1078022
2021-05-24 00:00:00+05:30,60.85,67.85,58.55,65.9,1465249
2021-05-25 00:00:00+05:30,67,72.3,66.45,68.9,2236376
2021-05-26 00:00:00+05:30,69.65,72.6,69.15,70.7,834888
2021-05-27 00:00:00+05:30,71.9,71.9,66.15,67.1,436544
2021-05-28 00:00:00+05:30,67.25,68.4,63.5,64.65,384913
2021-05-31 00:00:00+05:30,64.95,67,63.65,64.1,205030
2021-06-01 00:00:00+05:30,65,66.5,60.7,63.8,280277
2021-06-02 00:00:00+05:30,64.5,64.7,63,63.45,162484
2021-06-03 00:00:00+05:30,64.05,65.25,63,64.05,195855
2021-06-04 00:00:00+05:30,64.05,64.7,63.5,63.85,127617
2021-06-07 00:00:00+05:30,64.75,67.7,63.05,66.5,414419
2021-06-08 00:00:00+05:30,68,70,66.5,68.1,530804
2021-06-09 00:00:00+05:30,68.6,73,67.5,68.15,901949
2021-06-10 00:00:00+05:30,68.7,72,68.5,69.8,514680
2021-06-11 00:00:00+05:30,70.8,71.65,68.45,69,221728
2021-06-14 00:00:00+05:30,69.85,69.85,65.5,67.45,328267
2021-06-15 00:00:00+05:30,67.6,69.4,67.05,67.6,208482
2021-06-16 00:00:00+05:30,68.25,68.25,66.25,66.65,126521
2021-06-17 00:00:00+05:30,66,68.65,64.9,66.7,165313
2021-06-18 00:00:00+05:30,68,68,61.2,64.8,276723
2021-06-21 00:00:00+05:30,64,66.65,62.85,66.05,156349
2021-06-22 00:00:00+05:30,66.75,67.4,65.35,65.6,169056
2021-06-23 00:00:00+05:30,65.6,66.7,65.35,65.85,93175
2021-06-24 00:00:00+05:30,67,68.45,65.55,66.5,191936
2021-06-25 00:00:00+05:30,67.5,67.85,66.1,66.65,113336
2021-06-28 00:00:00+05:30,67.5,67.9,65.5,67.5,134049
2021-06-29 00:00:00+05:30,67,79,66.75,76.85,2755801
2021-06-30 00:00:00+05:30,81,81.8,68.2,70.6,2737702
2021-07-01 00:00:00+05:30,71.4,73.4,68.75,71.95,577655
2021-07-02 00:00:00+05:30,72.5,72.85,69.85,72.45,312939
2021-07-05 00:00:00+05:30,75,77.55,72.45,75.95,618594
2021-07-06 00:00:00+05:30,76.65,77.8,74.25,74.75,383718
2021-07-07 00:00:00+05:30,74.7,76,73.4,74.35,382857
2021-07-08 00:00:00+05:30,75.3,76.2,73.05,73.6,524488
2021-07-09 00:00:00+05:30,74,76.95,73.65,74.55,659058
2021-07-12 00:00:00+05:30,76.05,76.95,75.2,75.65,520220
2021-07-13 00:00:00+05:30,76.75,84.75,75.25,82.45,1687839
2021-07-14 00:00:00+05:30,83.9,83.9,79.45,80.15,794321
2021-07-15 00:00:00+05:30,80.75,81.75,76.55,77.45,639167
2021-07-16 00:00:00+05:30,78.6,81,77,79.3,600528
2021-07-19 00:00:00+05:30,78.6,82.2,78.25,79.25,614169
