date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,47.85,48,46.1,46.95,55758
2021-01-04 00:00:00+05:30,47.5,48,47,47.35,61370
2021-01-05 00:00:00+05:30,47.6,47.7,46.35,47.25,53366
2021-01-06 00:00:00+05:30,44.9,48,44.9,46.85,68317
2021-01-07 00:00:00+05:30,46.45,47.8,46.45,46.8,49588
2021-01-08 00:00:00+05:30,47,47.65,46.1,46.7,54752
2021-01-11 00:00:00+05:30,45.8,46.95,45.2,46.05,43156
2021-01-12 00:00:00+05:30,45.55,46.9,45.1,46.1,50168
2021-01-13 00:00:00+05:30,46.85,46.85,45.5,45.6,36036
2021-01-14 00:00:00+05:30,46.2,46.2,45,45.8,30393
2021-01-15 00:00:00+05:30,46,46.3,45,45.05,25528
2021-01-18 00:00:00+05:30,45.05,45.95,43.55,43.95,29773
2021-01-19 00:00:00+05:30,43.95,44.9,43.5,44.6,26552
2021-01-20 00:00:00+05:30,44,44.55,43.5,44,31432
2021-01-21 00:00:00+05:30,44,45,43.45,43.65,38339
2021-01-22 00:00:00+05:30,43,44.9,42.15,43,50779
2021-01-25 00:00:00+05:30,42.9,44.5,42,42.25,15658
2021-01-27 00:00:00+05:30,41.7,41.8,40.15,40.55,38842
2021-01-28 00:00:00+05:30,40.2,41.9,40.15,40.8,25454
2021-01-29 00:00:00+05:30,41.95,42.45,41,41.4,20438
2021-02-01 00:00:00+05:30,41.8,42.9,41.1,42.3,29825
2021-02-02 00:00:00+05:30,42.9,44.4,42.9,44.25,59935
2021-02-03 00:00:00+05:30,44.85,46.45,44,46.05,86733
2021-02-04 00:00:00+05:30,46,46.9,45,45.9,72851
2021-02-05 00:00:00+05:30,46.7,47.1,44.5,44.65,78074
2021-02-08 00:00:00+05:30,44.65,45.95,43.15,44.45,115601
2021-02-09 00:00:00+05:30,44.5,45.7,44.25,44.55,42305
2021-02-10 00:00:00+05:30,44.8,44.9,43.2,44.15,75178
2021-02-11 00:00:00+05:30,43.55,46.8,43.2,44.8,188213
2021-02-12 00:00:00+05:30,45.4,45.8,43.7,43.85,81439
2021-02-15 00:00:00+05:30,43.8,43.8,41.5,41.75,122704
2021-02-16 00:00:00+05:30,41.8,42.9,41.15,41.45,60165
2021-02-17 00:00:00+05:30,41.55,43.65,41.2,41.9,68041
2021-02-18 00:00:00+05:30,42.7,45.35,41.25,44.6,256849
2021-02-19 00:00:00+05:30,44.1,45.6,42.35,43.4,166761
2021-02-22 00:00:00+05:30,43.5,44.2,41.8,41.95,166486
2021-02-23 00:00:00+05:30,42.7,42.8,41.6,41.85,47198
2021-02-24 00:00:00+05:30,41.55,42.9,40.75,41.85,53995
2021-02-25 00:00:00+05:30,42.1,46,42.1,46,309412
2021-02-26 00:00:00+05:30,45.1,49,43.3,45.9,705948
2021-03-01 00:00:00+05:30,46.5,49,46,46.85,388102
2021-03-02 00:00:00+05:30,46.75,47.7,45.45,46.25,269797
2021-03-03 00:00:00+05:30,46.7,47.5,46.1,46.3,125666
2021-03-04 00:00:00+05:30,46.4,48.5,46.3,46.9,216693
2021-03-05 00:00:00+05:30,46.9,47.9,45.05,45.4,98078
2021-03-08 00:00:00+05:30,46,47.3,45.55,45.9,83360
2021-03-09 00:00:00+05:30,46.65,46.7,43.8,44.3,118298
2021-03-10 00:00:00+05:30,44.5,45.5,44.5,44.8,65609
2021-03-12 00:00:00+05:30,45.7,49.25,45.65,49.1,990301
2021-03-15 00:00:00+05:30,49.8,52.5,48.15,51.6,1080071
2021-03-16 00:00:00+05:30,52,53.45,49.05,49.35,337359
2021-03-17 00:00:00+05:30,49.75,49.75,45.05,46.3,199996
2021-03-18 00:00:00+05:30,46.7,48.5,45.5,46.3,159813
2021-03-19 00:00:00+05:30,45.1,45.95,43.65,45.7,118520
2021-03-22 00:00:00+05:30,45.7,48.2,45.5,46.95,141237
2021-03-23 00:00:00+05:30,47.25,47.9,45.75,46.05,71018
2021-03-24 00:00:00+05:30,46.4,47,43.85,44.25,80797
2021-03-25 00:00:00+05:30,44.3,45.85,42.5,42.85,181895
2021-03-26 00:00:00+05:30,43,44.75,42.25,42.6,82794
2021-03-30 00:00:00+05:30,42.6,43.9,42.6,43.1,73492
2021-03-31 00:00:00+05:30,42.85,45.5,42.75,43.65,74038
2021-04-01 00:00:00+05:30,43.75,45.5,43.75,45.25,80955
2021-04-05 00:00:00+05:30,44.35,45.3,42.9,43.6,102150
2021-04-06 00:00:00+05:30,43.25,44.85,43.25,43.6,44114
2021-04-07 00:00:00+05:30,43.6,44.45,43.5,43.7,57000
2021-04-08 00:00:00+05:30,44.6,46.4,44.6,45.3,155040
2021-04-09 00:00:00+05:30,46,50.9,41,48.6,690538
2021-04-12 00:00:00+05:30,47.65,47.65,44,44.35,218336
2021-04-13 00:00:00+05:30,44.5,46.7,44.2,45.5,165173
2021-04-15 00:00:00+05:30,44.8,45.1,43.5,44.05,86893
2021-04-16 00:00:00+05:30,44.75,45.95,43.6,44.35,125766
2021-04-19 00:00:00+05:30,44.1,44.1,42.05,42.25,98698
2021-04-20 00:00:00+05:30,42.55,43.75,41.15,41.9,174070
2021-04-22 00:00:00+05:30,42.8,42.9,41.8,42.3,60461
2021-04-23 00:00:00+05:30,42.75,44.7,42.15,43.4,189118
2021-04-26 00:00:00+05:30,43.5,52.05,43.2,52.05,3868512
2021-04-27 00:00:00+05:30,51.9,51.9,47.2,47.6,1041424
2021-04-28 00:00:00+05:30,47.7,49.9,46.15,46.65,391751
2021-04-29 00:00:00+05:30,47.8,47.8,45.6,45.8,192152
2021-04-30 00:00:00+05:30,45.75,48,44.8,45.9,462425
2021-05-03 00:00:00+05:30,45.4,47.25,45,46.8,187656
2021-05-04 00:00:00+05:30,47,48.25,45.25,45.65,251042
2021-05-05 00:00:00+05:30,46.1,47.4,44.95,45.7,198901
2021-05-06 00:00:00+05:30,46.3,47.5,45.5,46.8,212655
2021-05-07 00:00:00+05:30,47.3,47.75,46,46.8,148586
2021-05-10 00:00:00+05:30,47,51.1,47,49.45,743192
2021-05-11 00:00:00+05:30,49,54.55,48.35,51.05,1590222
2021-05-12 00:00:00+05:30,51.65,57.5,49.5,55.15,1817375
2021-05-14 00:00:00+05:30,56,58.25,53.55,55.25,817486
2021-05-17 00:00:00+05:30,59,63.5,57.5,60,3003900
2021-05-18 00:00:00+05:30,61.15,61.45,57.25,57.75,696082
2021-05-19 00:00:00+05:30,57.4,59.8,55.85,57.55,614852
2021-05-20 00:00:00+05:30,58.35,58.35,56.5,56.9,226366
2021-05-21 00:00:00+05:30,57.9,59.95,57.05,57.4,317523
2021-05-24 00:00:00+05:30,58,58,56.2,56.7,213877
2021-05-25 00:00:00+05:30,57.2,57.85,55.35,56.25,169522
2021-05-26 00:00:00+05:30,56.9,63.45,56.7,61.8,1980398
2021-05-27 00:00:00+05:30,62.4,64.6,60.8,62.35,915750
2021-05-28 00:00:00+05:30,62.15,62.9,58.6,58.8,374856
2021-05-31 00:00:00+05:30,58.95,62.7,58,60.7,666640
2021-06-01 00:00:00+05:30,60.95,61,57.8,58.15,293102
2021-06-02 00:00:00+05:30,58.95,66.15,58.95,64.4,1933367
2021-06-03 00:00:00+05:30,65.5,65.8,62.1,62.7,609092
2021-06-04 00:00:00+05:30,62.35,64.5,61.85,62.15,318766
2021-06-07 00:00:00+05:30,62.6,65.7,62.25,64.1,662307
2021-06-08 00:00:00+05:30,64.65,66.5,63.5,64.2,733135
2021-06-09 00:00:00+05:30,64.8,71.7,64,66.95,2875515
2021-06-10 00:00:00+05:30,67.7,76.5,67.05,73.15,2459889
2021-06-11 00:00:00+05:30,73.75,75.3,70.2,70.8,626191
2021-06-14 00:00:00+05:30,71.25,71.7,64.25,67.6,596918
2021-06-15 00:00:00+05:30,68.1,69.9,67.5,67.9,284131
2021-06-16 00:00:00+05:30,68.6,72.4,66.1,69.9,830512
2021-06-17 00:00:00+05:30,68.55,72.15,68.55,69.2,344109
2021-06-18 00:00:00+05:30,69.45,70.95,64.5,68.4,417388
2021-06-21 00:00:00+05:30,67,71,66.5,69.05,357990
2021-06-22 00:00:00+05:30,69.2,76.8,69.2,72.55,1177507
2021-06-23 00:00:00+05:30,74.05,74.8,71.7,72.2,380150
2021-06-24 00:00:00+05:30,72,75,70.1,70.95,316806
2021-06-25 00:00:00+05:30,71.5,72.9,69.7,70.05,243992
2021-06-28 00:00:00+05:30,70.05,71.9,69.45,70.7,203340
2021-06-29 00:00:00+05:30,70.7,75.3,69.6,73.35,673712
2021-06-30 00:00:00+05:30,73.65,73.95,65.5,67.1,1003750
2021-07-01 00:00:00+05:30,68.2,68.2,65.8,66.6,337523
2021-07-02 00:00:00+05:30,67.4,68.8,66.4,67.2,192187
2021-07-05 00:00:00+05:30,67.95,68.4,62.7,64.15,798060
2021-07-06 00:00:00+05:30,64.6,67.55,64.05,64.6,479292
2021-07-07 00:00:00+05:30,64.9,65.15,63.25,63.7,135475
2021-07-08 00:00:00+05:30,64.4,66.4,62.55,63.85,330271
2021-07-09 00:00:00+05:30,64.5,65.75,63.8,64.45,160890
2021-07-12 00:00:00+05:30,65.15,65.3,63.5,63.7,141192
2021-07-13 00:00:00+05:30,64,64.45,62.3,63.65,160455
2021-07-14 00:00:00+05:30,63.65,67.25,63.65,65.6,509625
2021-07-15 00:00:00+05:30,66.4,70.9,64.1,69.8,1140161
2021-07-16 00:00:00+05:30,70.8,71.5,67.2,67.6,418740
2021-07-19 00:00:00+05:30,67.35,69,65.5,66.1,278212
2021-07-20 00:00:00+05:30,66,66.6,63.1,64.15,199274
2021-07-22 00:00:00+05:30,65.3,69.5,64.6,67.85,368677
2021-07-23 00:00:00+05:30,68.4,68.95,65.6,66.1,159986
2021-07-26 00:00:00+05:30,66.1,68.8,65.2,66.2,161684
2021-07-27 00:00:00+05:30,66.65,67.3,64,65.05,131714
2021-07-28 00:00:00+05:30,65.7,65.8,62.7,63.75,132680
2021-07-29 00:00:00+05:30,64.5,67.45,64.05,65.55,183733
2021-07-30 00:00:00+05:30,66.5,66.5,64.1,64.3,62680
2021-08-02 00:00:00+05:30,64.1,65.75,64.1,64.5,114510
2021-08-03 00:00:00+05:30,65,65.4,64.25,64.45,47843
2021-08-04 00:00:00+05:30,64.5,65.4,61.3,61.65,174384
2021-08-05 00:00:00+05:30,61.65,62.2,58.2,59.7,147572
2021-08-06 00:00:00+05:30,59.7,61.9,59.55,60.35,84602
2021-08-09 00:00:00+05:30,60,60,54.8,56.05,226769
2021-08-10 00:00:00+05:30,56.1,57.15,52.2,52.95,120546
2021-08-11 00:00:00+05:30,53,54.65,46.2,52.05,192655
2021-08-12 00:00:00+05:30,52.1,56.8,52.05,55.8,181943
2021-08-13 00:00:00+05:30,56.45,57.7,55.85,56.15,95354
