date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,182.7,189.8,181.65,185.55,153467
2021-01-04 00:00:00+05:30,186,186.25,181.6,182.25,332524
2021-01-05 00:00:00+05:30,184,185.55,179.8,182.15,134669
2021-01-06 00:00:00+05:30,185.15,185.15,178.05,179.65,121986
2021-01-07 00:00:00+05:30,184.65,187.4,183.3,184.5,126182
2021-01-08 00:00:00+05:30,184.05,186.6,183.4,184.5,461070
2021-01-11 00:00:00+05:30,183.2,184.65,175.3,177.05,566065
2021-01-12 00:00:00+05:30,177.8,193.8,177.6,182.05,1079179
2021-01-13 00:00:00+05:30,183.9,188,177.45,180.85,191842
2021-01-14 00:00:00+05:30,180.45,181.95,178,179.75,86318
2021-01-15 00:00:00+05:30,180.65,183,177.6,179,143802
2021-01-18 00:00:00+05:30,179,179.9,166.4,169.95,141133
2021-01-19 00:00:00+05:30,174.95,175.55,170.7,171.3,57698
2021-01-20 00:00:00+05:30,172.1,174.9,171.5,172.05,85010
2021-01-21 00:00:00+05:30,172.95,174.75,170,170.6,106153
2021-01-22 00:00:00+05:30,172,173,164.15,167.45,119404
2021-01-25 00:00:00+05:30,172,172,164.25,167.85,144281
2021-01-27 00:00:00+05:30,168,171.95,164,164.95,113102
2021-01-28 00:00:00+05:30,163,168.95,161.6,166.75,122520
2021-01-29 00:00:00+05:30,166.75,169.1,162,164.9,84576
2021-02-01 00:00:00+05:30,169,180,167.2,178.1,298201
2021-02-02 00:00:00+05:30,177.95,186.95,176.9,184.3,309730
2021-02-03 00:00:00+05:30,185.5,199,181.5,196.7,558019
2021-02-04 00:00:00+05:30,196.8,203,194.15,195.7,270655
2021-02-05 00:00:00+05:30,195,195.9,188.85,193.45,114534
2021-02-08 00:00:00+05:30,193.5,204,190.1,195.2,196879
2021-02-09 00:00:00+05:30,194.15,198.5,191.1,192.9,96050
2021-02-10 00:00:00+05:30,193,196,186.8,187.55,131580
2021-02-11 00:00:00+05:30,187.25,202,186.1,196.5,153377
2021-02-12 00:00:00+05:30,194,221.1,189.5,212.8,931291
2021-02-15 00:00:00+05:30,213.95,214.85,203.5,205.25,229190
2021-02-16 00:00:00+05:30,205.15,227.65,205,221.6,942814
2021-02-17 00:00:00+05:30,218,221.1,211.6,216.6,288172
2021-02-18 00:00:00+05:30,218.1,228.45,216,219.85,357216
2021-02-19 00:00:00+05:30,219.75,220.9,207.65,212.7,171106
2021-02-22 00:00:00+05:30,212,214.7,204.4,208.4,169776
2021-02-23 00:00:00+05:30,209.45,211.65,201.3,204.45,155756
2021-02-24 00:00:00+05:30,204.45,214.15,203,207.5,96588
2021-02-25 00:00:00+05:30,208.55,211.5,205,205.85,110221
2021-02-26 00:00:00+05:30,204,208.7,196.55,203.8,135601
2021-03-01 00:00:00+05:30,208,210,201.1,204.1,322902
2021-03-02 00:00:00+05:30,206.7,208.9,200.85,202.25,89929
2021-03-03 00:00:00+05:30,203,207,203,203.95,76793
2021-03-04 00:00:00+05:30,204,216.8,203,206.45,193562
2021-03-05 00:00:00+05:30,204.3,212,199,201.4,144720
2021-03-08 00:00:00+05:30,202.9,206,198.5,203.25,240776
2021-03-09 00:00:00+05:30,206.85,207,199.8,200.85,61454
2021-03-10 00:00:00+05:30,203,204.3,200,201.25,56937
2021-03-12 00:00:00+05:30,204.9,204.9,199.5,201.7,71411
2021-03-15 00:00:00+05:30,200.5,214,196.1,206.8,386209
2021-03-16 00:00:00+05:30,207.85,223.45,207.85,212.5,331825
2021-03-17 00:00:00+05:30,213.5,217.9,203,205.5,154654
2021-03-18 00:00:00+05:30,206,209.05,191.15,196.95,212747
2021-03-19 00:00:00+05:30,198.55,199.85,191.25,196.45,128954
2021-03-22 00:00:00+05:30,196.45,201.7,193,198.65,99821
2021-03-23 00:00:00+05:30,198.8,207,198.75,200.65,72468
2021-03-24 00:00:00+05:30,200.5,205,196,199.4,73175
2021-03-25 00:00:00+05:30,196.25,198.8,190,196.35,136235
2021-03-26 00:00:00+05:30,200,208,197.1,202.3,153187
2021-03-30 00:00:00+05:30,201.1,205.35,200,201.85,72363
2021-03-31 00:00:00+05:30,201.85,207.4,200,201.75,81352
2021-04-01 00:00:00+05:30,202.8,209.9,201.65,203.35,81488
2021-04-05 00:00:00+05:30,205.9,205.9,196.7,197.5,115808
2021-04-06 00:00:00+05:30,198.5,205,198.5,200.3,104017
2021-04-07 00:00:00+05:30,201,204.95,198,198.85,93007
2021-04-08 00:00:00+05:30,199.1,204.4,198.75,201.15,79781
2021-04-09 00:00:00+05:30,201.5,205,199.75,200.75,69107
2021-04-12 00:00:00+05:30,193.05,197,182.55,184.2,126137
2021-04-13 00:00:00+05:30,184,194.8,184,192.55,76023
2021-04-15 00:00:00+05:30,192.1,193.95,184.5,191.5,110351
2021-04-16 00:00:00+05:30,190,193.65,188.5,190.4,52646
2021-04-19 00:00:00+05:30,186.6,188.8,180.45,186.8,63677
2021-04-20 00:00:00+05:30,187.95,189,185.05,187.25,55712
2021-04-22 00:00:00+05:30,185.35,188.7,183,184.3,55270
2021-04-23 00:00:00+05:30,184,187.15,182.15,182.6,36529
2021-04-26 00:00:00+05:30,184,187,182.1,183.45,54419
2021-04-27 00:00:00+05:30,183,191.55,183,189.7,34504
