date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,5.4,5.5,5.25,5.4,34428
2021-01-04 00:00:00+05:30,5.5,5.85,5.35,5.7,207250
2021-01-05 00:00:00+05:30,5.85,6.25,5.6,6.25,258198
2021-01-06 00:00:00+05:30,6.85,6.85,6.85,6.85,182736
2021-01-07 00:00:00+05:30,7.15,7.15,6.65,7.15,390047
2021-01-08 00:00:00+05:30,7.5,7.5,6.85,7,255729
2021-01-11 00:00:00+05:30,6.7,7.05,6.65,6.65,114009
2021-01-12 00:00:00+05:30,6.55,6.85,6.35,6.75,97492
2021-01-13 00:00:00+05:30,7,7,6.65,6.8,58589
2021-01-14 00:00:00+05:30,7.1,7.1,6.55,7,111698
2021-01-15 00:00:00+05:30,7.1,7.1,6.65,6.75,29497
2021-01-18 00:00:00+05:30,6.9,7,6.45,6.55,31261
2021-01-19 00:00:00+05:30,6.25,6.85,6.25,6.45,27972
2021-01-20 00:00:00+05:30,6.5,6.7,6.35,6.35,18726
2021-01-21 00:00:00+05:30,6.25,6.6,6.2,6.35,14877
2021-01-22 00:00:00+05:30,6.2,6.5,6.05,6.05,31691
2021-01-25 00:00:00+05:30,6,6.25,5.75,5.8,13459
2021-01-27 00:00:00+05:30,5.55,5.9,5.55,5.6,16172
2021-01-28 00:00:00+05:30,5.35,5.75,5.35,5.45,96059
2021-01-29 00:00:00+05:30,5.55,5.7,5.5,5.6,6131
2021-02-01 00:00:00+05:30,5.6,5.85,5.6,5.85,5220
2021-02-02 00:00:00+05:30,5.7,5.8,5.6,5.7,5447
2021-02-03 00:00:00+05:30,5.7,5.9,5.45,5.65,13218
2021-02-04 00:00:00+05:30,5.45,5.75,5.45,5.55,15977
2021-02-05 00:00:00+05:30,5.55,5.75,5.45,5.5,14068
2021-02-08 00:00:00+05:30,5.6,5.7,5.3,5.45,6019
2021-02-09 00:00:00+05:30,5.7,5.7,5.25,5.55,13537
2021-02-10 00:00:00+05:30,5.55,5.55,5.3,5.45,4283
2021-02-11 00:00:00+05:30,5.7,5.7,5.25,5.6,7576
