date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,43.9,43.9,41.35,42,1847
2021-01-04 00:00:00+05:30,42.85,50.4,42.85,49.65,170583
2021-01-05 00:00:00+05:30,49.6,49.6,45.3,46.8,33119
2021-01-06 00:00:00+05:30,48.95,48.95,40.7,45.3,28234
2021-01-07 00:00:00+05:30,43.9,47.55,43.9,45.3,17434
2021-01-08 00:00:00+05:30,48.85,48.85,45.25,45.45,8091
2021-01-11 00:00:00+05:30,48.55,48.55,43.25,44.85,14293
2021-01-12 00:00:00+05:30,43.35,45.5,43.35,45.45,7524
2021-01-13 00:00:00+05:30,46.45,46.45,44,44.95,8779
2021-01-14 00:00:00+05:30,44.45,45,43.35,44.7,12467
2021-01-15 00:00:00+05:30,43.25,45.9,42.35,43,9781
2021-01-18 00:00:00+05:30,41.3,42.35,37.4,40.8,8559
2021-01-19 00:00:00+05:30,40.85,42.75,40.1,41.05,4779
2021-01-20 00:00:00+05:30,41.05,42.25,40.6,41,257
2021-01-21 00:00:00+05:30,40,41,39.9,40,5510
2021-01-22 00:00:00+05:30,39.55,40.6,39.55,39.6,2963
2021-01-25 00:00:00+05:30,40.5,40.5,39.1,39.7,3191
2021-01-27 00:00:00+05:30,40.4,40.5,39.25,39.45,2365
2021-01-28 00:00:00+05:30,40.5,40.5,39.5,40.1,1645
2021-01-29 00:00:00+05:30,40.05,41.25,40.05,40.85,311
2021-02-01 00:00:00+05:30,42.5,42.5,40.05,40.5,11611
2021-02-02 00:00:00+05:30,41.5,41.5,39.5,40.3,2075
2021-02-03 00:00:00+05:30,39.65,44.75,39.6,42.4,4953
2021-02-04 00:00:00+05:30,44.6,44.65,39.2,41.8,11131
2021-02-05 00:00:00+05:30,41,41.95,40.1,40.45,1449
2021-02-08 00:00:00+05:30,42.1,43.7,40,41.9,1877
2021-02-09 00:00:00+05:30,43,43,40.05,40.5,5504
2021-02-10 00:00:00+05:30,40.7,43.05,40.6,42.75,5018
2021-02-11 00:00:00+05:30,42.45,44.5,42.2,43.85,6864
2021-02-12 00:00:00+05:30,43,44.45,41.85,43.05,3216
2021-02-15 00:00:00+05:30,44.7,44.7,41.85,42,2690
2021-02-16 00:00:00+05:30,43.55,43.55,42.05,43,3339
2021-02-17 00:00:00+05:30,42.25,42.85,41.85,42.3,1827
2021-02-18 00:00:00+05:30,42,42.2,41.7,41.7,2523
2021-02-19 00:00:00+05:30,40.3,45,40.3,42.05,41197
2021-02-22 00:00:00+05:30,43.45,43.45,37.35,42.5,16276
2021-02-23 00:00:00+05:30,41.25,43.75,41.15,43.75,5677
