date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,512,518.2,500,509.6,3167
2021-01-04 00:00:00+05:30,509.85,516,499,505.8,4082
2021-01-05 00:00:00+05:30,514,515,501.05,508.15,1680
2021-01-06 00:00:00+05:30,507.15,516.7,501.5,504.4,7169
2021-01-07 00:00:00+05:30,511.85,515.25,504,509.85,2269
2021-01-08 00:00:00+05:30,514.5,514.5,505.1,510,952
2021-01-11 00:00:00+05:30,520,520,507,510.55,2345
2021-01-12 00:00:00+05:30,519,519,495,500.1,1316
2021-01-13 00:00:00+05:30,509.95,510,491,497.65,1367
2021-01-14 00:00:00+05:30,515,515,491.45,494.75,1553
2021-01-15 00:00:00+05:30,497,505,492.05,493,1526
2021-01-18 00:00:00+05:30,500,500,480.2,484.65,1444
2021-01-19 00:00:00+05:30,491.95,491.95,472,478.2,2669
2021-01-20 00:00:00+05:30,484,485,475,478,1623
2021-01-21 00:00:00+05:30,490,490,476.5,477.1,1914
2021-01-22 00:00:00+05:30,474.3,478.45,470.9,474.15,530
2021-01-25 00:00:00+05:30,470.5,474.75,462,465.8,304
2021-01-27 00:00:00+05:30,475,475,436.9,440.9,2570
2021-01-28 00:00:00+05:30,447,447,430.05,438.8,2443
2021-01-29 00:00:00+05:30,472,472,416.8,424.55,1438
2021-02-01 00:00:00+05:30,420,440.05,416.1,433.95,6251
2021-02-02 00:00:00+05:30,459.9,477.3,435.25,473.6,3350
2021-02-03 00:00:00+05:30,485.1,512.45,470,476.05,5974
2021-02-04 00:00:00+05:30,484.95,493,465.05,481.1,4177
2021-02-05 00:00:00+05:30,498,499.45,480.05,482.3,6479
2021-02-08 00:00:00+05:30,480,504,480,498.95,9301
2021-02-09 00:00:00+05:30,514,516,505,511.9,6492
2021-02-10 00:00:00+05:30,519,525,514,521.35,8625
2021-02-11 00:00:00+05:30,523,529.95,516,521.25,6179
2021-02-12 00:00:00+05:30,522,545.25,519.95,528.6,9620
2021-02-15 00:00:00+05:30,544.3,544.3,423.05,472.15,12316
2021-02-16 00:00:00+05:30,472.1,493.85,410.8,462,12552
2021-02-17 00:00:00+05:30,475,475,451.4,465,10428
2021-02-18 00:00:00+05:30,485.6,485.6,447.95,464.2,3158
2021-02-19 00:00:00+05:30,470,470,451,458.2,2264
2021-02-22 00:00:00+05:30,452.3,466.4,441.05,445.7,3414
2021-02-23 00:00:00+05:30,454,454,415.95,422.65,7970
2021-02-24 00:00:00+05:30,438.5,451.9,425,433.4,2109
2021-02-25 00:00:00+05:30,437.05,445,433.7,440.65,2494
2021-02-26 00:00:00+05:30,454.7,454.7,422,435.65,4809
2021-03-01 00:00:00+05:30,449.4,450,440.35,443.55,2208
2021-03-02 00:00:00+05:30,444,532.25,440.15,525.2,108933
2021-03-03 00:00:00+05:30,528,534.8,478.05,486.05,29778
2021-03-04 00:00:00+05:30,485,514.8,482,501.65,22622
2021-03-05 00:00:00+05:30,495.9,503.7,486,489.05,7481
2021-03-08 00:00:00+05:30,503.85,503.85,468.05,472.75,4797
2021-03-09 00:00:00+05:30,479.65,488.8,453.6,461.55,6795
2021-03-10 00:00:00+05:30,485,519,461,500.65,10805
2021-03-12 00:00:00+05:30,511,512.95,480.1,484,3912
2021-03-15 00:00:00+05:30,498,500,480,494.35,3643
2021-03-16 00:00:00+05:30,498.85,500.45,480,488.3,1609
2021-03-17 00:00:00+05:30,489.3,494.35,480,483.6,1470
2021-03-18 00:00:00+05:30,491,492.35,461.3,468.15,1302
2021-03-19 00:00:00+05:30,479.75,489.75,456.05,471.6,3089
2021-03-22 00:00:00+05:30,473,490,470,481.2,1577
2021-03-23 00:00:00+05:30,497.5,498.85,470.35,482.5,5709
2021-03-24 00:00:00+05:30,495,498,470.55,488.95,5947
2021-03-25 00:00:00+05:30,494.85,494.85,466.5,471.35,2353
2021-03-26 00:00:00+05:30,484.95,490,466,484.95,3187
2021-03-30 00:00:00+05:30,495,500,481.5,491.1,2476
2021-03-31 00:00:00+05:30,502,502,471.5,477.65,1653
2021-04-01 00:00:00+05:30,495,495,473,475.5,1548
2021-04-05 00:00:00+05:30,486.65,486.65,460.05,470.9,1827
2021-04-06 00:00:00+05:30,482,482,465.1,467.9,1352
2021-04-07 00:00:00+05:30,471.65,482.6,456,471.25,2394
2021-04-08 00:00:00+05:30,479.05,483.35,469.25,475.75,4934
2021-04-09 00:00:00+05:30,480,486,465,468.95,3608
2021-04-12 00:00:00+05:30,465.1,476.9,451.95,458.1,2332
2021-04-13 00:00:00+05:30,470,470,458.1,460.3,1346
2021-04-15 00:00:00+05:30,467.5,467.5,455,457.4,594
2021-04-16 00:00:00+05:30,467.8,467.8,456.5,460.4,916
2021-04-19 00:00:00+05:30,460,466.45,440,447.3,2019
2021-04-20 00:00:00+05:30,448,454.05,434.7,441.45,2568
2021-04-22 00:00:00+05:30,440.1,447.95,429,441.45,1412
2021-04-23 00:00:00+05:30,442.3,450,437.05,438.75,2610
2021-04-26 00:00:00+05:30,441.3,445.15,432,440.15,1000
2021-04-27 00:00:00+05:30,448,448,434.45,443.45,768
2021-04-28 00:00:00+05:30,451.8,496,438.75,445.4,4974
2021-04-29 00:00:00+05:30,453,453,446.1,448.05,1744
2021-04-30 00:00:00+05:30,449,470,442.5,449.15,2739
2021-05-03 00:00:00+05:30,453.8,455,450.15,453.1,577
2021-05-04 00:00:00+05:30,459,473.35,455,465.95,4192
2021-05-05 00:00:00+05:30,465.15,472,461,468.4,2832
2021-05-06 00:00:00+05:30,473,475,462,467.3,2562
2021-05-07 00:00:00+05:30,476,480.05,468.15,471.3,6734
2021-05-10 00:00:00+05:30,477.8,480,468.1,470.6,4081
2021-05-11 00:00:00+05:30,477,477.8,455,469.8,3169
2021-05-12 00:00:00+05:30,488.5,511.8,455.05,499.9,17134
2021-05-14 00:00:00+05:30,517,547.05,512.1,535.9,25917
2021-05-17 00:00:00+05:30,547,643.05,544.95,643.05,134511
2021-05-18 00:00:00+05:30,706,739,675.1,689.5,170065
2021-05-19 00:00:00+05:30,678.5,694,645,683.8,30427
2021-05-20 00:00:00+05:30,683,683.55,655.55,662.5,6733
2021-05-21 00:00:00+05:30,672,728.75,645,728.75,41230
2021-05-24 00:00:00+05:30,717.1,724,680,686.15,16496
2021-05-25 00:00:00+05:30,693.8,698.9,667,681.25,10715
2021-05-26 00:00:00+05:30,691,692,670,673.55,6025
2021-05-27 00:00:00+05:30,690,690,650,669.3,5062
2021-05-28 00:00:00+05:30,681.3,685,660,664.05,3953
2021-05-31 00:00:00+05:30,665.1,679.05,656.05,667.25,1872
2021-06-01 00:00:00+05:30,679.05,679.05,665,666.25,2797
2021-06-02 00:00:00+05:30,652.55,686,652.2,668.5,4722
2021-06-03 00:00:00+05:30,667.05,685.55,667,668.1,2871
2021-06-04 00:00:00+05:30,670,679.2,655.2,668.15,3287
2021-06-07 00:00:00+05:30,682.35,682.35,655.05,662.55,7432
2021-06-08 00:00:00+05:30,663.95,674.9,645,652.25,5333
2021-06-09 00:00:00+05:30,655.5,668.95,641,662.4,3271
2021-06-10 00:00:00+05:30,667.85,667.9,651.45,661.9,923
2021-06-11 00:00:00+05:30,664.15,666.45,644.9,647.75,2427
2021-06-14 00:00:00+05:30,646.1,668.95,600,629.05,6847
2021-06-15 00:00:00+05:30,646.85,659.7,630.05,648.55,4319
2021-06-16 00:00:00+05:30,656.95,658.8,625.1,629.6,2308
2021-06-17 00:00:00+05:30,634,634.7,605.5,609.05,2743
2021-06-18 00:00:00+05:30,618.45,632,596.95,613.65,3579
2021-06-21 00:00:00+05:30,620.9,648.8,620,627.75,4020
2021-06-22 00:00:00+05:30,630,639.85,614.3,628.85,1971
2021-06-23 00:00:00+05:30,648,648,610.5,619.85,2957
2021-06-24 00:00:00+05:30,639,639,606,615.45,3052
2021-06-25 00:00:00+05:30,597.05,676.95,597.05,668.25,17250
2021-06-28 00:00:00+05:30,679,735,679,693.95,14798
2021-06-29 00:00:00+05:30,700,715,686.45,694.7,6208
2021-06-30 00:00:00+05:30,706.9,719,687.5,701.9,6884
2021-07-01 00:00:00+05:30,680,680,636.65,651.45,14681
2021-07-02 00:00:00+05:30,660,660,640.85,646.6,4075
2021-07-05 00:00:00+05:30,666.6,666.6,636.75,643.7,2515
2021-07-06 00:00:00+05:30,636.05,697,627.95,664.45,9142
2021-07-07 00:00:00+05:30,680,680,645,650.3,2232
2021-07-08 00:00:00+05:30,668,668,629.9,633.95,7040
2021-07-09 00:00:00+05:30,640.05,667,640.05,647.95,5875
2021-07-12 00:00:00+05:30,665,665,648.45,656.1,4117
2021-07-13 00:00:00+05:30,659.95,672,647,658.55,7345
2021-07-14 00:00:00+05:30,659,672.5,647.95,657.2,3721
2021-07-15 00:00:00+05:30,668.95,669.55,657.25,659.2,1835
2021-07-16 00:00:00+05:30,669,669,643.15,648.45,3006
2021-07-19 00:00:00+05:30,634,669.55,634,659.15,4384
2021-07-20 00:00:00+05:30,642.1,668.95,642,647.95,1392
2021-07-22 00:00:00+05:30,657.05,657.55,596.6,610.3,7542
2021-07-23 00:00:00+05:30,620,638.95,618.05,620.7,3021
2021-07-26 00:00:00+05:30,620.05,632,613.05,627,4469
2021-07-27 00:00:00+05:30,629.2,633.05,610.4,620.55,2279
2021-07-28 00:00:00+05:30,620.55,646,614,628.7,3706
2021-07-29 00:00:00+05:30,642,655,625,629.7,2536
2021-07-30 00:00:00+05:30,636.05,638.95,615.05,616.25,1826
2021-08-02 00:00:00+05:30,605.15,642.25,605.15,621.25,2630
2021-08-03 00:00:00+05:30,634,635.05,620.25,625.25,1874
2021-08-04 00:00:00+05:30,634.4,645,613.15,616.8,4060
2021-08-05 00:00:00+05:30,619,629.7,609.85,612,1784
2021-08-06 00:00:00+05:30,629,650,616.95,627.7,8894
2021-08-09 00:00:00+05:30,639.9,650,624.1,641.85,5589
2021-08-10 00:00:00+05:30,644.4,668.7,589.95,619.1,26178
2021-08-11 00:00:00+05:30,639.95,639.95,573.6,591,6436
2021-08-12 00:00:00+05:30,594.35,629.25,594.35,621,2554
2021-08-13 00:00:00+05:30,613.95,629.95,602,610.65,1373
2021-08-16 00:00:00+05:30,610.65,611.7,593,594.1,1557
2021-08-17 00:00:00+05:30,586.7,606.75,571,575.9,2984
2021-08-18 00:00:00+05:30,575,575,550,559.2,2648
2021-08-20 00:00:00+05:30,601,601,540,546.9,4241
2021-08-23 00:00:00+05:30,579.95,579.95,505,514.6,3531
2021-08-24 00:00:00+05:30,530.75,555,507.05,536.3,2216
2021-08-25 00:00:00+05:30,553,620,538.9,582.7,11749
2021-08-26 00:00:00+05:30,582,599,530.3,555.7,5531
2021-08-27 00:00:00+05:30,568.7,570,539.75,553.05,1429
2021-08-30 00:00:00+05:30,564,570,545,549.8,1797
2021-08-31 00:00:00+05:30,557.65,568.6,541.45,554.15,2869
2021-09-01 00:00:00+05:30,578.05,578.05,520.9,541.8,2777
2021-09-02 00:00:00+05:30,526,649.85,526,627.45,10960
2021-09-03 00:00:00+05:30,627.45,680,616.65,660.05,18151
2021-09-06 00:00:00+05:30,674,792.05,668.1,792.05,100534
2021-09-07 00:00:00+05:30,809.75,818,712.85,716.3,86096
2021-09-08 00:00:00+05:30,716.3,724.95,682,697.15,15853
2021-09-09 00:00:00+05:30,695,730.45,695,700,6332
2021-09-13 00:00:00+05:30,700,722,694.2,699.9,10122
2021-09-14 00:00:00+05:30,699.9,725,690,691.9,6953
2021-09-15 00:00:00+05:30,685,703.45,685,692.35,4383
2021-09-16 00:00:00+05:30,692.35,723.95,630,688.85,8094
2021-09-17 00:00:00+05:30,680.5,699,666.05,670.05,3330
2021-09-20 00:00:00+05:30,644.5,710.6,644.5,681.1,8885
2021-09-21 00:00:00+05:30,719.95,744.8,667,682.15,13792
2021-09-22 00:00:00+05:30,693,706.2,686,697.6,3740
2021-09-23 00:00:00+05:30,735,735,698,703.8,9274
2021-09-24 00:00:00+05:30,703.8,714.9,678.35,681.2,5455
2021-09-27 00:00:00+05:30,700,700,662.05,665.1,8544
2021-09-28 00:00:00+05:30,699,699,660.05,668.95,7881
2021-09-29 00:00:00+05:30,698,698,660.1,673.7,3057
2021-09-30 00:00:00+05:30,695,702,646.5,656.8,5329
