date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,772.95,798.5,772.95,781.65,193600
2021-01-04 00:00:00+05:30,796,796,774,779.85,67343
2021-01-05 00:00:00+05:30,779.85,787.15,773.85,784.8,71394
2021-01-06 00:00:00+05:30,788,815.95,784.8,793.4,175486
2021-01-07 00:00:00+05:30,805,815,795.3,799.2,81821
2021-01-08 00:00:00+05:30,799.5,810,780,792.4,111997
2021-01-11 00:00:00+05:30,809,809,785.05,791,49825
2021-01-12 00:00:00+05:30,794.8,801.55,788,790.65,51093
2021-01-13 00:00:00+05:30,792,798.5,770,779.45,68090
2021-01-14 00:00:00+05:30,782.3,792,779,784.4,34114
2021-01-15 00:00:00+05:30,788.25,795,778,783.75,43467
2021-01-18 00:00:00+05:30,785,792,770,774.75,45283
2021-01-19 00:00:00+05:30,775.05,794,775.05,783,29400
2021-01-20 00:00:00+05:30,789.2,798,773,777.05,72453
2021-01-21 00:00:00+05:30,777.05,790.25,755.05,760.2,50022
2021-01-22 00:00:00+05:30,764.05,768.5,734,742.9,53698
2021-01-25 00:00:00+05:30,742.05,750,715,731.3,60067
2021-01-27 00:00:00+05:30,735,740,722.8,730.7,35897
2021-01-28 00:00:00+05:30,730,734.3,719.5,725.85,31148
2021-01-29 00:00:00+05:30,729.45,742.75,729.45,738.95,34539
2021-02-01 00:00:00+05:30,747.9,756,727.45,739.8,62760
2021-02-02 00:00:00+05:30,744.95,749,722.45,737.05,403261
2021-02-03 00:00:00+05:30,740,746,723.25,739.2,149086
2021-02-04 00:00:00+05:30,745.9,760.55,739.2,745.6,102178
2021-02-05 00:00:00+05:30,740,763,740,754.3,72939
2021-02-08 00:00:00+05:30,767,780,756,776.85,115456
2021-02-09 00:00:00+05:30,774.1,798.9,765.3,782.75,166287
2021-02-10 00:00:00+05:30,782.75,785.95,764.7,773.05,50318
2021-02-11 00:00:00+05:30,773.05,780,765,772.45,33484
2021-02-12 00:00:00+05:30,776.5,776.9,758,761.1,36246
2021-02-15 00:00:00+05:30,774,774,760,761.9,31579
