date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,253.5,262,253.5,260.7,190508
2021-01-04 00:00:00+05:30,262,263.95,257,261.55,193678
2021-01-05 00:00:00+05:30,260.1,260.9,257,257.5,72153
2021-01-06 00:00:00+05:30,257.5,260.55,256.6,259.15,238863
2021-01-07 00:00:00+05:30,258.1,259.95,257,257.5,231198
2021-01-08 00:00:00+05:30,260,285,258.45,274.45,1561668
2021-01-11 00:00:00+05:30,288.9,291,270,271.85,1830063
2021-01-12 00:00:00+05:30,273.95,279,269.85,272.45,441069
2021-01-13 00:00:00+05:30,274.65,275.45,265,270,404148
2021-01-14 00:00:00+05:30,271.7,271.7,263.5,264.2,135714
2021-01-15 00:00:00+05:30,265,276,260.2,266.85,253245
2021-01-18 00:00:00+05:30,264,266.7,257,258.75,180160
2021-01-19 00:00:00+05:30,264,266.9,256.9,259.05,406098
2021-01-20 00:00:00+05:30,260.4,262.2,256.2,256.9,291853
2021-01-21 00:00:00+05:30,258.75,261.8,254.8,255.6,405491
2021-01-22 00:00:00+05:30,255.85,257.35,251.3,252.3,420566
2021-01-25 00:00:00+05:30,255,259,251.45,257.25,470962
2021-01-27 00:00:00+05:30,256.1,257.6,249,249.6,1082917
2021-01-28 00:00:00+05:30,247.9,251,239.55,248,1069454
2021-01-29 00:00:00+05:30,249.2,250.95,243,244.6,206134
2021-02-01 00:00:00+05:30,244.2,250,240,245.35,549355
2021-02-02 00:00:00+05:30,247,251.9,235.25,238.15,448679
2021-02-03 00:00:00+05:30,238.15,239.9,217.5,219.05,1916395
2021-02-04 00:00:00+05:30,219.95,225.1,218,218.9,1150819
2021-02-05 00:00:00+05:30,223.4,223.4,213.5,214,561001
2021-02-08 00:00:00+05:30,216.95,218.7,210,210.5,619512
2021-02-09 00:00:00+05:30,211.6,212.8,207.2,207.85,757038
2021-02-10 00:00:00+05:30,209.7,212.3,203.55,204.9,514282
2021-02-11 00:00:00+05:30,204.75,223.25,204.5,220.25,8459197
2021-02-12 00:00:00+05:30,222.45,226.55,215.2,220.3,1184273
2021-02-15 00:00:00+05:30,222.4,229.9,219.35,228.5,1128480
