date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,22.75,23.4,22.7,23.05,103805
2021-01-04 00:00:00+05:30,23.05,24.65,23,23.85,549942
2021-01-05 00:00:00+05:30,23.85,24.55,23.55,23.9,398864
2021-01-06 00:00:00+05:30,23.9,24.35,23.6,23.7,316097
2021-01-07 00:00:00+05:30,24.1,24.35,23.6,23.75,449576
2021-01-08 00:00:00+05:30,24.15,24.15,23.2,23.35,180470
2021-01-11 00:00:00+05:30,23.95,23.95,22.9,23,228605
2021-01-12 00:00:00+05:30,23.25,23.7,22.35,23.1,361766
2021-01-13 00:00:00+05:30,23.6,24.4,22.8,23.1,379272
2021-01-14 00:00:00+05:30,23.6,23.6,23,23.2,118288
2021-01-15 00:00:00+05:30,22.8,23.45,22.2,22.65,190897
2021-01-18 00:00:00+05:30,22.5,23.15,22,22.2,354705
2021-01-19 00:00:00+05:30,22.65,23.4,22.25,23,220051
2021-01-20 00:00:00+05:30,23.1,23.5,22.5,23.15,189110
2021-01-21 00:00:00+05:30,23.1,23.5,22.5,22.9,142105
2021-01-22 00:00:00+05:30,23.2,23.2,22.3,22.6,159051
2021-01-25 00:00:00+05:30,22.3,23,22.1,22.5,140200
2021-01-27 00:00:00+05:30,22.3,22.8,22,22.6,106951
2021-01-28 00:00:00+05:30,22.95,22.95,22.25,22.45,97439
2021-01-29 00:00:00+05:30,22.9,22.9,22.3,22.5,74829
2021-02-01 00:00:00+05:30,22.95,23.1,22.4,22.6,100593
2021-02-02 00:00:00+05:30,23.1,23.1,22.25,22.5,312356
2021-02-03 00:00:00+05:30,22.85,23.3,22.55,23,213447
2021-02-04 00:00:00+05:30,23.45,25.15,23.1,24.6,728695
2021-02-05 00:00:00+05:30,25.1,25.5,24.5,24.8,466580
2021-02-08 00:00:00+05:30,25.1,25.5,24.25,24.35,129578
2021-02-09 00:00:00+05:30,24.5,24.6,23.6,23.95,182431
2021-02-10 00:00:00+05:30,24,24.75,23.35,24.5,173773
2021-02-11 00:00:00+05:30,24.6,24.6,24,24.5,158831
2021-02-12 00:00:00+05:30,22.55,24.85,22.05,24.35,951785
2021-02-15 00:00:00+05:30,23.85,25.15,23.7,25,526038
2021-02-16 00:00:00+05:30,25.4,27,23.5,26.2,707083
2021-02-17 00:00:00+05:30,27,28,26.55,27.15,831101
2021-02-18 00:00:00+05:30,28,28.95,27.6,28.45,800882
2021-02-19 00:00:00+05:30,28,28.6,26.2,26.6,413502
2021-02-22 00:00:00+05:30,27.4,27.9,26.25,27.35,353470
2021-02-23 00:00:00+05:30,27.9,28.5,27,28.05,277556
2021-02-24 00:00:00+05:30,29,29,25.25,27.8,182129
2021-02-25 00:00:00+05:30,27.8,28.8,27.6,28.15,286282
2021-02-26 00:00:00+05:30,27.25,28.3,26.95,27.8,324304
2021-03-01 00:00:00+05:30,28.4,29.85,27.6,28.75,580351
2021-03-02 00:00:00+05:30,29.25,31.6,29.2,31.6,1765403
2021-03-03 00:00:00+05:30,32,33.3,29,32.8,1385003
2021-03-04 00:00:00+05:30,33.5,34.15,31.6,32.2,614568
2021-03-05 00:00:00+05:30,32.7,33.1,29,29.5,952138
2021-03-08 00:00:00+05:30,30.5,31.5,29.6,30.9,440929
2021-03-09 00:00:00+05:30,31.5,31.55,29.45,29.65,320088
2021-03-10 00:00:00+05:30,30.5,31.3,29.7,30.1,245676
2021-03-12 00:00:00+05:30,30.15,30.75,29.1,29.6,196371
2021-03-15 00:00:00+05:30,30.3,30.3,27.1,28.5,465360
2021-03-16 00:00:00+05:30,29.3,29.3,28.4,28.85,145558
2021-03-17 00:00:00+05:30,28.95,29,27.1,27.35,216592
2021-03-18 00:00:00+05:30,27.5,28.2,25.5,25.95,276352
2021-03-19 00:00:00+05:30,26.5,26.5,24.75,25.3,334808
2021-03-22 00:00:00+05:30,25,25.6,24.3,25.2,265610
2021-03-23 00:00:00+05:30,25.2,26.2,25.2,25.95,155703
2021-03-24 00:00:00+05:30,26.1,26.5,24.45,25,334375
2021-03-25 00:00:00+05:30,24.95,26,24.4,25.8,1113018
2021-03-26 00:00:00+05:30,25.85,27,25,25.8,332166
2021-03-30 00:00:00+05:30,25.1,26.1,24.5,24.95,283721
2021-03-31 00:00:00+05:30,25,25.7,24.1,25.05,340612
2021-04-01 00:00:00+05:30,24.75,25.9,24.65,25.45,167977
2021-04-05 00:00:00+05:30,25.85,25.85,24.2,24.35,159148
2021-04-06 00:00:00+05:30,24.55,24.8,23.95,24.1,127366
2021-04-07 00:00:00+05:30,24.1,24.2,23.25,23.85,206366
2021-04-08 00:00:00+05:30,24.6,24.95,23.7,23.9,172481
2021-04-09 00:00:00+05:30,24,24.4,23.9,24.1,79912
2021-04-12 00:00:00+05:30,24.1,25.1,22,22.35,244486
2021-04-13 00:00:00+05:30,22.35,23.75,22.35,23.2,143207
2021-04-15 00:00:00+05:30,23,23.4,22.5,22.75,189785
2021-04-16 00:00:00+05:30,22.5,25.7,22.5,23.25,820560
2021-04-19 00:00:00+05:30,23.2,23.2,22.3,22.75,210897
2021-04-20 00:00:00+05:30,23.05,23.2,22.5,22.65,110207
2021-04-22 00:00:00+05:30,22.45,22.8,22.2,22.25,251066
2021-04-23 00:00:00+05:30,22.5,23.2,21.95,22.15,370339
2021-04-26 00:00:00+05:30,22.55,22.55,21.4,21.6,261422
2021-04-27 00:00:00+05:30,22.1,22.45,21.25,21.7,362843
2021-04-28 00:00:00+05:30,21.5,22.4,21.1,21.3,528631
2021-04-29 00:00:00+05:30,21.65,21.65,20.45,20.5,424667
2021-04-30 00:00:00+05:30,20.3,21.2,20.15,20.25,402647
2021-05-03 00:00:00+05:30,20.25,21.65,20.05,21.1,343637
2021-05-04 00:00:00+05:30,21.9,21.95,20.8,20.95,464616
2021-05-05 00:00:00+05:30,20.95,20.95,19.7,20.25,535994
2021-05-06 00:00:00+05:30,20.5,20.95,20.1,20.75,215275
2021-05-07 00:00:00+05:30,21,21.25,20.75,21.15,147110
2021-05-10 00:00:00+05:30,21.2,21.6,21.15,21.3,185243
2021-05-11 00:00:00+05:30,21.4,21.75,20.95,21.6,187106
2021-05-12 00:00:00+05:30,21.75,25.25,21.65,23.7,1420327
2021-05-14 00:00:00+05:30,23.9,25.5,23.65,23.95,667259
2021-05-17 00:00:00+05:30,24.3,24.3,23.15,23.4,256152
2021-05-18 00:00:00+05:30,23.8,23.8,22.8,22.95,261387
2021-05-19 00:00:00+05:30,23.95,24.75,22.95,23.35,801853
2021-05-20 00:00:00+05:30,23.45,24.4,23,23.2,635118
2021-05-21 00:00:00+05:30,23.8,24,23.05,23.5,325819
2021-05-24 00:00:00+05:30,23.95,28.2,23.6,26.65,5610287
2021-05-25 00:00:00+05:30,27,31,26.85,29.9,4335254
2021-05-26 00:00:00+05:30,31,35.85,31,35.85,6449214
2021-05-27 00:00:00+05:30,36.85,36.85,32.3,32.65,4273078
2021-05-28 00:00:00+05:30,33,33,30.1,30.45,2269141
2021-05-31 00:00:00+05:30,30.25,32.9,30,30.25,987185
2021-06-01 00:00:00+05:30,30.2,30.85,28.55,28.75,885571
2021-06-02 00:00:00+05:30,28.7,30.8,27.6,30.05,977972
2021-06-03 00:00:00+05:30,30.1,31.5,30.05,30.35,517534
2021-06-04 00:00:00+05:30,30.85,31.1,29.6,30.05,500242
2021-06-07 00:00:00+05:30,30.7,32.5,30.1,32.1,1146092
2021-06-08 00:00:00+05:30,32.85,32.95,30.85,31.7,780622
2021-06-09 00:00:00+05:30,32,32.1,29.2,29.85,664124
2021-06-10 00:00:00+05:30,30.6,32.6,30.4,31.7,924614
2021-06-11 00:00:00+05:30,32.4,32.45,31.4,31.6,459377
2021-06-14 00:00:00+05:30,30.85,32.5,30,31.8,481661
2021-06-15 00:00:00+05:30,31.8,32.05,31.1,31.75,300275
2021-06-16 00:00:00+05:30,31.75,31.9,30.4,30.75,423470
