date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,120.05,123.7,119.55,121.8,1016331
2021-01-04 00:00:00+05:30,122.75,123.5,119.2,121.05,678567
2021-01-05 00:00:00+05:30,119.75,123.3,118.15,121.25,728712
2021-01-06 00:00:00+05:30,121.8,126,120.7,122.5,1854001
2021-01-07 00:00:00+05:30,123.6,129.6,123.6,127,3620256
2021-01-08 00:00:00+05:30,128.15,130.75,126,127.65,1411195
2021-01-11 00:00:00+05:30,128.5,128.5,123.05,124.65,615845
2021-01-12 00:00:00+05:30,125,126.75,124.2,125.3,555801
2021-01-13 00:00:00+05:30,125.3,128.85,122.4,123.5,794046
2021-01-14 00:00:00+05:30,124.5,125.4,122.95,123.7,377040
2021-01-15 00:00:00+05:30,124.5,124.5,121.05,121.65,381615
2021-01-18 00:00:00+05:30,121.7,122.3,115.25,116.5,402775
2021-01-19 00:00:00+05:30,117.8,122.2,117.7,119.9,482791
2021-01-20 00:00:00+05:30,120.95,123.65,120.9,121.7,472590
2021-01-21 00:00:00+05:30,122.7,123.45,117.6,118.5,368961
2021-01-22 00:00:00+05:30,118.7,119.8,115.5,116.65,314062
2021-01-25 00:00:00+05:30,117.9,119,114.3,114.8,270160
2021-01-27 00:00:00+05:30,114.15,116.75,113.15,114.55,211289
2021-01-28 00:00:00+05:30,113.1,118.3,113,117.1,313535
2021-01-29 00:00:00+05:30,118.3,121.35,118,119.45,478408
2021-02-01 00:00:00+05:30,120,126,118.2,122.45,1539345
2021-02-02 00:00:00+05:30,123.1,124.8,120.2,121.85,433581
2021-02-03 00:00:00+05:30,122.6,125,121,122.9,549171
2021-02-04 00:00:00+05:30,123.05,125.45,122.3,122.7,372395
2021-02-05 00:00:00+05:30,123,124.4,119.75,120.45,382845
2021-02-08 00:00:00+05:30,120.45,122,118.15,118.85,383006
2021-02-09 00:00:00+05:30,119.8,120.4,117.8,118.7,307384
2021-02-10 00:00:00+05:30,118.15,119.7,117.05,118,224208
2021-02-11 00:00:00+05:30,118.5,120.95,117.6,120.25,232906
2021-02-12 00:00:00+05:30,121.3,124.3,121.05,122.05,547947
2021-02-15 00:00:00+05:30,128,129.35,124.4,125.8,1509542
2021-02-16 00:00:00+05:30,126.25,134.8,124.85,133.35,3345254
2021-02-17 00:00:00+05:30,134,139.6,133,137.15,2260311
2021-02-18 00:00:00+05:30,147,147.45,138.45,141.9,3269287
2021-02-19 00:00:00+05:30,141.8,145.9,134.1,137.5,1197721
2021-02-22 00:00:00+05:30,138.45,138.45,129.05,130.45,760419
2021-02-23 00:00:00+05:30,130.05,137.8,126,135.35,1120894
2021-02-24 00:00:00+05:30,136.2,143.7,135.35,139.5,1568600
2021-02-25 00:00:00+05:30,140.2,142.65,138.2,139.1,670288
2021-02-26 00:00:00+05:30,136.15,138.4,132.55,133.65,545997
2021-03-01 00:00:00+05:30,134.75,138.8,132.65,135.7,410778
2021-03-02 00:00:00+05:30,136,139.05,135.25,136.15,257531
2021-03-03 00:00:00+05:30,137.4,144.5,136.2,141.4,980508
2021-03-04 00:00:00+05:30,141,144.8,139.7,140.95,1060040
2021-03-05 00:00:00+05:30,141.7,144,137.15,138.25,709839
2021-03-08 00:00:00+05:30,139.4,140.95,137.6,138.1,291286
2021-03-09 00:00:00+05:30,138.4,139.05,132.55,134.35,276444
2021-03-10 00:00:00+05:30,135.2,138.6,133.05,136.45,377931
2021-03-12 00:00:00+05:30,137.1,137.65,133.05,133.85,393694
2021-03-15 00:00:00+05:30,134.2,134.6,127.5,129.15,343115
2021-03-16 00:00:00+05:30,130.25,133.65,129.1,131.1,350786
2021-03-17 00:00:00+05:30,131.9,132.3,125.1,125.95,412379
2021-03-18 00:00:00+05:30,126.95,127.9,118.6,119.4,462812
2021-03-19 00:00:00+05:30,119,120.75,113.95,119.75,407031
2021-03-22 00:00:00+05:30,120.9,123.3,119.75,121.3,275758
2021-03-23 00:00:00+05:30,122.45,125,119.25,122.1,516141
2021-03-24 00:00:00+05:30,121.5,121.9,117.3,118.2,249110
2021-03-25 00:00:00+05:30,117.4,118.15,113.4,115.1,234233
2021-03-26 00:00:00+05:30,116.85,117.5,114.95,115.65,143926
2021-03-30 00:00:00+05:30,116.55,118.35,114.75,115.3,180490
2021-03-31 00:00:00+05:30,116,117.9,115.15,116.55,171472
2021-04-01 00:00:00+05:30,117.45,123.4,117.4,122.1,370743
2021-04-05 00:00:00+05:30,121.25,121.5,116.5,118.2,207603
2021-04-06 00:00:00+05:30,118.2,120.3,116.95,118.4,181544
2021-04-07 00:00:00+05:30,119.1,122.4,118.2,119.9,281840
2021-04-08 00:00:00+05:30,120,122.3,118.5,119.1,204741
2021-04-09 00:00:00+05:30,119,120.05,117.7,118.2,151077
2021-04-12 00:00:00+05:30,116.05,117.75,109.25,109.75,255651
2021-04-13 00:00:00+05:30,109.75,114.15,109.25,113.15,146191
2021-04-15 00:00:00+05:30,113.85,113.85,109.65,111.85,140577
2021-04-16 00:00:00+05:30,112.1,114.95,110.5,111.85,136172
2021-04-19 00:00:00+05:30,109.2,110,105.4,106.2,216491
2021-04-20 00:00:00+05:30,107.1,108.9,105.6,106,152053
2021-04-22 00:00:00+05:30,106,110.1,104.2,108.7,181655
2021-04-23 00:00:00+05:30,107.6,114,107.6,112.8,537819
2021-04-26 00:00:00+05:30,113.8,115.7,112.45,114.05,321121
2021-04-27 00:00:00+05:30,114.5,115.85,113.4,113.85,206399
2021-04-28 00:00:00+05:30,113.85,117,113.55,116.15,293393
2021-04-29 00:00:00+05:30,116.6,118.5,113.15,113.45,206905
2021-04-30 00:00:00+05:30,113.05,115.6,112.55,113.25,129812
2021-05-03 00:00:00+05:30,112.15,114.3,112.15,113.2,129347
2021-05-04 00:00:00+05:30,113.85,116.25,112.25,112.65,205976
2021-05-05 00:00:00+05:30,113.6,115.5,113.5,114.4,161970
2021-05-06 00:00:00+05:30,115.25,115.25,112.25,112.95,156780
2021-05-07 00:00:00+05:30,114,114.4,111.05,113.9,180112
2021-05-10 00:00:00+05:30,114.5,119.7,113.8,117.8,475253
2021-05-11 00:00:00+05:30,116,123,115.6,121.35,501937
2021-05-12 00:00:00+05:30,124.4,133,123,126.75,3474211
2021-05-14 00:00:00+05:30,127.75,128.8,121.65,122.85,301786
2021-05-17 00:00:00+05:30,122.5,125.35,121,122.95,149624
2021-05-18 00:00:00+05:30,123.6,127.05,123.6,124.35,239485
2021-05-19 00:00:00+05:30,124.35,125.65,122,123.55,162147
2021-05-20 00:00:00+05:30,124.5,126.75,122.15,123.95,231335
2021-05-21 00:00:00+05:30,124.5,130,124,128.9,763129
2021-05-24 00:00:00+05:30,129.4,129.5,125.15,126,239389
