date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,53.8,55.3,53,54.9,4827521
2021-01-04 00:00:00+05:30,55.55,59,55.55,58.6,9301814
2021-01-05 00:00:00+05:30,58.65,62,57.9,61.25,8896108
2021-01-06 00:00:00+05:30,61.7,62.15,58.5,59.35,3771097
2021-01-07 00:00:00+05:30,60.25,61.15,59.05,59.7,2059334
2021-01-08 00:00:00+05:30,60.2,60.7,59.05,59.25,1549986
2021-01-11 00:00:00+05:30,59.65,61.6,56.55,60.1,3287440
2021-01-12 00:00:00+05:30,61.4,67.4,60.85,63.6,18805454
2021-01-13 00:00:00+05:30,66.95,66.95,62.6,64.85,7550241
2021-01-14 00:00:00+05:30,64.85,64.85,63,63.5,1698484
2021-01-15 00:00:00+05:30,63.5,63.6,61,61.7,1602553
2021-01-18 00:00:00+05:30,62.1,62.1,58.5,58.9,1558850
2021-01-19 00:00:00+05:30,59,61,58.7,60.4,986003
2021-01-20 00:00:00+05:30,60.3,60.95,59.8,60.1,689397
2021-01-21 00:00:00+05:30,60.4,61.4,59,59.45,1209449
2021-01-22 00:00:00+05:30,59.45,59.9,57.5,57.85,796467
2021-01-25 00:00:00+05:30,58.55,58.75,55.45,55.9,1034701
2021-01-27 00:00:00+05:30,55.85,57.4,55.15,55.45,965929
2021-01-28 00:00:00+05:30,54.75,56.3,54.6,55.25,669629
2021-01-29 00:00:00+05:30,55.75,57.6,54.75,55.05,723452
2021-02-01 00:00:00+05:30,55.55,57.25,54.5,56.75,1066100
2021-02-02 00:00:00+05:30,57.1,58.35,55.85,56.1,1189440
2021-02-03 00:00:00+05:30,56.35,57.7,55.9,57.2,1350588
2021-02-04 00:00:00+05:30,57.9,61.75,57.5,60.05,5474102
2021-02-05 00:00:00+05:30,61,61.2,59.2,59.4,1282506
2021-02-08 00:00:00+05:30,59.9,64,59.3,63.2,5460304
2021-02-09 00:00:00+05:30,63.9,64.1,60.9,61.2,1692705
2021-02-10 00:00:00+05:30,57,57.4,55,56.65,4207459
2021-02-11 00:00:00+05:30,56.5,57.8,56,56.45,1422558
2021-02-12 00:00:00+05:30,56.65,57,56,56.1,790498
2021-02-15 00:00:00+05:30,56.35,56.65,54.25,54.55,996598
2021-02-16 00:00:00+05:30,54.5,55.65,54.45,54.8,890563
2021-02-17 00:00:00+05:30,54.65,55.45,54.45,55.15,622440
2021-02-18 00:00:00+05:30,55.5,59.4,55.15,58.5,3799504
2021-02-19 00:00:00+05:30,58.2,58.5,56.05,56.75,1214735
2021-02-22 00:00:00+05:30,56.2,57.75,55.6,56,1011165
2021-02-23 00:00:00+05:30,56.4,60.4,56.05,58.8,4904691
2021-02-24 00:00:00+05:30,59.25,60.35,58.8,59.2,1201354
2021-02-25 00:00:00+05:30,59.6,64.45,59.1,62.65,6811816
2021-02-26 00:00:00+05:30,61.9,63.75,60.3,62.05,4185635
2021-03-01 00:00:00+05:30,62.55,64.9,62.25,63.7,3843282
2021-03-02 00:00:00+05:30,64.6,65.7,62.85,63.85,2915552
2021-03-03 00:00:00+05:30,64.3,66.05,63.15,63.6,3135208
2021-03-04 00:00:00+05:30,62.75,64.2,62.5,63.1,1878246
2021-03-05 00:00:00+05:30,63,64,61,61.4,1927795
2021-03-08 00:00:00+05:30,61.9,62.8,60.7,61.05,1240846
2021-03-09 00:00:00+05:30,61.25,62,59.2,59.85,1354399
2021-03-10 00:00:00+05:30,60.1,64.6,59.75,61.85,5249965
2021-03-12 00:00:00+05:30,62,62.35,59.8,60.25,1286681
2021-03-15 00:00:00+05:30,60.4,60.65,58.5,59.55,1126256
2021-03-16 00:00:00+05:30,59.35,59.9,58.2,58.55,881318
2021-03-17 00:00:00+05:30,58.3,59.4,56.15,56.65,1089876
2021-03-18 00:00:00+05:30,57.5,57.8,55.05,55.65,1262308
2021-03-19 00:00:00+05:30,55.25,59.9,53.3,59,2478018
2021-03-22 00:00:00+05:30,59.5,59.5,57.15,57.5,1065011
2021-03-23 00:00:00+05:30,57.9,58.85,57.25,58.25,811188
2021-03-24 00:00:00+05:30,57.6,57.85,55.35,55.9,664463
2021-03-25 00:00:00+05:30,56,56.2,53.6,54.15,894786
