date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,224.45,228.8,224,225.5,492659
2021-01-04 00:00:00+05:30,226.4,229.45,224,225.95,504104
2021-01-05 00:00:00+05:30,227,233,226.2,227.9,1542250
2021-01-06 00:00:00+05:30,229,230.8,222.45,224.15,648808
2021-01-07 00:00:00+05:30,225.3,230,224.75,225.6,679119
2021-01-08 00:00:00+05:30,227.45,232.85,220.9,222.85,1355662
2021-01-11 00:00:00+05:30,225,226.9,221.1,222.25,976373
2021-01-12 00:00:00+05:30,222.4,226.8,221.3,222.05,764794
2021-01-13 00:00:00+05:30,223.35,228.4,216.8,218.2,1595042
2021-01-14 00:00:00+05:30,219.4,222.5,218.65,221.35,430027
2021-01-15 00:00:00+05:30,221.3,222.1,213.7,214.7,871218
2021-01-18 00:00:00+05:30,214.6,217.45,208.5,210.8,731665
2021-01-19 00:00:00+05:30,212.05,215,208.6,210.85,617809
2021-01-20 00:00:00+05:30,212.2,213.8,208.35,209.65,646075
2021-01-21 00:00:00+05:30,210.95,220.95,210.95,217.25,2022754
2021-01-22 00:00:00+05:30,218,219,212.2,213.3,725980
2021-01-25 00:00:00+05:30,214.2,215.8,207.5,208.8,633188
2021-01-27 00:00:00+05:30,208.3,210.25,203.45,205.1,568407
2021-01-28 00:00:00+05:30,204,209.9,202.3,208,636726
2021-01-29 00:00:00+05:30,209.4,216.8,207.25,210.8,1322715
2021-02-01 00:00:00+05:30,211.45,215.25,209.25,211.05,1063790
2021-02-02 00:00:00+05:30,212.15,215.3,210.3,211.9,705020
2021-02-03 00:00:00+05:30,214.05,224.9,213.1,221.75,2023775
2021-02-04 00:00:00+05:30,222,232.35,222,230.5,2449598
2021-02-05 00:00:00+05:30,238,239.9,226.6,228.15,3311288
2021-02-08 00:00:00+05:30,230,231.8,222,222.8,1254809
2021-02-09 00:00:00+05:30,225,231.75,224,226.95,1355890
2021-02-10 00:00:00+05:30,228.65,228.8,222,223.2,551830
2021-02-11 00:00:00+05:30,222.9,226,222.6,224.4,434078
2021-02-12 00:00:00+05:30,224.5,229,222.85,225.45,653773
2021-02-15 00:00:00+05:30,226.25,231.5,224.5,229.1,1061043
2021-02-16 00:00:00+05:30,231,233,225.5,227.55,718704
2021-02-17 00:00:00+05:30,227.45,228.85,224.3,225.55,571191
2021-02-18 00:00:00+05:30,226.45,236.1,226.3,231.1,1916741
2021-02-19 00:00:00+05:30,232.95,238.6,230.25,232.35,1914281
2021-02-22 00:00:00+05:30,241,245.85,235.2,237.9,3647378
2021-02-23 00:00:00+05:30,239.9,254.75,238.3,252.1,4141401
2021-02-24 00:00:00+05:30,258.75,264.4,255.9,257.45,2055325
2021-02-25 00:00:00+05:30,263,280,260.45,275.15,4977519
2021-02-26 00:00:00+05:30,274,299,269.7,291.65,5598334
2021-03-01 00:00:00+05:30,300,334.75,297.35,329.95,8947678
2021-03-02 00:00:00+05:30,336,339.7,316.2,324.9,3725021
2021-03-03 00:00:00+05:30,325.2,334,314,321.35,2054814
2021-03-04 00:00:00+05:30,317.85,325.6,316,320.25,1113427
2021-03-05 00:00:00+05:30,320,324,302.1,307.45,1561254
2021-03-08 00:00:00+05:30,309.95,325,308.3,319.9,1241708
2021-03-09 00:00:00+05:30,322,325,304.6,309.35,839253
2021-03-10 00:00:00+05:30,311,317.8,308.65,309.8,972945
2021-03-12 00:00:00+05:30,311.95,321,305.45,308.05,1312127
2021-03-15 00:00:00+05:30,309.1,311.7,302.4,309.25,830996
2021-03-16 00:00:00+05:30,310,320.9,308,312.7,1112409
2021-03-17 00:00:00+05:30,308.2,315.35,301.5,303.15,720365
2021-03-18 00:00:00+05:30,306,312.75,295.05,302.85,1107410
2021-03-19 00:00:00+05:30,302.3,307,287.2,304.85,1282283
2021-03-22 00:00:00+05:30,306.7,314.3,300.45,301.7,931892
2021-03-23 00:00:00+05:30,303.5,307.5,297,299.15,849994
2021-03-24 00:00:00+05:30,298.95,301.8,290.6,292.1,758237
2021-03-25 00:00:00+05:30,302.9,302.9,278.7,281.8,1913702
2021-03-26 00:00:00+05:30,285.9,289,281.65,286.7,751698
2021-03-30 00:00:00+05:30,289.3,297.35,284,295.55,1127442
2021-03-31 00:00:00+05:30,292.9,305.25,292.8,300.2,649923
2021-04-01 00:00:00+05:30,304,313.75,303.7,311.95,1088792
2021-04-05 00:00:00+05:30,311,311,296.15,307.15,1128803
2021-04-06 00:00:00+05:30,307.9,317.85,305.05,313.4,1242296
2021-04-07 00:00:00+05:30,315.7,329.4,314.55,327.15,1538003
2021-04-08 00:00:00+05:30,329.45,333.75,325.75,327.45,1415385
2021-04-09 00:00:00+05:30,326.5,329.9,315.1,318.1,711859
2021-04-12 00:00:00+05:30,308.2,310,294.25,296.95,836271
2021-04-13 00:00:00+05:30,296.5,314.9,296.3,311,689412
2021-04-15 00:00:00+05:30,311,313.25,301.3,308.45,615323
2021-04-16 00:00:00+05:30,310,329.5,308.45,318.05,1271119
2021-04-19 00:00:00+05:30,318.1,318.5,303.65,307.8,958356
2021-04-20 00:00:00+05:30,310.6,313.15,304.25,307.15,425771
2021-04-22 00:00:00+05:30,306.6,315.55,304.2,309.05,839687
2021-04-23 00:00:00+05:30,306.2,314,305,308.5,600459
2021-04-26 00:00:00+05:30,312.3,312.5,307.45,310.2,444501
2021-04-27 00:00:00+05:30,311.1,353.5,311,349.5,7763572
2021-04-28 00:00:00+05:30,353.8,358.95,345.05,347.75,3309801
2021-04-29 00:00:00+05:30,350.8,367.8,342.5,358.55,3246305
2021-04-30 00:00:00+05:30,355.3,373.65,350.25,361.85,2041968
2021-05-03 00:00:00+05:30,361,379.8,358.65,376.7,1830489
2021-05-04 00:00:00+05:30,380.5,384.45,352.4,358.6,1825221
2021-05-05 00:00:00+05:30,362.2,368.75,356.6,364.2,750594
2021-05-06 00:00:00+05:30,364.9,379.8,360.15,374.15,1539965
2021-05-07 00:00:00+05:30,375.25,376.65,366,367.8,627844
2021-05-10 00:00:00+05:30,370.85,377,367,373,961691
2021-05-11 00:00:00+05:30,370,408.85,368.9,401.55,4440974
2021-05-12 00:00:00+05:30,408,422.4,395.3,400,4311124
2021-05-14 00:00:00+05:30,405.7,407.2,384.75,388.95,1946298
2021-05-17 00:00:00+05:30,391,405.25,384.5,400.6,1712050
2021-05-18 00:00:00+05:30,421,421,387.3,390.75,2914780
2021-05-19 00:00:00+05:30,390,397.9,386,387.15,827231
2021-05-20 00:00:00+05:30,399,403.7,382.1,384.35,1236082
2021-05-21 00:00:00+05:30,386.45,395.9,384.1,385.95,685301
2021-05-24 00:00:00+05:30,387.45,387.45,368.15,375.2,1071280
2021-05-25 00:00:00+05:30,374.2,382,365,366.1,761099
2021-05-26 00:00:00+05:30,366.7,380.45,366.1,375.85,729748
2021-05-27 00:00:00+05:30,380,395.7,379.35,393.95,2113104
2021-05-28 00:00:00+05:30,394,394.75,378.25,379.75,617003
2021-05-31 00:00:00+05:30,377.95,382.95,373.55,375.85,426485
2021-06-01 00:00:00+05:30,377,378.8,365.05,369.05,483282
2021-06-02 00:00:00+05:30,369.9,376.75,365.05,374.85,455690
2021-06-03 00:00:00+05:30,376.7,390.9,373.7,387.3,773820
2021-06-04 00:00:00+05:30,389,389,381.05,385.15,406346
2021-06-07 00:00:00+05:30,385,391.85,380,381.5,600734
2021-06-08 00:00:00+05:30,383.6,388,379.55,383,692048
2021-06-09 00:00:00+05:30,385.3,387.7,374.2,375.55,484366
2021-06-10 00:00:00+05:30,377.7,377.7,369,369.95,953926
2021-06-11 00:00:00+05:30,372.8,377.65,369.25,370.5,540656
2021-06-14 00:00:00+05:30,371.9,371.9,362.15,368.6,596683
2021-06-15 00:00:00+05:30,368.9,377.6,368.9,372.7,576719
2021-06-16 00:00:00+05:30,374.3,381,366,371.45,1174027
2021-06-17 00:00:00+05:30,367,375.65,362.6,364.55,584415
2021-06-18 00:00:00+05:30,364.95,367.7,351,358.95,750666
2021-06-21 00:00:00+05:30,351,363.9,350.3,356.2,464723
2021-06-22 00:00:00+05:30,358.8,373.8,358,367.75,844657
2021-06-23 00:00:00+05:30,369.65,370.75,360,361,361822
2021-06-24 00:00:00+05:30,362.25,364.95,358,359.85,276159
2021-06-25 00:00:00+05:30,362.9,364.9,358.45,360.95,442868
