date,open,high,low,close,volume
2021-07-19 00:00:00+05:30,1715.85,1838,1550,1747.1,14023521
2021-07-20 00:00:00+05:30,1734,1775,1685,1719.5,2391188
2021-07-22 00:00:00+05:30,1721.75,1757.4,1702,1741.35,640184
2021-07-23 00:00:00+05:30,1741.35,1765,1723,1730.1,422588
2021-07-26 00:00:00+05:30,1734.95,1734.95,1700,1706.8,189177
2021-07-27 00:00:00+05:30,1705,1744,1689,1725.75,330655
2021-07-28 00:00:00+05:30,1724,1765.85,1684.5,1743.5,350683
2021-07-29 00:00:00+05:30,1739.95,1779.9,1720.2,1726.6,305632
2021-07-30 00:00:00+05:30,1730,1745,1711,1732.3,89249
2021-08-02 00:00:00+05:30,1740,1751.8,1711.05,1715.75,85049
2021-08-03 00:00:00+05:30,1725.35,1743.45,1717.05,1732,132034
2021-08-04 00:00:00+05:30,1755,1764.9,1705,1721.95,329014
2021-08-05 00:00:00+05:30,1729.7,1729.7,1672.5,1706.25,121119
2021-08-06 00:00:00+05:30,1699,1733,1680,1692.6,89811
2021-08-09 00:00:00+05:30,1692.6,1703.35,1555.55,1609.75,154900
2021-08-10 00:00:00+05:30,1606,1651,1575,1596.4,164676
2021-08-11 00:00:00+05:30,1585,1643.1,1553,1620.2,158559
2021-08-12 00:00:00+05:30,1620.25,1661.95,1620.25,1650.1,71501
2021-08-13 00:00:00+05:30,1679.95,1737.85,1645,1662.1,543444
2021-08-16 00:00:00+05:30,1663.3,1665,1590.25,1601.7,88917
2021-08-17 00:00:00+05:30,1606,1624.8,1587.35,1597.15,139059
2021-08-18 00:00:00+05:30,1598,1614.95,1598,1600.55,80139
2021-08-20 00:00:00+05:30,1600,1623.4,1589.95,1604.75,98157
2021-08-23 00:00:00+05:30,1615.6,1617.9,1564,1598.75,235548
2021-08-24 00:00:00+05:30,1597,1619.7,1577.1,1608.9,84724
2021-08-25 00:00:00+05:30,1609.6,1614.55,1576.5,1583.6,95201
2021-08-26 00:00:00+05:30,1586,1594.95,1560.5,1579.45,27255
2021-08-27 00:00:00+05:30,1579.45,1579.45,1543,1570.85,53066
2021-08-30 00:00:00+05:30,1580,1598.85,1560.95,1592.55,57018
2021-08-31 00:00:00+05:30,1616.8,1616.8,1581.05,1592.3,135361
2021-09-01 00:00:00+05:30,1592.3,1604.45,1562,1571.3,60957
2021-09-02 00:00:00+05:30,1564,1604,1564,1580.8,20691
2021-09-03 00:00:00+05:30,1584,1644.9,1578.55,1639.85,66117
2021-09-06 00:00:00+05:30,1622,1649.9,1601.15,1613,67561
2021-09-07 00:00:00+05:30,1624,1644.45,1580,1597.8,63834
2021-09-08 00:00:00+05:30,1599.95,1612.55,1586,1591.15,14360
2021-09-09 00:00:00+05:30,1587.2,1608.05,1581,1587.95,19693
2021-09-13 00:00:00+05:30,1585,1585,1567.15,1580.1,21936
2021-09-14 00:00:00+05:30,1585,1608,1553.6,1568.4,117017
2021-09-15 00:00:00+05:30,1574.9,1599,1563.8,1589.05,78214
2021-09-16 00:00:00+05:30,1604.95,1604.95,1576,1586.05,27908
2021-09-17 00:00:00+05:30,1596.9,1596.9,1559,1575.8,48899
2021-09-20 00:00:00+05:30,1575,1640,1570,1589.95,87001
2021-09-21 00:00:00+05:30,1597.9,1811,1589.75,1769.45,335157
2021-09-22 00:00:00+05:30,1800,2047,1781,1948.05,1191254
2021-09-23 00:00:00+05:30,1956.8,2016,1896,1936.4,448283
