date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,216,221.2,216,220.6,66742
2021-01-04 00:00:00+05:30,225,232,225,228.75,160262
2021-01-05 00:00:00+05:30,230,249,228,240,459378
2021-01-06 00:00:00+05:30,241.9,247,236,238.55,181223
2021-01-07 00:00:00+05:30,240.65,252,238.3,240.45,214256
2021-01-08 00:00:00+05:30,243.6,249.25,242,243.95,112505
2021-01-11 00:00:00+05:30,247.45,247.45,230.2,233.3,82516
2021-01-12 00:00:00+05:30,235.2,238.25,233,234.6,49998
2021-01-13 00:00:00+05:30,236.05,239.9,226.85,231.3,97379
2021-01-14 00:00:00+05:30,232.2,233.9,226.15,228.9,49411
2021-01-15 00:00:00+05:30,229.3,233.95,225.85,226.85,74153
2021-01-18 00:00:00+05:30,227.5,234.45,223,224.95,80041
2021-01-19 00:00:00+05:30,226.05,228.4,224.5,225.25,65479
2021-01-20 00:00:00+05:30,229.3,230.5,223.15,223.8,88496
2021-01-21 00:00:00+05:30,224.05,227.65,219,219.5,95233
2021-01-22 00:00:00+05:30,219.5,224.9,218.55,219.55,45406
2021-01-25 00:00:00+05:30,224.95,232.05,219.1,228.2,234199
2021-01-27 00:00:00+05:30,225,228.95,217.9,223.3,566861
2021-01-28 00:00:00+05:30,223.95,223.95,206.55,216.65,134487
2021-01-29 00:00:00+05:30,218.8,223.9,214.75,217.2,72074
2021-02-01 00:00:00+05:30,223,237.6,220,232.95,422408
2021-02-02 00:00:00+05:30,239.8,246.65,238.1,244.6,552154
2021-02-03 00:00:00+05:30,247.8,284.6,245.5,269,1315863
2021-02-04 00:00:00+05:30,271.7,285,270.55,279.7,346110
2021-02-05 00:00:00+05:30,282.4,285,271.7,280.2,171582
2021-02-08 00:00:00+05:30,282.7,289.7,278,285.2,364411
2021-02-09 00:00:00+05:30,286.6,305,283.25,290.8,346708
2021-02-10 00:00:00+05:30,291.9,310,286.15,299.95,436876
2021-02-11 00:00:00+05:30,298.9,309.4,297.4,307.7,168535
2021-02-12 00:00:00+05:30,308,323.85,301.95,312.75,288100
2021-02-15 00:00:00+05:30,315,330.5,315,322.1,240416
2021-02-16 00:00:00+05:30,323.75,325.2,310.7,314.85,135181
2021-02-17 00:00:00+05:30,314.25,316.9,302.7,312.5,111774
2021-02-18 00:00:00+05:30,310.5,313.8,302.55,306.05,68740
2021-02-19 00:00:00+05:30,304.55,308.5,289,293.65,102500
2021-02-22 00:00:00+05:30,295,295.95,282.3,287.7,75295
2021-02-23 00:00:00+05:30,285.1,294,281.4,284.1,46584
2021-02-24 00:00:00+05:30,285,299,261.1,290.1,22886
2021-02-25 00:00:00+05:30,299.85,299.85,282.55,286.25,96898
2021-02-26 00:00:00+05:30,283.6,286.25,280.85,285,81405
2021-03-01 00:00:00+05:30,293.95,293.95,280.5,281.8,75277
2021-03-02 00:00:00+05:30,287.85,287.85,282.55,286.3,66865
2021-03-03 00:00:00+05:30,288,297.15,285.3,288.75,92595
2021-03-04 00:00:00+05:30,288,293.55,285.15,289,94216
2021-03-05 00:00:00+05:30,283,291.5,282.1,284.3,31335
2021-03-08 00:00:00+05:30,293,309.95,290.75,301.25,311963
2021-03-09 00:00:00+05:30,303.7,313.95,291,295.85,130089
2021-03-10 00:00:00+05:30,298.8,302,284.45,286.4,61839
2021-03-12 00:00:00+05:30,288,290.9,274,274.95,161096
2021-03-15 00:00:00+05:30,275.85,285,268,282.1,120052
2021-03-16 00:00:00+05:30,283.95,293,278.8,283.2,142456
2021-03-17 00:00:00+05:30,293,295,277.6,280.3,102582
2021-03-18 00:00:00+05:30,283,286.5,261.7,270.15,63505
2021-03-19 00:00:00+05:30,269.85,272.85,255.6,270.3,91154
2021-03-22 00:00:00+05:30,277.4,277.4,259,261.8,87464
2021-03-23 00:00:00+05:30,267.85,292.4,264.3,288.4,265337
2021-03-24 00:00:00+05:30,285,286,278.05,280.05,175379
2021-03-25 00:00:00+05:30,280,288.05,279.15,280.2,164185
2021-03-26 00:00:00+05:30,288.7,299,284,290.65,248289
2021-03-30 00:00:00+05:30,293,293.55,282,290.95,79924
2021-03-31 00:00:00+05:30,291.9,298.85,286.6,298.1,65899
2021-04-01 00:00:00+05:30,299.7,302.7,294.35,295.55,45237
