date,open,high,low,close,volume
2021-01-05 00:00:00+05:30,24.5,25,24.5,25,8000
2021-01-06 00:00:00+05:30,24,25.05,24,25.05,16000
2021-01-07 00:00:00+05:30,26,26,26,26,4000
2021-01-13 00:00:00+05:30,25.25,25.9,25.05,25.05,12000
2021-01-14 00:00:00+05:30,25,25,25,25,4000
2021-01-27 00:00:00+05:30,25.1,25.1,25.05,25.05,8000
2021-02-01 00:00:00+05:30,24,25.55,24,25.2,16000
2021-02-03 00:00:00+05:30,25.9,25.9,25.9,25.9,4000
2021-02-12 00:00:00+05:30,24,24,24,24,4000
2021-02-19 00:00:00+05:30,22.35,24.05,22.35,24,16000
2021-02-22 00:00:00+05:30,22.3,22.3,20.5,20.5,40000
2021-02-23 00:00:00+05:30,20.5,21.5,20.05,20.25,20000
2021-02-25 00:00:00+05:30,20.5,20.5,20.5,20.5,4000
2021-02-26 00:00:00+05:30,22,24,22,23.6,24000
2021-03-01 00:00:00+05:30,24.2,24.2,23.9,23.9,8000
2021-03-04 00:00:00+05:30,24.25,28,24.25,26,16000
2021-03-08 00:00:00+05:30,26,26,26,26,4000
2021-03-09 00:00:00+05:30,24,24,24,24,4000
2021-03-25 00:00:00+05:30,24.05,24.1,24.05,24.1,12000
2021-03-26 00:00:00+05:30,24.1,24.35,24.1,24.35,8000
2021-03-31 00:00:00+05:30,24.35,24.35,24.35,24.35,4000
2021-04-01 00:00:00+05:30,24.5,24.5,24.5,24.5,4000
2021-04-05 00:00:00+05:30,23.5,23.5,21,21.75,12000
2021-04-06 00:00:00+05:30,22,22,21.5,21.5,8000
2021-04-08 00:00:00+05:30,23.5,23.5,23.5,23.5,4000
2021-04-15 00:00:00+05:30,23,23,23,23,4000
2021-04-23 00:00:00+05:30,21.5,21.5,21.5,21.5,4000
2021-04-27 00:00:00+05:30,22,22,22,22,4000
2021-05-04 00:00:00+05:30,24,25.8,24,25.8,20000
2021-05-05 00:00:00+05:30,25.5,27.25,25.5,27.25,32000
2021-05-06 00:00:00+05:30,25.75,27.25,25.75,27.25,12000
2021-05-07 00:00:00+05:30,27.25,27.3,27.25,27.25,28000
2021-05-11 00:00:00+05:30,27.05,27.05,27,27,8000
