date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,151.95,153,150.4,151.3,9439
2021-01-04 00:00:00+05:30,153.55,173.85,149.1,159.9,428381
2021-01-05 00:00:00+05:30,159.75,164.85,156,159.85,146517
2021-01-06 00:00:00+05:30,160,180.15,158.95,173.1,1576854
2021-01-07 00:00:00+05:30,176.7,176.7,165,169,251251
2021-01-08 00:00:00+05:30,169.5,172.25,166,167.45,77588
2021-01-11 00:00:00+05:30,169.3,169.3,162.05,164.2,86838
2021-01-12 00:00:00+05:30,165,170.3,162,164.15,143543
2021-01-13 00:00:00+05:30,164.4,171.85,161.15,163.15,140188
2021-01-14 00:00:00+05:30,164.45,164.75,160.7,162.55,34446
2021-01-15 00:00:00+05:30,162,163.35,157.15,158.2,35325
2021-01-18 00:00:00+05:30,159.75,159.75,152.2,154.05,36437
2021-01-19 00:00:00+05:30,156,159.45,155,155.8,26524
2021-01-20 00:00:00+05:30,155.9,167.9,155.85,165.05,92658
2021-01-21 00:00:00+05:30,167.5,167.9,159.05,160.1,38118
2021-01-22 00:00:00+05:30,159.9,163.5,155,158.8,36543
2021-01-25 00:00:00+05:30,158.8,163.55,150.3,154.55,33678
2021-01-27 00:00:00+05:30,155.2,160.15,152.15,155.3,97005
2021-01-28 00:00:00+05:30,154.7,156.9,153.05,155.6,17566
2021-01-29 00:00:00+05:30,157.85,158.15,153.05,153.7,14864
2021-02-01 00:00:00+05:30,153.5,154.1,149,151.1,32335
2021-02-02 00:00:00+05:30,150.7,155.05,150.7,153.65,13928
2021-02-03 00:00:00+05:30,151.55,158.5,151.55,153.6,37212
2021-02-04 00:00:00+05:30,153.55,157.5,153.55,156.05,22670
2021-02-05 00:00:00+05:30,156,157,151.25,152.6,21033
2021-02-08 00:00:00+05:30,154,159,153.8,158.1,26635
2021-02-09 00:00:00+05:30,163,163,154.6,156.6,31217
2021-02-10 00:00:00+05:30,155.05,160.8,146.3,147.15,105674
2021-02-11 00:00:00+05:30,146,147.75,143.95,145.7,44272
2021-02-12 00:00:00+05:30,146.2,146.2,143.95,144.65,30849
2021-02-15 00:00:00+05:30,145.45,145.45,142.25,142.7,28970
2021-02-16 00:00:00+05:30,142.85,143.8,141,141.8,16258
2021-02-17 00:00:00+05:30,141.8,141.9,140,140.6,17823
2021-02-18 00:00:00+05:30,142,144.9,141.45,142.25,19245
2021-02-19 00:00:00+05:30,140.05,146,140.05,140.95,33861
2021-02-22 00:00:00+05:30,144,144,137.1,137.95,11747
2021-02-23 00:00:00+05:30,137.2,139.1,135,138.1,12199
2021-02-24 00:00:00+05:30,138.35,162,137.15,141.9,9780
2021-02-25 00:00:00+05:30,142.95,143.95,142,143.6,11272
2021-02-26 00:00:00+05:30,142,142.55,134.75,136.65,23423
2021-03-01 00:00:00+05:30,136.7,139.95,136.7,138.35,14831
2021-03-02 00:00:00+05:30,141,141,136,137.85,22844
2021-03-03 00:00:00+05:30,139.5,140.75,138.95,139.9,18849
2021-03-04 00:00:00+05:30,139.9,147.7,137.25,141.95,61635
2021-03-05 00:00:00+05:30,143.85,149.6,140.75,141.2,116967
2021-03-08 00:00:00+05:30,145,146,141,141.9,22156
2021-03-09 00:00:00+05:30,143.75,144.4,139.05,140.9,18094
2021-03-10 00:00:00+05:30,143.45,143.5,138.1,139.65,13965
2021-03-12 00:00:00+05:30,140,142.15,137.5,137.95,10197
2021-03-15 00:00:00+05:30,137.5,139.4,133.95,134.55,19832
2021-03-16 00:00:00+05:30,136.1,137.9,135,135.4,17173
2021-03-17 00:00:00+05:30,136.7,136.9,129,131.35,16566
2021-03-18 00:00:00+05:30,133,134.2,123,125.6,28073
2021-03-19 00:00:00+05:30,125.15,130,121.15,129.2,20247
2021-03-22 00:00:00+05:30,130.85,132,129.35,130.95,10804
2021-03-23 00:00:00+05:30,133.7,133.7,128.5,128.8,12940
2021-03-24 00:00:00+05:30,128.85,130,126,126.5,6108
2021-03-25 00:00:00+05:30,128.95,128.95,122,123.5,17293
2021-03-26 00:00:00+05:30,125,126.2,121.15,121.95,22648
2021-03-30 00:00:00+05:30,124.9,124.9,118.65,119.85,16944
2021-03-31 00:00:00+05:30,121.05,121.05,118.05,119,32807
2021-04-01 00:00:00+05:30,120,126,119.2,125.25,17410
2021-04-05 00:00:00+05:30,128.4,128.4,122.55,122.95,8996
2021-04-06 00:00:00+05:30,123.95,125.95,122.25,124.15,9038
2021-04-07 00:00:00+05:30,124.8,125.85,122.2,124.6,10805
2021-04-08 00:00:00+05:30,124.6,128.6,124.1,127.35,19188
2021-04-09 00:00:00+05:30,127.35,130.85,126.55,129.2,10416
2021-04-12 00:00:00+05:30,124.25,127.15,120.35,123.15,22307
2021-04-13 00:00:00+05:30,123.15,124.75,121.25,122.8,8114
2021-04-15 00:00:00+05:30,123.5,124,121,121.85,6588
2021-04-16 00:00:00+05:30,123.75,131.4,122,127.1,36985
2021-04-19 00:00:00+05:30,128.4,128.5,121.55,122.9,11939
2021-04-20 00:00:00+05:30,122.9,124.1,122.4,123.3,7380
2021-04-22 00:00:00+05:30,122.3,123.2,121.4,121.65,9928
2021-04-23 00:00:00+05:30,121.4,122.2,120.1,120.75,10137
2021-04-26 00:00:00+05:30,121.2,123.65,121.15,122.45,9957
2021-04-27 00:00:00+05:30,123.5,123.85,122,123.65,6364
2021-04-28 00:00:00+05:30,123.05,124.8,116.95,121.1,23203
2021-04-29 00:00:00+05:30,123.45,123.55,117.9,121.95,8448
2021-04-30 00:00:00+05:30,120.05,126.85,119.4,122.4,27826
2021-05-03 00:00:00+05:30,122.4,123.95,121,121.65,11622
2021-05-04 00:00:00+05:30,122,123.1,120,121.05,11069
2021-05-05 00:00:00+05:30,121.1,133,121,130.1,89509
2021-05-06 00:00:00+05:30,132,132,128.1,130.65,29040
2021-05-07 00:00:00+05:30,130.65,132.5,128.15,129.65,15403
2021-05-10 00:00:00+05:30,131.5,131.5,128.55,129.4,19690
2021-05-11 00:00:00+05:30,128.65,132,126.2,131.25,18164
2021-05-12 00:00:00+05:30,132.9,132.9,129.05,130.15,18518
2021-05-14 00:00:00+05:30,131,137.95,128,136.9,84317
2021-05-17 00:00:00+05:30,137.95,141,133.2,134.5,47395
2021-05-18 00:00:00+05:30,139.8,150.95,135.1,146.3,313472
2021-05-19 00:00:00+05:30,147,147,141,141.65,51518
2021-05-20 00:00:00+05:30,141.25,142,137.65,138,25861
2021-05-21 00:00:00+05:30,139.5,139.5,136,136.95,26892
2021-05-24 00:00:00+05:30,138.9,141.6,137,140.6,21494
2021-05-25 00:00:00+05:30,142,147.3,138.65,142.2,80683
2021-05-26 00:00:00+05:30,142.8,147.6,141.1,146.35,112481
2021-05-27 00:00:00+05:30,146.7,154.3,142.2,148.35,287154
2021-05-28 00:00:00+05:30,149.95,150.05,138.35,139.35,72779
2021-05-31 00:00:00+05:30,142.65,142.65,136.4,137.9,35181
2021-06-01 00:00:00+05:30,139.35,140.35,134.5,135.2,28203
2021-06-02 00:00:00+05:30,135.05,138.95,133.45,138.75,26002
2021-06-03 00:00:00+05:30,140.35,152,139.5,148.1,155784
2021-06-04 00:00:00+05:30,149.25,149.95,141.3,148.8,50914
2021-06-07 00:00:00+05:30,149.2,171.8,147,164.45,580262
2021-06-08 00:00:00+05:30,165.5,169,156,166.1,160711
2021-06-09 00:00:00+05:30,169.95,173.15,164,166.65,231801
2021-06-10 00:00:00+05:30,168,172,163.1,168.75,138563
2021-06-11 00:00:00+05:30,163,173.6,153.95,170.7,214744
2021-06-14 00:00:00+05:30,170.75,177,159.8,172.6,169891
2021-06-15 00:00:00+05:30,170.5,173.05,166.1,167.55,33600
2021-06-16 00:00:00+05:30,167.65,170,163.4,165.2,29266
2021-06-17 00:00:00+05:30,163,164.5,157.1,159.35,26242
2021-06-18 00:00:00+05:30,161,162,146.45,151.4,54715
2021-06-21 00:00:00+05:30,150,156.5,149.45,153.3,16429
2021-06-22 00:00:00+05:30,156.95,157,150,151.35,15016
2021-06-23 00:00:00+05:30,156.5,157.3,150.2,155.55,35109
2021-06-24 00:00:00+05:30,157.2,158.95,153.1,153.65,9408
2021-06-25 00:00:00+05:30,154,165,152,159.45,76095
2021-06-28 00:00:00+05:30,159,163.7,155,156.05,12288
2021-06-29 00:00:00+05:30,158.3,162.7,153,154.1,27671
2021-06-30 00:00:00+05:30,154.7,161.8,154,156.1,50775
2021-07-01 00:00:00+05:30,154.2,161.45,154.2,159.45,27459
2021-07-02 00:00:00+05:30,164,164,154.25,157.4,17733
2021-07-05 00:00:00+05:30,156.55,161.95,156.2,157.5,7261
2021-07-06 00:00:00+05:30,158.5,163.5,156.5,157.45,23426
2021-07-07 00:00:00+05:30,154.3,160,154.25,157.35,12134
2021-07-08 00:00:00+05:30,157.55,161.7,155.9,156.45,20983
2021-07-09 00:00:00+05:30,156.6,162.7,156.6,160.5,37363
2021-07-12 00:00:00+05:30,163,164.2,158.25,159.2,20158
2021-07-13 00:00:00+05:30,162.95,163.85,158.65,162.35,38514
2021-07-14 00:00:00+05:30,160.35,169.7,160.25,167.5,75842
2021-07-15 00:00:00+05:30,169.8,172.7,168,168.75,68766
2021-07-16 00:00:00+05:30,171,175,165,169.45,86337
2021-07-19 00:00:00+05:30,169,170.2,161.95,163.8,32053
2021-07-20 00:00:00+05:30,163.5,163.7,154,156.05,40346
2021-07-22 00:00:00+05:30,158.5,162.4,158.5,160.8,17875
2021-07-23 00:00:00+05:30,164.95,164.95,156.1,157.4,11929
2021-07-26 00:00:00+05:30,160,160,152.75,154.9,24482
2021-07-27 00:00:00+05:30,157,158.65,152.75,154.35,16256
2021-07-28 00:00:00+05:30,154.6,158,150.3,154.55,25866
2021-07-29 00:00:00+05:30,156.45,164.65,154.9,160.5,38447
2021-07-30 00:00:00+05:30,163.95,163.95,158,159.2,22595
2021-08-02 00:00:00+05:30,162.6,167,157.6,164.85,42770
2021-08-03 00:00:00+05:30,164.8,166.4,160.45,161.8,19740
2021-08-04 00:00:00+05:30,162.3,169,159.1,159.75,103305
2021-08-05 00:00:00+05:30,162.9,162.9,153.95,156.6,27605
2021-08-06 00:00:00+05:30,156.95,163.9,155,160.25,27866
2021-08-09 00:00:00+05:30,160.65,161.3,157.05,159.35,17726
2021-08-10 00:00:00+05:30,161.95,161.95,150,152.4,16450
2021-08-11 00:00:00+05:30,154.1,154.1,144,148.05,29516
2021-08-12 00:00:00+05:30,150.25,167.1,148,159.25,112959
2021-08-13 00:00:00+05:30,157.75,164.15,156.2,161.8,56747
2021-08-16 00:00:00+05:30,158.6,162.7,155,155.65,18266
2021-08-17 00:00:00+05:30,157,159.35,149,150.45,22725
2021-08-18 00:00:00+05:30,152,153.95,147.4,151.5,11367
2021-08-20 00:00:00+05:30,153.95,167.5,147.25,156.8,178821
2021-08-23 00:00:00+05:30,157.5,163.3,153.25,154.65,82885
2021-08-24 00:00:00+05:30,155.15,156.95,151.8,153.75,10209
2021-08-25 00:00:00+05:30,155.75,184.5,154.55,184.5,520353
2021-08-26 00:00:00+05:30,200,209.9,195.5,198.55,1603957
2021-08-27 00:00:00+05:30,194,195.7,185.8,186.55,241745
2021-08-30 00:00:00+05:30,185.1,187,175.15,180.05,159553
2021-08-31 00:00:00+05:30,180.95,193,175.2,185,104092
2021-09-01 00:00:00+05:30,186.95,209.4,184,200.5,390379
2021-09-02 00:00:00+05:30,200.5,201.7,190.55,192.15,60944
2021-09-03 00:00:00+05:30,194.5,194.5,185.1,188.4,67288
2021-09-06 00:00:00+05:30,188.4,226.05,185.15,226.05,584605
2021-09-07 00:00:00+05:30,231.9,233,209,211.3,326130
2021-09-08 00:00:00+05:30,212.6,215.85,203,209.75,103563
2021-09-09 00:00:00+05:30,209,211.95,204.25,206.1,44746
2021-09-13 00:00:00+05:30,207,219.05,206.5,211.55,95740
2021-09-14 00:00:00+05:30,212,215.5,205.5,206.65,49586
2021-09-15 00:00:00+05:30,207,216,206.65,210.3,94785
2021-09-16 00:00:00+05:30,212.95,212.95,202.1,203.85,45132
2021-09-17 00:00:00+05:30,203.85,203.85,185.5,198,71030
2021-09-20 00:00:00+05:30,199,199,191,191.5,20334
2021-09-21 00:00:00+05:30,191,196.8,187.9,189.3,17838
2021-09-22 00:00:00+05:30,189.3,193.85,188.65,189.55,18794
2021-09-23 00:00:00+05:30,191,215.35,191,201.15,149622
2021-09-24 00:00:00+05:30,202.1,205.2,194.2,197.1,38606
2021-09-27 00:00:00+05:30,193.4,198.3,192.5,194.15,19386
2021-09-28 00:00:00+05:30,198.6,203,190.9,195.4,18751
2021-09-29 00:00:00+05:30,193.75,197.8,190,192.15,15764
2021-09-30 00:00:00+05:30,193.3,195.5,191.1,194.15,5710
2021-10-01 00:00:00+05:30,194.15,195.05,190.1,191.7,14986
2021-10-04 00:00:00+05:30,195.55,195.55,191.1,192.5,13154
2021-10-05 00:00:00+05:30,192.5,195.5,191,192.1,13316
2021-10-06 00:00:00+05:30,192.4,194.6,188.95,189.9,12557
2021-10-07 00:00:00+05:30,189.15,193,185.5,188.4,13550
2021-10-08 00:00:00+05:30,190,192.95,187.05,188.45,14944
2021-10-11 00:00:00+05:30,192.5,192.5,187.1,187.25,9494
2021-10-12 00:00:00+05:30,188.95,189.75,186.8,187.85,10927
2021-10-13 00:00:00+05:30,191,193,186.35,187.8,12232
2021-10-14 00:00:00+05:30,192.45,192.45,186,186.8,9150
2021-10-18 00:00:00+05:30,188.95,191,182.05,184.6,20304
2021-10-19 00:00:00+05:30,184.6,186.45,176,179.05,23305
2021-10-20 00:00:00+05:30,182,182,170,170.85,18506
2021-10-21 00:00:00+05:30,171.1,175.95,171.1,174.3,7922
2021-10-22 00:00:00+05:30,179.95,179.95,172.95,174.1,33262
2021-10-25 00:00:00+05:30,173,175.95,165.2,166.9,10844
2021-10-26 00:00:00+05:30,168.5,194.85,168,183.8,79487
2021-10-27 00:00:00+05:30,187.9,196,180.95,193.45,50978
2021-10-28 00:00:00+05:30,197.8,197.8,186.35,190,22810
2021-10-29 00:00:00+05:30,187,195,186,190.8,27345
2021-11-01 00:00:00+05:30,193.95,201,188,199.3,74567
2021-11-02 00:00:00+05:30,202.25,202.25,192,195.3,37621
2021-11-03 00:00:00+05:30,196.95,196.95,189,189.2,14043
2021-11-04 00:00:00+05:30,195.8,195.8,178.95,191.35,8637
2021-11-08 00:00:00+05:30,192,195,189.5,190.3,12704
2021-11-09 00:00:00+05:30,193,196.25,191,191.95,12843
2021-11-10 00:00:00+05:30,191.95,194,188,189.8,11149
2021-11-11 00:00:00+05:30,194.9,196.95,191,192.7,12611
2021-11-12 00:00:00+05:30,194.85,194.85,189.9,191.6,12064
