date,open,high,low,close,volume
2021-02-22 00:00:00+05:30,1755,1990,1755,1933.1,3704
2021-02-23 00:00:00+05:30,1990,2035,1906.2,2017.45,7608
2021-02-24 00:00:00+05:30,2099,2120,1825.55,1927.55,3388
2021-02-25 00:00:00+05:30,1852.65,2000,1852.65,1984,6281
2021-02-26 00:00:00+05:30,1911,2005.05,1911,1993,9757
2021-03-01 00:00:00+05:30,1991,2190.2,1981,2185.45,21078
2021-03-02 00:00:00+05:30,2236,2269.65,2132.05,2209.8,11027
2021-03-03 00:00:00+05:30,2200,2430.75,2170,2403.3,28379
2021-03-04 00:00:00+05:30,2428,2520,2263.15,2424.9,21195
2021-03-05 00:00:00+05:30,2437,2510,2400.5,2439.9,18258
2021-03-08 00:00:00+05:30,2505,2683.85,2505,2683.85,22680
2021-03-09 00:00:00+05:30,2848.9,2952.2,2756,2835.95,39572
2021-03-10 00:00:00+05:30,2899,2950.2,2750.05,2803.8,17008
2021-03-12 00:00:00+05:30,2885,2910.2,2790.6,2840.25,10188
2021-03-15 00:00:00+05:30,2930,2930.25,2698.25,2698.25,8228
2021-03-16 00:00:00+05:30,2621,2689.95,2563.35,2563.35,11726
2021-03-17 00:00:00+05:30,2512.1,2691.5,2435.2,2435.2,27952
2021-03-18 00:00:00+05:30,2520,2520,2313.45,2313.45,18682
2021-03-19 00:00:00+05:30,2260.05,2429.1,2197.8,2429.1,23716
2021-03-22 00:00:00+05:30,2490,2510,2329.1,2433.2,13138
2021-03-23 00:00:00+05:30,2433.2,2554.85,2335.1,2548.7,10037
2021-03-24 00:00:00+05:30,2548.7,2570.05,2421.3,2422.8,8959
2021-03-25 00:00:00+05:30,2385,2423.15,2301.7,2304.05,9078
2021-03-26 00:00:00+05:30,2304.05,2380.85,2212,2227.3,8113
2021-03-30 00:00:00+05:30,2319.95,2319.95,2215.25,2260.15,3338
2021-03-31 00:00:00+05:30,2250,2320,2215,2286.65,4575
2021-04-01 00:00:00+05:30,2340,2400.95,2310,2400.95,7718
2021-04-05 00:00:00+05:30,2419,2460,2281,2328.5,8488
2021-04-06 00:00:00+05:30,2362.95,2371.85,2259.95,2263,8350
2021-04-07 00:00:00+05:30,2321.9,2360,2211,2344.55,5569
2021-04-08 00:00:00+05:30,2345,2461.75,2345,2429,8997
2021-04-09 00:00:00+05:30,2449.5,2510,2367.55,2450.7,10365
2021-04-12 00:00:00+05:30,2424.9,2424.9,2328.2,2328.2,11106
2021-04-13 00:00:00+05:30,2250.1,2444.6,2220.2,2391.85,13448
2021-04-15 00:00:00+05:30,2444.9,2444.9,2272.3,2299.9,7682
2021-04-16 00:00:00+05:30,2299,2399,2280,2374.2,5780
2021-04-19 00:00:00+05:30,2355,2355,2266.3,2287.05,4081
2021-04-20 00:00:00+05:30,2307.35,2380,2280,2292.6,4578
2021-04-22 00:00:00+05:30,2271,2347,2235,2246.85,7036
2021-04-23 00:00:00+05:30,2265,2323,2225,2239.1,7130
2021-04-26 00:00:00+05:30,2242,2299,2165.75,2231.35,6935
2021-04-27 00:00:00+05:30,2251,2318,2245,2287.8,6786
2021-04-28 00:00:00+05:30,2330,2402.15,2295.3,2402.15,10139
2021-04-29 00:00:00+05:30,2488,2522.25,2413,2522.25,19308
2021-04-30 00:00:00+05:30,2522.25,2648.35,2522.2,2613.3,20618
2021-05-03 00:00:00+05:30,2620,2743.95,2520,2730.65,23007
2021-05-04 00:00:00+05:30,2757,2867.15,2750,2827.2,31934
2021-05-05 00:00:00+05:30,2872.6,2968.55,2872.6,2952.25,24749
2021-05-06 00:00:00+05:30,2978,2978.7,2804.65,2804.65,5217
2021-05-07 00:00:00+05:30,2671,2919,2664.45,2838.9,27018
2021-05-10 00:00:00+05:30,2875.05,2980.8,2845.75,2980.8,23483
2021-05-11 00:00:00+05:30,3000,3129.8,2831.8,2848.6,42094
2021-05-12 00:00:00+05:30,2798.9,2985,2725.05,2923.85,42893
2021-05-14 00:00:00+05:30,2989,3009,2876.2,2962,19694
2021-05-17 00:00:00+05:30,3029,3029,2940,2988.6,12115
2021-05-18 00:00:00+05:30,3012,3050,2960,3034.6,16392
2021-05-19 00:00:00+05:30,2965.05,3186.3,2965.05,3134.55,26926
2021-05-20 00:00:00+05:30,3195,3260,3155.6,3217.05,14500
2021-05-21 00:00:00+05:30,3289,3377.9,3251.7,3376.1,38256
2021-05-24 00:00:00+05:30,3401.25,3450,3207.3,3261.15,30021
2021-05-25 00:00:00+05:30,3310,3400,3245.15,3385.2,18586
2021-05-26 00:00:00+05:30,3448.95,3501.05,3400,3431.95,11711
2021-05-27 00:00:00+05:30,3475,3482,3376.15,3423.95,12099
2021-05-28 00:00:00+05:30,3425,3520,3361,3391.25,12864
2021-05-31 00:00:00+05:30,3340.05,3425,3240,3260.25,13417
2021-06-01 00:00:00+05:30,3374,3374,3240,3297.65,13393
2021-06-02 00:00:00+05:30,3344.9,3419.9,3303.55,3395.7,9033
2021-06-03 00:00:00+05:30,3428,3475,3370.6,3397.05,9710
2021-06-04 00:00:00+05:30,3420,3444.8,3350,3380.9,5154
2021-06-07 00:00:00+05:30,3449,3515,3160.05,3371,22218
2021-06-08 00:00:00+05:30,3375,3445,3350,3411.45,5822
2021-06-09 00:00:00+05:30,3479.9,3520,3381.05,3440.65,16049
2021-06-10 00:00:00+05:30,3500,3660,3476.05,3628.7,28845
2021-06-11 00:00:00+05:30,3680,3790.95,3652.05,3701.2,27354
2021-06-14 00:00:00+05:30,3720.05,3791.95,3500,3698.45,18012
2021-06-15 00:00:00+05:30,3772.45,3772.45,3650,3665.65,6618
2021-06-16 00:00:00+05:30,3699.85,3699.85,3560,3617.1,7102
2021-06-17 00:00:00+05:30,3540,3699,3540,3640.7,6323
2021-06-18 00:00:00+05:30,3678,3689.95,3489.55,3600.3,9167
2021-06-21 00:00:00+05:30,3599.95,3630,3465.6,3527.15,6604
2021-06-22 00:00:00+05:30,3544.8,3572,3450,3481.8,6146
2021-06-23 00:00:00+05:30,3530,3542.1,3412.2,3457.6,5062
2021-06-24 00:00:00+05:30,3457.6,3532,3425.05,3443.95,3273
2021-06-25 00:00:00+05:30,3464,3496.45,3415,3441.75,3578
2021-06-28 00:00:00+05:30,3497,3497,3411.35,3425.4,2879
2021-06-29 00:00:00+05:30,3425,3435.2,3333,3373.75,5750
2021-06-30 00:00:00+05:30,3373.75,3499,3328.25,3486.1,7726
2021-07-01 00:00:00+05:30,3514.9,3514.9,3414.95,3423,2452
2021-07-02 00:00:00+05:30,3450,3600.05,3431.6,3579,17291
2021-07-05 00:00:00+05:30,3600,3624.95,3578,3609.2,6837
2021-07-06 00:00:00+05:30,3624,3665,3600,3645.95,8897
2021-07-07 00:00:00+05:30,3672,3672,3540,3555.7,7004
2021-07-08 00:00:00+05:30,3579.95,3609,3521.55,3530.25,2885
2021-07-09 00:00:00+05:30,3511,3630,3511,3586.85,4177
2021-07-12 00:00:00+05:30,3639.8,3639.8,3547.05,3563.55,3304
2021-07-13 00:00:00+05:30,3607.2,3607.45,3500,3529.95,3927
2021-07-14 00:00:00+05:30,3529.95,3555.95,3495,3502.95,3055
2021-07-15 00:00:00+05:30,3539,3569.55,3434.45,3471,4768
2021-07-16 00:00:00+05:30,3549,3549,3440,3464.5,3419
2021-07-19 00:00:00+05:30,3479.25,3515.5,3431.05,3452.4,3533
2021-07-20 00:00:00+05:30,3466,3478.15,3361,3421.9,5777
2021-07-22 00:00:00+05:30,3480,3574.4,3433.95,3550.95,6031
2021-07-23 00:00:00+05:30,3550.95,3553.15,3486.3,3520.05,3087
2021-07-26 00:00:00+05:30,3560,3560,3440,3464.8,4164
2021-07-27 00:00:00+05:30,3445,3474.15,3410,3437.8,4030
2021-07-28 00:00:00+05:30,3415.1,3547.45,3366.15,3520.7,4396
2021-07-29 00:00:00+05:30,3545,3545,3400,3439.15,4156
2021-07-30 00:00:00+05:30,3439.15,3510,3422.1,3442.35,6557
2021-08-02 00:00:00+05:30,3489,3489,3412,3429.8,3780
2021-08-03 00:00:00+05:30,3449,3449,3373,3381.15,5639
2021-08-04 00:00:00+05:30,3410,3410,3267.2,3319.2,6737
2021-08-05 00:00:00+05:30,3319.3,3338.25,3162.3,3251.7,8254
2021-08-06 00:00:00+05:30,3299,3352.7,3245.95,3288.9,4915
2021-08-09 00:00:00+05:30,3313.6,3313.6,3190,3199.9,5400
2021-08-10 00:00:00+05:30,3218,3218,3065,3089.75,10214
2021-08-11 00:00:00+05:30,3089.75,3179,2950,3165.65,10642
2021-08-12 00:00:00+05:30,3170,3235.05,3170,3220.15,4479
2021-08-13 00:00:00+05:30,3248.8,3248.8,3113,3147.4,5482
2021-08-16 00:00:00+05:30,3140,3284.75,3089.05,3270.4,5968
2021-08-17 00:00:00+05:30,3339,3370,3286,3337.85,9687
2021-08-18 00:00:00+05:30,3335.2,3460,3240.05,3403.9,11300
2021-08-20 00:00:00+05:30,3404,3500,3332.65,3430.3,21266
2021-08-23 00:00:00+05:30,3580,3580,3410,3490.45,19786
2021-08-24 00:00:00+05:30,3540,3548.75,3500,3511.2,11755
2021-08-25 00:00:00+05:30,3513,3550,3510,3539.8,10388
2021-08-26 00:00:00+05:30,3510,4140,3510,3996.35,126263
2021-08-27 00:00:00+05:30,4065,4369,4017.7,4211.75,111995
2021-08-30 00:00:00+05:30,4296,4329.8,4149.9,4220.8,32485
2021-08-31 00:00:00+05:30,4220,4494.5,4200,4434.95,46269
2021-09-01 00:00:00+05:30,4434.8,4750,4255.15,4681,69027
2021-09-02 00:00:00+05:30,4698,4920,4671.05,4869.65,55661
2021-09-03 00:00:00+05:30,4887,4990,4602.65,4805.9,49454
2021-09-06 00:00:00+05:30,4930,4930,4665,4688.1,15363
2021-09-07 00:00:00+05:30,4700,4708.95,4425,4473.9,19203
2021-09-08 00:00:00+05:30,4500,4650,4451.05,4508.35,15595
2021-09-09 00:00:00+05:30,4521.5,4739,4410,4710.25,33149
2021-09-13 00:00:00+05:30,4789,4789,4590.05,4616.4,10988
2021-09-14 00:00:00+05:30,4675.1,4769.1,4550,4621.1,12348
2021-09-15 00:00:00+05:30,4643.9,4699,4588.25,4681.15,9123
2021-09-16 00:00:00+05:30,4700,5230,4688.85,5108.2,103475
2021-09-17 00:00:00+05:30,5138.95,5200,4921,5175.2,49022
2021-09-20 00:00:00+05:30,5382,6210.2,5310.1,6206,169121
2021-09-21 00:00:00+05:30,6273,6500,5778.6,6047.55,131304
2021-09-22 00:00:00+05:30,6088,6750,5771.75,6480.95,129684
2021-09-23 00:00:00+05:30,6481,6678,6415,6556.4,58160
2021-09-24 00:00:00+05:30,6600,6660,6225.65,6380.55,33107
2021-09-27 00:00:00+05:30,6450,6541.7,6301,6374.55,22952
2021-09-28 00:00:00+05:30,6469.95,6469.95,6032.65,6091,23333
2021-09-29 00:00:00+05:30,6080,6498.95,5858.9,6390.3,55861
2021-09-30 00:00:00+05:30,6430,6560,6428.85,6500.6,21933
2021-10-01 00:00:00+05:30,6452,6550,6415,6516.8,20130
2021-10-04 00:00:00+05:30,6700,6999.9,6580.15,6922.55,59236
2021-10-05 00:00:00+05:30,6937.85,7087,6920,6939.4,33463
2021-10-06 00:00:00+05:30,6930,7000,6826.4,6868.35,21226
2021-10-07 00:00:00+05:30,6984,6985,6636.2,6714.95,33822
2021-10-08 00:00:00+05:30,6794.4,6899,6580.05,6808.9,21912
2021-10-11 00:00:00+05:30,6894.4,6939,6710,6753,15902
2021-10-12 00:00:00+05:30,6777,6875,6660,6676.9,16995
2021-10-13 00:00:00+05:30,6746,6842.8,6666.55,6713.55,14106
2021-10-14 00:00:00+05:30,6814.4,7433,6776.2,7310.35,72188
2021-10-18 00:00:00+05:30,7400,7550,7063.4,7186.25,57865
2021-10-19 00:00:00+05:30,7314,7314,7000,7036.4,19089
2021-10-20 00:00:00+05:30,7161,7161,6701,6727.2,21965
2021-10-21 00:00:00+05:30,6801.2,6974,6675.8,6818.2,16393
2021-10-22 00:00:00+05:30,6805,6951.3,6510,6608.8,18010
2021-10-25 00:00:00+05:30,6650,6674.1,5900,6015.5,29218
2021-10-26 00:00:00+05:30,6115,6890,6115,6771.4,45863
2021-10-27 00:00:00+05:30,6796,6946.35,6592.5,6802.9,20653
2021-10-28 00:00:00+05:30,6802.9,6950,6525,6643.1,10510
2021-10-29 00:00:00+05:30,6700,6700,6390.45,6468.05,9453
2021-11-01 00:00:00+05:30,6599,6790,6521.2,6740.45,19830
2021-11-02 00:00:00+05:30,6858.95,6878,6726.85,6780.9,8832
2021-11-03 00:00:00+05:30,6780,6829.65,6645.3,6667.7,5972
2021-11-04 00:00:00+05:30,6698.9,6700,6606,6684.3,1697
2021-11-08 00:00:00+05:30,6685,6940,6505,6868.2,12244
2021-11-09 00:00:00+05:30,6868.2,7080,6801.45,6951.85,11615
2021-11-10 00:00:00+05:30,6862,7030,6800.05,6963.85,7054
2021-11-11 00:00:00+05:30,6851,7150,6810,6875.45,9798
2021-11-12 00:00:00+05:30,6890,6926.5,6270,6403.45,23457
2021-11-15 00:00:00+05:30,6300,6350.05,6003.5,6120.05,25335
2021-11-16 00:00:00+05:30,6194.9,6274,6121,6181.55,12576
2021-11-17 00:00:00+05:30,6198,6248,6061.55,6121.3,4909
2021-11-18 00:00:00+05:30,6129.35,6149.95,5910,5953.15,8504
2021-11-22 00:00:00+05:30,5955,6087.95,5100.15,5292.4,32241
2021-11-23 00:00:00+05:30,5290,6100,5269.95,5946.95,45275
2021-11-24 00:00:00+05:30,6100,6261.85,6022.15,6080.35,24483
2021-11-25 00:00:00+05:30,6075,6141.8,5900.15,6042.85,7471
2021-11-26 00:00:00+05:30,5900.2,6272.45,5788.55,5942.15,20292
2021-11-29 00:00:00+05:30,5900.15,6020,5500,5761.4,13276
2021-11-30 00:00:00+05:30,5799.25,6088.95,5773.3,5918.85,12525
2021-12-01 00:00:00+05:30,5920,6049,5850,5898.55,6218
2021-12-02 00:00:00+05:30,5904.9,6149,5904.9,6094,10465
2021-12-03 00:00:00+05:30,6239.8,6260,6060,6087.45,8566
2021-12-06 00:00:00+05:30,6105,6305,6050,6179.25,14531
2021-12-07 00:00:00+05:30,6262,6299.8,6110,6175.15,6035
2021-12-08 00:00:00+05:30,6250,6275,6080,6108.7,7474
2021-12-09 00:00:00+05:30,6185.8,6220,6099,6146.15,5761
2021-12-10 00:00:00+05:30,6146.15,6160,5942.05,6012,13637
2021-12-13 00:00:00+05:30,6140,6140,5930.05,5943.4,8945
2021-12-14 00:00:00+05:30,5942.8,6023,5839.95,5909.7,9166
2021-12-15 00:00:00+05:30,5909.7,5974.95,5900,5915.65,3790
2021-12-16 00:00:00+05:30,5959,6061.15,5745.05,5851.9,5962
2021-12-17 00:00:00+05:30,5815.25,5940,5732.4,5873.45,5209
2021-12-20 00:00:00+05:30,5821,5870,5624.9,5712.9,8121
2021-12-21 00:00:00+05:30,5701.3,5838,5515.15,5711.5,8221
2021-12-22 00:00:00+05:30,5769.85,5790,5670,5772.7,4448
2021-12-23 00:00:00+05:30,5800.1,5835,5653.45,5696.15,6049
2021-12-24 00:00:00+05:30,5798.9,5798.9,5596,5733.8,7114
2021-12-27 00:00:00+05:30,5733.8,5733.8,5600,5648.6,4841
2021-12-28 00:00:00+05:30,5697.9,5741,5652,5715.55,6063
2021-12-29 00:00:00+05:30,5715,5865.5,5715,5828.95,10431
2021-12-30 00:00:00+05:30,5890,5890,5759,5778.7,4748
2021-12-31 00:00:00+05:30,5778.7,5930,5770.05,5844.4,9206
