date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,1576,1631.85,1550.95,1612.45,39555
2021-01-04 00:00:00+05:30,1620,1650,1591.25,1601.05,28419
2021-01-05 00:00:00+05:30,1590,1600,1529,1567.85,25889
2021-01-06 00:00:00+05:30,1589,1590,1542.3,1552.85,15023
2021-01-07 00:00:00+05:30,1558.1,1577,1550.55,1568.4,8467
2021-01-08 00:00:00+05:30,1588,1588,1525,1539,14760
2021-01-11 00:00:00+05:30,1564,1564,1485,1499.2,18893
2021-01-12 00:00:00+05:30,1496.75,1576.75,1451.95,1532.35,29353
2021-01-13 00:00:00+05:30,1512.6,1548,1490,1504.15,10175
2021-01-14 00:00:00+05:30,1493.1,1524.75,1480.1,1496.55,5719
2021-01-15 00:00:00+05:30,1509.65,1513.55,1481.3,1487.45,6106
2021-01-18 00:00:00+05:30,1497,1529.55,1461,1504.7,10083
2021-01-19 00:00:00+05:30,1523.8,1529,1482.8,1499,10875
2021-01-20 00:00:00+05:30,1499,1522.75,1490,1504.25,6496
2021-01-21 00:00:00+05:30,1511.75,1519.9,1480,1487.05,5360
2021-01-22 00:00:00+05:30,1506,1510.8,1486.4,1497.75,5403
2021-01-25 00:00:00+05:30,1497.75,1519.9,1450,1464.5,7163
2021-01-27 00:00:00+05:30,1470,1481.95,1450.15,1459.05,5276
2021-01-28 00:00:00+05:30,1450,1488.25,1417,1447.75,5901
2021-01-29 00:00:00+05:30,1457.2,1474,1441,1446.15,3912
2021-02-01 00:00:00+05:30,1450,1590.75,1450,1539.9,13918
2021-02-02 00:00:00+05:30,1558.95,1565,1493.45,1534,8633
2021-02-03 00:00:00+05:30,1550,1650.55,1524.85,1589.05,28583
2021-02-04 00:00:00+05:30,1607,1607.2,1550.2,1571.7,6020
2021-02-05 00:00:00+05:30,1575.1,1600,1542.05,1550.05,8373
2021-02-08 00:00:00+05:30,1580,1608,1552.3,1562.9,8755
2021-02-09 00:00:00+05:30,1551.55,1604.2,1545,1552,12245
2021-02-10 00:00:00+05:30,1598.2,1707.2,1577.2,1707.2,52759
2021-02-11 00:00:00+05:30,1802,1877.9,1765.5,1877.9,44878
2021-02-12 00:00:00+05:30,1980,2019.95,1785.2,1841.8,92704
2021-02-15 00:00:00+05:30,1890,1920,1845.05,1856.85,21201
2021-02-16 00:00:00+05:30,1908,1908,1849,1859.6,19647
2021-02-17 00:00:00+05:30,1889.8,2035,1856.45,1999.95,44420
2021-02-18 00:00:00+05:30,2038,2105,2000.8,2077.7,28269
2021-02-19 00:00:00+05:30,2094,2285.45,2050,2278.7,51880
2021-02-22 00:00:00+05:30,2368,2392.6,2313.05,2392.6,30690
2021-02-23 00:00:00+05:30,2512.2,2512.2,2480,2512.2,22027
2021-02-24 00:00:00+05:30,2578,2578,2386.6,2386.6,54988
2021-02-25 00:00:00+05:30,2303,2340.15,2267.3,2267.3,53229
2021-02-26 00:00:00+05:30,2153.95,2249.9,2153.95,2153.95,31987
2021-03-01 00:00:00+05:30,2240,2261.6,2048,2201,48144
2021-03-02 00:00:00+05:30,2200.05,2276.2,2115,2176.55,21956
2021-03-03 00:00:00+05:30,2176.5,2200,2167.3,2189.5,10339
2021-03-04 00:00:00+05:30,2179.9,2260,2167.3,2229.05,11931
2021-03-05 00:00:00+05:30,2229.05,2248.2,2180,2188.65,7837
2021-03-08 00:00:00+05:30,2205,2298.05,2205,2297.05,14351
2021-03-09 00:00:00+05:30,2374,2411.9,2322,2411.9,25109
2021-03-10 00:00:00+05:30,2467,2517.05,2291.35,2292.3,30043
2021-03-12 00:00:00+05:30,2281.1,2360.1,2190,2214.1,26278
2021-03-15 00:00:00+05:30,2214.1,2236,2103.4,2105.8,24896
2021-03-16 00:00:00+05:30,2105,2211.05,2105,2211.05,13078
2021-03-17 00:00:00+05:30,2250,2284.75,2105,2113.7,24367
2021-03-18 00:00:00+05:30,2125,2214,2051.3,2076.55,13740
2021-03-19 00:00:00+05:30,2010,2115,1972.75,2074.1,23898
2021-03-22 00:00:00+05:30,2115,2150,2060.1,2119.2,9824
2021-03-23 00:00:00+05:30,2106.1,2149,2075.1,2115.7,12867
2021-03-24 00:00:00+05:30,2115.7,2115.7,2051,2090.3,8996
2021-03-25 00:00:00+05:30,2076.15,2147,2002.5,2027.45,9454
2021-03-26 00:00:00+05:30,2050,2087.95,2030.15,2051.8,7769
2021-03-30 00:00:00+05:30,2038.1,2051.8,1965,1997.65,17826
2021-03-31 00:00:00+05:30,2029.9,2097.5,2000.05,2097.5,11501
2021-04-01 00:00:00+05:30,2138,2174.5,2100,2129.6,15419
2021-04-05 00:00:00+05:30,2127.85,2127.85,2023.15,2055.3,10903
2021-04-06 00:00:00+05:30,2055.1,2135.65,2050.7,2066.95,8091
2021-04-07 00:00:00+05:30,2114,2114,2068,2086.75,5573
2021-04-08 00:00:00+05:30,2109.9,2124,2060,2089.4,8186
2021-04-09 00:00:00+05:30,2121,2121,1991.55,2047.1,18072
2021-04-12 00:00:00+05:30,1990.2,2020,1975,1981.4,15206
2021-04-13 00:00:00+05:30,1986,2037.15,1960.25,1972.55,8117
2021-04-15 00:00:00+05:30,1972.55,2000,1950,1981.05,7030
2021-04-16 00:00:00+05:30,2000,2000,1944,1979.2,12475
2021-04-19 00:00:00+05:30,1950,1960,1880.25,1909.95,13318
2021-04-20 00:00:00+05:30,1916,2005.4,1909.1,2005.4,7117
2021-04-22 00:00:00+05:30,2015,2081.35,1980,2032.45,14140
2021-04-23 00:00:00+05:30,2032.1,2066.95,2000,2020.2,7084
2021-04-26 00:00:00+05:30,2066,2121.2,2004.1,2121.2,10164
2021-04-27 00:00:00+05:30,2180,2180,2073.7,2107,13573
