date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,41.45,41.5,41,41.5,14371
2021-01-04 00:00:00+05:30,43.55,43.55,43.55,43.55,10193
2021-01-05 00:00:00+05:30,45.7,45.7,41.55,44.1,24581
2021-01-06 00:00:00+05:30,45.45,46.3,45,45.85,26687
2021-01-07 00:00:00+05:30,45.9,47.95,45.55,47,25483
2021-01-08 00:00:00+05:30,46,48,45.05,46,5267
2021-01-11 00:00:00+05:30,47.95,47.95,43.7,44.8,13773
2021-01-12 00:00:00+05:30,43.05,44.8,43.05,43.9,5881
2021-01-13 00:00:00+05:30,45.35,45.35,42.15,42.6,4755
2021-01-14 00:00:00+05:30,42.3,43.8,42.3,43,8268
2021-01-15 00:00:00+05:30,43,43.1,42.05,42.8,2468
2021-01-18 00:00:00+05:30,40.75,43.75,40.75,42.05,3301
2021-01-19 00:00:00+05:30,43.75,43.75,40.55,40.95,4224
2021-01-20 00:00:00+05:30,42.8,42.85,41.3,42.5,4161
2021-01-21 00:00:00+05:30,42,42.8,41.05,42,1260
2021-01-22 00:00:00+05:30,42.85,42.85,40.4,40.6,1775
2021-01-25 00:00:00+05:30,40.05,41.05,38.7,38.85,1239
2021-01-27 00:00:00+05:30,39.65,39.65,36.95,37.6,4373
2021-01-28 00:00:00+05:30,36.95,38.75,36.95,38.35,4243
2021-01-29 00:00:00+05:30,39.05,39.05,36.6,37.5,3544
2021-02-01 00:00:00+05:30,37.85,38.9,36.3,38.7,2823
2021-02-02 00:00:00+05:30,38,40,38,39.2,1840
2021-02-03 00:00:00+05:30,40,40.4,39.5,40.2,4269
2021-02-04 00:00:00+05:30,38.75,40.8,38.75,39.8,3966
2021-02-05 00:00:00+05:30,40.8,42.5,40.4,41.1,10552
2021-02-08 00:00:00+05:30,41.9,42.9,40.35,40.9,4612
2021-02-09 00:00:00+05:30,40.8,40.95,38.6,38.9,3332
2021-02-10 00:00:00+05:30,39.9,39.9,38.45,38.75,5854
2021-02-11 00:00:00+05:30,39.95,41.95,38.9,40.3,4491
2021-02-12 00:00:00+05:30,40.05,43.5,39.3,41.3,21752
2021-02-15 00:00:00+05:30,42.9,43.45,40.85,40.85,4142
2021-02-16 00:00:00+05:30,40.25,42.1,39.15,39.95,8954
2021-02-17 00:00:00+05:30,40.95,40.95,39,39.35,2508
2021-02-18 00:00:00+05:30,39.15,42.45,39.1,39.65,7069
2021-02-19 00:00:00+05:30,38.8,39.5,38.65,39.05,3657
2021-02-22 00:00:00+05:30,39.95,40.65,38,38.25,3546
2021-02-23 00:00:00+05:30,38.95,40.65,37.7,39.45,4021
2021-02-24 00:00:00+05:30,37.35,40.15,37.3,38.7,3679
2021-02-25 00:00:00+05:30,39.7,40.55,39.2,39.9,7215
2021-02-26 00:00:00+05:30,40.05,40.05,37.25,38.95,5814
2021-03-01 00:00:00+05:30,38.95,41.35,38.95,39.65,2962
2021-03-02 00:00:00+05:30,38.65,41.5,38.65,40.5,10888
2021-03-03 00:00:00+05:30,41.8,43.45,40.15,40.45,15899
2021-03-04 00:00:00+05:30,41.25,41.45,39,40.95,4613
2021-03-05 00:00:00+05:30,41,41,39.35,40.15,2662
2021-03-08 00:00:00+05:30,38.05,41,38.05,40,3071
2021-03-09 00:00:00+05:30,40.1,40.2,38.8,38.9,5262
2021-03-10 00:00:00+05:30,40.7,42.75,39.7,42.75,19584
2021-03-12 00:00:00+05:30,47,47,45.1,47,75153
2021-03-15 00:00:00+05:30,48.9,48.9,42.75,44.75,64641
2021-03-16 00:00:00+05:30,45.65,45.65,43,43.25,15310
2021-03-17 00:00:00+05:30,44.5,47.55,44.5,47.55,43980
2021-03-18 00:00:00+05:30,48.8,49.9,48.05,49.9,84034
2021-03-19 00:00:00+05:30,49.1,52.35,47.45,52.35,104366
2021-03-22 00:00:00+05:30,54.5,54.95,54.4,54.95,15955
2021-03-23 00:00:00+05:30,57.65,57.65,54.85,57.65,56672
2021-03-24 00:00:00+05:30,60.5,60.5,57.5,59,127930
2021-03-25 00:00:00+05:30,61.75,61.95,57,61.95,56449
2021-03-26 00:00:00+05:30,64.9,65,58.9,65,25153
2021-03-30 00:00:00+05:30,67.9,67.9,61.75,62.7,36180
2021-03-31 00:00:00+05:30,63.5,63.5,59.6,59.6,6871
2021-04-01 00:00:00+05:30,56.8,59.5,56.65,56.85,26769
2021-04-05 00:00:00+05:30,58,58,54.05,54.05,8973
2021-04-06 00:00:00+05:30,51.7,54.6,51.35,52.15,18036
2021-04-07 00:00:00+05:30,51,53.15,49.8,51.7,4661
2021-04-08 00:00:00+05:30,52.75,54.25,50.5,53.55,7737
2021-04-09 00:00:00+05:30,54,54.9,52.2,52.8,7697
2021-04-12 00:00:00+05:30,50.65,52,50.2,50.5,6113
2021-04-13 00:00:00+05:30,48.1,48.2,48,48,7910
2021-04-15 00:00:00+05:30,45.65,49.65,45.65,47,10692
2021-04-16 00:00:00+05:30,45.15,46.85,44.65,44.7,10655
2021-04-19 00:00:00+05:30,42.55,43.95,42.5,42.7,5884
2021-04-20 00:00:00+05:30,44.55,44.55,40.6,40.95,13886
2021-04-22 00:00:00+05:30,41,42.95,40.05,42.95,6139
2021-04-23 00:00:00+05:30,45.05,45.05,45.05,45.05,2302
2021-04-26 00:00:00+05:30,47.3,47.3,47.3,47.3,9227
2021-04-27 00:00:00+05:30,48.6,49.5,45.1,46.65,33240
2021-04-28 00:00:00+05:30,45.75,47.55,45.75,46.75,12421
2021-04-29 00:00:00+05:30,46.55,47.15,45.6,46,11594
2021-04-30 00:00:00+05:30,45.95,46,44.5,44.95,5813
2021-05-03 00:00:00+05:30,44.6,47.15,43.2,46.15,9673
2021-05-04 00:00:00+05:30,48.2,48.25,45.8,47.1,8152
2021-05-05 00:00:00+05:30,47.8,47.8,46,46.45,3085
2021-05-06 00:00:00+05:30,47.7,48.75,44.75,48.75,16938
2021-05-07 00:00:00+05:30,48.85,50,47,47.95,16319
2021-05-10 00:00:00+05:30,49,49.5,46.85,48.95,10007
2021-05-11 00:00:00+05:30,47.55,50,47.55,49.4,8783
2021-05-12 00:00:00+05:30,49.95,50,47,47.25,10247
2021-05-14 00:00:00+05:30,47.4,48.7,44.9,45.65,13456
2021-05-17 00:00:00+05:30,46.6,47.9,46,46.75,9201
2021-05-18 00:00:00+05:30,47.25,49.05,46.75,49.05,10840
2021-05-19 00:00:00+05:30,50,51.5,49.95,51.5,11820
2021-05-20 00:00:00+05:30,53.8,54.05,50.45,54.05,46055
2021-05-21 00:00:00+05:30,54,56.7,52.5,56,41429
2021-05-24 00:00:00+05:30,55.95,58.8,55.1,58.2,48486
2021-05-25 00:00:00+05:30,58.05,60.5,57.45,58.15,31435
