date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,44.2,45,43.45,43.75,229443
2021-01-04 00:00:00+05:30,43.9,44.65,43.5,43.65,179531
2021-01-05 00:00:00+05:30,42.5,43.9,42.5,43.3,189702
2021-01-06 00:00:00+05:30,44,46.7,43,44.85,699624
2021-01-07 00:00:00+05:30,45.5,46.6,45,45.9,314058
2021-01-08 00:00:00+05:30,46,47.75,45.05,45.45,378813
2021-01-11 00:00:00+05:30,45.9,46.8,43.05,44.05,376035
2021-01-12 00:00:00+05:30,44.5,48.3,44.15,46.2,660210
2021-01-13 00:00:00+05:30,46.55,46.9,44.05,44.75,673891
2021-01-14 00:00:00+05:30,45.2,45.4,44,44.25,185713
2021-01-15 00:00:00+05:30,45,45,42,42.5,319666
2021-01-18 00:00:00+05:30,43,43,40,40.4,198749
2021-01-19 00:00:00+05:30,41.3,41.45,39.65,40.2,261704
2021-01-20 00:00:00+05:30,40.9,42.05,39.9,40.45,503507
2021-01-21 00:00:00+05:30,41.05,41.8,39.4,39.65,289047
2021-01-22 00:00:00+05:30,40.5,40.65,38.7,39.2,185860
2021-01-25 00:00:00+05:30,39.5,39.95,37.5,37.6,242569
2021-01-27 00:00:00+05:30,37.65,39,37.3,37.9,167445
2021-01-28 00:00:00+05:30,37.75,38.4,37.05,37.4,196821
2021-01-29 00:00:00+05:30,38,38.75,37.7,37.95,81571
2021-02-01 00:00:00+05:30,38.7,39,37.8,38.3,188654
2021-02-02 00:00:00+05:30,38.85,39.75,38.5,39.05,125426
2021-02-03 00:00:00+05:30,39.8,39.8,38.8,39.15,206679
2021-02-04 00:00:00+05:30,39.8,39.8,38.8,39.1,459456
2021-02-05 00:00:00+05:30,39.6,41.9,38.9,39.2,530188
2021-02-08 00:00:00+05:30,39.95,39.95,38.5,38.75,472892
2021-02-09 00:00:00+05:30,38.75,39.75,38.1,38.55,394305
2021-02-10 00:00:00+05:30,39.2,39.2,38.1,38.2,71529
2021-02-11 00:00:00+05:30,38.25,39,38.25,38.5,99292
2021-02-12 00:00:00+05:30,38.65,38.95,38.1,38.35,93720
2021-02-15 00:00:00+05:30,38.35,39,38.05,38.35,79346
2021-02-16 00:00:00+05:30,38.1,38.7,37.6,37.8,99934
2021-02-17 00:00:00+05:30,37.75,40.7,37.5,39.75,406617
2021-02-18 00:00:00+05:30,40.4,40.45,39.4,39.7,140270
2021-02-19 00:00:00+05:30,39.4,42.5,39.4,40.6,475367
2021-02-22 00:00:00+05:30,41.9,42,40.7,41.55,313357
2021-02-23 00:00:00+05:30,42.35,42.5,40.85,41.75,357786
2021-02-24 00:00:00+05:30,42.4,42.4,41.45,41.8,137100
2021-02-25 00:00:00+05:30,41.95,44.4,41.4,43.6,755322
2021-02-26 00:00:00+05:30,43,44.2,41.85,42.75,489482
2021-03-01 00:00:00+05:30,42.75,46.1,42.75,44.95,538753
2021-03-02 00:00:00+05:30,46.5,46.75,44.6,45.3,925495
2021-03-03 00:00:00+05:30,45.9,46,44.2,44.5,545544
2021-03-04 00:00:00+05:30,45.4,45.45,44,44.15,587396
2021-03-05 00:00:00+05:30,44.9,44.9,42.25,42.55,509199
2021-03-08 00:00:00+05:30,43.35,43.65,42,42.15,325820
2021-03-09 00:00:00+05:30,42.6,43.2,41.6,41.9,367278
2021-03-10 00:00:00+05:30,42.65,42.65,41.2,41.75,286014
2021-03-12 00:00:00+05:30,42.25,49.8,41.4,48.95,3224932
2021-03-15 00:00:00+05:30,49.9,58.7,49.55,58.7,5767033
2021-03-16 00:00:00+05:30,60.8,64.7,56.75,58.9,3805644
2021-03-17 00:00:00+05:30,59.7,59.7,53.5,55.35,1142409
2021-03-18 00:00:00+05:30,56,57.85,51,53,584723
2021-03-19 00:00:00+05:30,51.75,53.6,49.05,52.7,427965
2021-03-22 00:00:00+05:30,52.75,62.45,52.75,58.25,1561390
2021-03-23 00:00:00+05:30,58.7,61.4,54.6,55.55,930310
2021-03-24 00:00:00+05:30,55.05,57,54.5,54.95,362125
2021-03-25 00:00:00+05:30,54,55.5,52.25,52.25,59127
2021-03-26 00:00:00+05:30,50.05,50.05,49.65,49.65,52321
2021-03-30 00:00:00+05:30,48.7,52,47.2,48.65,148858
2021-03-31 00:00:00+05:30,48.9,50.2,46.5,48.2,61675
2021-04-01 00:00:00+05:30,49.8,49.9,48,49.15,52698
2021-04-05 00:00:00+05:30,49.85,50.9,47.5,48.7,79717
2021-04-06 00:00:00+05:30,48.5,49.6,47.1,47.35,93182
2021-04-07 00:00:00+05:30,47.75,47.75,45.75,46.25,111503
2021-04-08 00:00:00+05:30,47,48.45,46.3,47.55,73095
2021-04-09 00:00:00+05:30,48,49.9,45.25,49.9,272895
2021-04-12 00:00:00+05:30,49.9,52.35,48,52.05,383659
2021-04-13 00:00:00+05:30,52.5,53,50,52,170872
2021-04-15 00:00:00+05:30,51.5,52,49.6,50.3,83486
2021-04-16 00:00:00+05:30,50.3,52,48.6,49.2,71450
2021-04-19 00:00:00+05:30,47,48.25,46.75,46.9,101308
2021-04-20 00:00:00+05:30,45.55,47.9,44.6,45.15,136078
2021-04-22 00:00:00+05:30,45.9,45.9,43.65,44.35,116346
2021-04-23 00:00:00+05:30,44.5,46.55,44.05,46.15,106679
2021-04-26 00:00:00+05:30,47.3,47.3,45.35,46.4,51041
2021-04-27 00:00:00+05:30,46.15,48.25,45.35,47.8,130900
2021-04-28 00:00:00+05:30,47.05,48.6,47,47.3,139120
2021-04-29 00:00:00+05:30,47.9,47.9,46.1,46.6,109050
2021-04-30 00:00:00+05:30,46.45,47.35,45.75,46.15,118046
2021-05-03 00:00:00+05:30,45.9,46.6,45.4,46,216426
