date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,16.5,17.05,15.85,16.75,156643
2021-01-04 00:00:00+05:30,16.85,17.05,16.45,16.9,243098
2021-01-05 00:00:00+05:30,16.95,16.95,16.1,16.55,160674
2021-01-06 00:00:00+05:30,16.4,18.2,15.85,18.2,1853822
2021-01-07 00:00:00+05:30,18.95,20,18.45,19.2,3217264
2021-01-08 00:00:00+05:30,19.35,19.95,18.2,18.5,638453
2021-01-11 00:00:00+05:30,18.2,18.6,17.35,18.1,322264
2021-01-12 00:00:00+05:30,18.1,18.3,17.75,18.05,197870
2021-01-13 00:00:00+05:30,18,18.6,17.9,18.1,190747
2021-01-14 00:00:00+05:30,18.2,19,18.05,18.1,215638
2021-01-15 00:00:00+05:30,18.1,18.3,17.8,17.85,79976
2021-01-18 00:00:00+05:30,17.5,18.15,17.45,17.55,105187
2021-01-19 00:00:00+05:30,17.9,18.5,17.55,18.15,321396
2021-01-20 00:00:00+05:30,18.1,18.1,17.6,17.95,135870
2021-01-21 00:00:00+05:30,17.9,17.95,17.15,17.4,152349
2021-01-22 00:00:00+05:30,17.3,17.75,16.75,16.85,123560
2021-01-25 00:00:00+05:30,17,17.25,16.4,16.6,51133
2021-01-27 00:00:00+05:30,16.6,17.4,16.6,17,83577
2021-01-28 00:00:00+05:30,16.6,17.7,16.6,17.45,58879
2021-01-29 00:00:00+05:30,17.8,17.8,16.8,17.1,40624
2021-02-01 00:00:00+05:30,17.3,17.5,16.75,17.1,55499
2021-02-02 00:00:00+05:30,17.25,17.6,17,17.4,62792
2021-02-03 00:00:00+05:30,17.55,18,17.3,17.5,105816
2021-02-04 00:00:00+05:30,17.4,17.65,17,17.1,90304
2021-02-05 00:00:00+05:30,17.65,17.8,17.2,17.25,137338
2021-02-08 00:00:00+05:30,18,18,17.1,17.3,99347
2021-02-09 00:00:00+05:30,17.3,18.05,17.3,17.7,206156
2021-02-10 00:00:00+05:30,18.05,18.6,17.4,18.35,171711
