date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,1518,1523.9,1505,1519.2,172139
2021-01-04 00:00:00+05:30,1529,1554.9,1524,1549.45,586835
2021-01-05 00:00:00+05:30,1549,1592,1531.9,1584.25,776027
2021-01-06 00:00:00+05:30,1589,1626.45,1575.55,1611.7,1321608
2021-01-07 00:00:00+05:30,1618.8,1622.9,1561,1571.2,588805
2021-01-08 00:00:00+05:30,1583.9,1617.95,1562,1605.15,719490
2021-01-11 00:00:00+05:30,1616.1,1621,1586.4,1609.7,543087
2021-01-12 00:00:00+05:30,1607.4,1616.9,1556.8,1565.95,451933
2021-01-13 00:00:00+05:30,1570.6,1584.3,1533.4,1549,554839
2021-01-14 00:00:00+05:30,1556.1,1564.05,1535.7,1554.7,299112
2021-01-15 00:00:00+05:30,1558,1576,1528.9,1550.85,347984
2021-01-18 00:00:00+05:30,1545,1551.5,1511,1523.55,326922
2021-01-19 00:00:00+05:30,1538.4,1559.9,1506.85,1510,693510
2021-01-20 00:00:00+05:30,1492.5,1507.2,1452.05,1494.9,1607991
2021-01-21 00:00:00+05:30,1502.35,1519,1455.65,1462.85,866491
2021-01-22 00:00:00+05:30,1465.2,1479.35,1420,1438.95,946642
2021-01-25 00:00:00+05:30,1436.85,1453.2,1392.55,1438.25,612863
2021-01-27 00:00:00+05:30,1438.2,1438.2,1367.7,1378.8,1539581
2021-01-28 00:00:00+05:30,1369.95,1391.95,1361.35,1371.25,896401
2021-01-29 00:00:00+05:30,1382,1391.95,1300,1315.5,1339954
2021-02-01 00:00:00+05:30,1326.1,1381.9,1295,1365.35,1468725
2021-02-02 00:00:00+05:30,1402,1419.7,1372,1387.95,1774566
2021-02-03 00:00:00+05:30,1382.5,1463,1382.5,1436.4,1189638
2021-02-04 00:00:00+05:30,1449,1481.85,1410,1470.25,713746
2021-02-05 00:00:00+05:30,1479.85,1487.2,1450.1,1467.75,784535
2021-02-08 00:00:00+05:30,1467.75,1485,1464.55,1473,727597
2021-02-09 00:00:00+05:30,1485.95,1535,1455.8,1512.8,1312996
2021-02-10 00:00:00+05:30,1528.5,1530,1472,1501,1245064
2021-02-11 00:00:00+05:30,1498,1511,1488,1497.8,688878
2021-02-12 00:00:00+05:30,1500,1509,1486.25,1494.9,555080
2021-02-15 00:00:00+05:30,1500,1507.4,1478.1,1497.7,1186259
2021-02-16 00:00:00+05:30,1497.95,1519,1487.55,1504.9,428431
2021-02-17 00:00:00+05:30,1499,1541.8,1495.05,1497.85,871716
2021-02-18 00:00:00+05:30,1501.95,1516,1490.05,1498.2,498508
2021-02-19 00:00:00+05:30,1491,1520,1488.3,1493.75,705510
2021-02-22 00:00:00+05:30,1495.5,1498,1452.25,1466.15,787448
2021-02-23 00:00:00+05:30,1470,1514,1460,1499.45,859167
2021-02-24 00:00:00+05:30,1508,1508,1477,1486.2,199596
2021-02-25 00:00:00+05:30,1499.9,1517.5,1473.25,1482.35,621933
2021-02-26 00:00:00+05:30,1482.35,1482.35,1380.15,1426,2771831
2021-03-01 00:00:00+05:30,1430,1454.95,1406,1427.1,414978
2021-03-02 00:00:00+05:30,1430,1465,1423.05,1431.2,458168
2021-03-03 00:00:00+05:30,1450,1508.15,1443.1,1496.9,576058
2021-03-04 00:00:00+05:30,1489,1500,1466.05,1471.3,303679
2021-03-05 00:00:00+05:30,1466,1501.65,1455.55,1495.55,741576
2021-03-08 00:00:00+05:30,1499,1534.75,1475,1481.5,564677
2021-03-09 00:00:00+05:30,1476.05,1491.7,1438.05,1468.25,711740
2021-03-10 00:00:00+05:30,1483,1487.85,1451.05,1471.1,397041
2021-03-12 00:00:00+05:30,1486,1510,1461.25,1471.2,773920
2021-03-15 00:00:00+05:30,1480,1483.9,1458,1464.9,307023
2021-03-16 00:00:00+05:30,1470,1516.7,1465.6,1493.05,682685
2021-03-17 00:00:00+05:30,1499.95,1505.1,1454.55,1475.1,274443
2021-03-18 00:00:00+05:30,1478.8,1490,1435.1,1438.25,424366
2021-03-19 00:00:00+05:30,1435,1442.5,1402.25,1436.6,581236
2021-03-22 00:00:00+05:30,1440,1460,1430,1434.6,466422
2021-03-23 00:00:00+05:30,1444,1459.9,1432.25,1438.15,422691
2021-03-24 00:00:00+05:30,1425.5,1443.2,1400,1402.85,430059
2021-03-25 00:00:00+05:30,1404,1413.55,1377.55,1388.25,506945
2021-03-26 00:00:00+05:30,1402,1425,1390.5,1400,227045
2021-03-30 00:00:00+05:30,1414,1440,1401.1,1432.95,559402
2021-03-31 00:00:00+05:30,1438.9,1447.9,1419.05,1433.2,346622
2021-04-01 00:00:00+05:30,1438,1446.95,1411,1437.6,410607
2021-04-05 00:00:00+05:30,1451.7,1457.8,1400.05,1410.65,731017
2021-04-06 00:00:00+05:30,1412.1,1439.95,1412.1,1426.95,171421
2021-04-07 00:00:00+05:30,1426.95,1456.95,1422.3,1449.5,296617
2021-04-08 00:00:00+05:30,1449.75,1464.45,1425.75,1430.5,628533
2021-04-09 00:00:00+05:30,1430,1442.9,1406.85,1419.6,909210
2021-04-12 00:00:00+05:30,1419.6,1419.6,1329.9,1351.05,902033
2021-04-13 00:00:00+05:30,1365.6,1387.9,1345.85,1364,748685
2021-04-15 00:00:00+05:30,1364,1395.65,1334.55,1386.6,597218
2021-04-16 00:00:00+05:30,1375,1428,1375,1417.15,825956
2021-04-19 00:00:00+05:30,1410,1410,1333.65,1360.7,1174639
2021-04-20 00:00:00+05:30,1390,1418,1366.1,1399,928686
2021-04-22 00:00:00+05:30,1380.7,1400,1372.3,1380.05,443394
2021-04-23 00:00:00+05:30,1375,1404.9,1375,1381.2,463636
2021-04-26 00:00:00+05:30,1411.2,1462.15,1390.05,1451.6,1698950
2021-04-27 00:00:00+05:30,1464.65,1482,1421.2,1439.7,541749
2021-04-28 00:00:00+05:30,1451.7,1454.5,1421.65,1424.9,273683
2021-04-29 00:00:00+05:30,1431,1446.55,1412.55,1417.85,244982
2021-04-30 00:00:00+05:30,1413.6,1424.1,1400,1414,512509
2021-05-03 00:00:00+05:30,1415,1443,1390.2,1435.6,375833
2021-05-04 00:00:00+05:30,1438,1471.95,1422.9,1443.2,425540
2021-05-05 00:00:00+05:30,1457.75,1472,1440.9,1451.7,273192
2021-05-06 00:00:00+05:30,1456.4,1481.9,1450,1453.75,286586
2021-05-07 00:00:00+05:30,1470,1470,1443,1449.95,244058
2021-05-10 00:00:00+05:30,1449.95,1499.8,1446.75,1497.4,673766
2021-05-11 00:00:00+05:30,1493.5,1513,1470,1484.8,452283
2021-05-12 00:00:00+05:30,1484,1494.7,1463.6,1481.7,408625
2021-05-14 00:00:00+05:30,1485,1518,1460.8,1473.1,490693
2021-05-17 00:00:00+05:30,1474,1497.45,1461.15,1475.5,506156
2021-05-18 00:00:00+05:30,1484.7,1509,1472.25,1487.05,442991
2021-05-19 00:00:00+05:30,1493.9,1511.85,1478.2,1504.95,332439
2021-05-20 00:00:00+05:30,1508.95,1547,1494.9,1527.85,896399
2021-05-21 00:00:00+05:30,1540,1554.75,1506,1527.4,403021
2021-05-24 00:00:00+05:30,1529.9,1553.95,1489.6,1493.5,402726
2021-05-25 00:00:00+05:30,1497.5,1517,1464.1,1479.85,418785
2021-05-26 00:00:00+05:30,1491.8,1499.55,1465.4,1476.85,456731
2021-05-27 00:00:00+05:30,1481.6,1488,1430,1446.4,1130538
2021-05-28 00:00:00+05:30,1460.9,1567,1460.9,1484.05,2092732
2021-05-31 00:00:00+05:30,1491.9,1494.7,1454.85,1471.9,682347
2021-06-01 00:00:00+05:30,1480.5,1496,1462,1466.8,423101
