date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,309.4,328.8,308.7,322.65,596668
2021-01-04 00:00:00+05:30,323.55,337.8,313.1,329.3,390686
2021-01-05 00:00:00+05:30,328,329.8,321,323.65,145482
2021-01-06 00:00:00+05:30,327.8,343.35,324.85,338.15,542159
2021-01-07 00:00:00+05:30,339.5,376.25,339.5,371.45,838970
2021-01-08 00:00:00+05:30,376,396.65,375,387.8,845521
2021-01-11 00:00:00+05:30,394.9,406.35,388,395.95,390756
2021-01-12 00:00:00+05:30,393,397.7,382.3,391.6,271670
2021-01-13 00:00:00+05:30,391,393.05,372.75,377.15,258794
2021-01-14 00:00:00+05:30,376.5,390,368,381.65,169819
2021-01-15 00:00:00+05:30,384.25,387.25,371.05,375.05,128939
2021-01-18 00:00:00+05:30,373.8,381.8,359.4,371.9,153755
2021-01-19 00:00:00+05:30,372.2,387.8,372.2,379.35,183297
2021-01-20 00:00:00+05:30,379.8,384.35,376.45,381.7,78510
2021-01-21 00:00:00+05:30,383.95,387.45,368,371.05,114954
2021-01-22 00:00:00+05:30,371,379,369.65,374.1,85653
2021-01-25 00:00:00+05:30,375.2,378.9,365.65,370.25,80375
2021-01-27 00:00:00+05:30,369.95,370,356.1,363.1,72502
2021-01-28 00:00:00+05:30,361.25,367.75,354.5,356.8,56282
2021-01-29 00:00:00+05:30,359.8,377.6,359.75,366.8,93461
2021-02-01 00:00:00+05:30,378,394,372.65,391.15,281949
2021-02-02 00:00:00+05:30,394.25,413.8,388,409.3,425297
2021-02-03 00:00:00+05:30,414.7,421.5,401.2,405.05,243391
2021-02-04 00:00:00+05:30,405.05,433.6,404.9,426.7,319742
2021-02-05 00:00:00+05:30,428.6,437.8,418.5,433,213170
2021-02-08 00:00:00+05:30,436.9,449.1,435,443.35,213721
2021-02-09 00:00:00+05:30,445,446.9,432.45,438.6,204771
2021-02-10 00:00:00+05:30,436,438.3,418.8,421.3,206017
2021-02-11 00:00:00+05:30,421.3,449.5,412.5,440.05,635987
2021-02-12 00:00:00+05:30,454,462,440,449.3,493466
2021-02-15 00:00:00+05:30,455,496.7,441.1,488.25,846857
2021-02-16 00:00:00+05:30,487.2,521.5,483.05,496.7,1097260
2021-02-17 00:00:00+05:30,495.9,501.8,464.05,479.2,300079
2021-02-18 00:00:00+05:30,479,479,460.25,471.05,361261
2021-02-19 00:00:00+05:30,466.9,484.9,461.1,464.5,187003
2021-02-22 00:00:00+05:30,465.4,477.7,455.7,459.35,156028
2021-02-23 00:00:00+05:30,459.8,473.9,459.65,464.75,148883
2021-02-24 00:00:00+05:30,466,487.8,465.15,482.4,142636
2021-02-25 00:00:00+05:30,484.9,503.8,484,499.8,284033
2021-02-26 00:00:00+05:30,493,524.9,485.85,499.15,951685
2021-03-01 00:00:00+05:30,505.05,526,505.05,512.7,421154
2021-03-02 00:00:00+05:30,515.85,528.8,508,517.25,294480
2021-03-03 00:00:00+05:30,514.05,539,514.05,530.75,323376
2021-03-04 00:00:00+05:30,526,566,522.35,559.45,588448
2021-03-05 00:00:00+05:30,562,568,525.3,552.6,271835
2021-03-08 00:00:00+05:30,555,596.25,555,586.25,745878
2021-03-09 00:00:00+05:30,594,594,553.1,570.9,443229
2021-03-10 00:00:00+05:30,573.9,582,565.2,578.4,227741
2021-03-12 00:00:00+05:30,600,609,527.95,532.65,1014980
2021-03-15 00:00:00+05:30,533.95,537.7,483.15,491.45,605230
2021-03-16 00:00:00+05:30,494.9,499.95,461,466.9,478767
2021-03-17 00:00:00+05:30,466.9,481.7,463.25,466.95,261194
2021-03-18 00:00:00+05:30,470.85,479.9,450,451.2,215426
2021-03-19 00:00:00+05:30,449.95,449.95,433,438.15,255260
2021-03-22 00:00:00+05:30,438.5,472,436,470.65,356874
2021-03-23 00:00:00+05:30,469.1,478.9,462.15,466.4,251260
2021-03-24 00:00:00+05:30,468,474.4,446.65,451.6,194742
2021-03-25 00:00:00+05:30,447.4,464.35,437.3,442.8,319998
2021-03-26 00:00:00+05:30,445.5,460.8,434.05,439.7,230845
2021-03-30 00:00:00+05:30,441.15,449.7,428,430.45,199557
2021-03-31 00:00:00+05:30,429.9,436.75,413.25,416.9,357743
2021-04-01 00:00:00+05:30,421,443.8,420,438.65,334897
2021-04-05 00:00:00+05:30,439,448.95,422.3,433.4,204385
2021-04-06 00:00:00+05:30,435,437.4,423,427.9,139166
2021-04-07 00:00:00+05:30,428.5,448.25,425.55,440.4,214594
2021-04-08 00:00:00+05:30,450,452.9,430.55,432,352032
2021-04-09 00:00:00+05:30,432.4,442.2,432.4,439,108656
2021-04-12 00:00:00+05:30,432,433,396.05,401.5,143909
2021-04-13 00:00:00+05:30,403.55,435.9,403.55,430.1,410690
2021-04-15 00:00:00+05:30,430,464,411.75,453.9,762273
2021-04-16 00:00:00+05:30,453.95,469.95,442.3,446.35,454531
2021-04-19 00:00:00+05:30,435.65,437.7,421.55,426.25,170172
2021-04-20 00:00:00+05:30,430,439.2,422,423.5,202170
2021-04-22 00:00:00+05:30,423.5,467,417.3,453.15,484427
2021-04-23 00:00:00+05:30,454.95,461,440.1,443.9,221917
2021-04-26 00:00:00+05:30,447.4,468,447,453,364043
2021-04-27 00:00:00+05:30,456,485,451.1,474.75,433150
2021-04-28 00:00:00+05:30,487.5,498,471.05,474.35,646178
2021-04-29 00:00:00+05:30,478,482.75,463,467.35,278524
2021-04-30 00:00:00+05:30,462,489,461.1,472.7,456489
2021-05-03 00:00:00+05:30,467.9,505.7,463.95,501.85,805520
2021-05-04 00:00:00+05:30,512,560,502.4,508.35,1207194
2021-05-05 00:00:00+05:30,521,532.15,505,509.3,422060
2021-05-06 00:00:00+05:30,511.9,517.8,489.8,493.8,262719
2021-05-07 00:00:00+05:30,505,515,500.2,503.3,220213
2021-05-10 00:00:00+05:30,506,527,505.8,511.55,460304
2021-05-11 00:00:00+05:30,503.65,531,502,510,390990
2021-05-12 00:00:00+05:30,512,516,493.3,497.15,307286
2021-05-14 00:00:00+05:30,499.7,501.6,478,480.4,249737
2021-05-17 00:00:00+05:30,482,499.6,480,491.55,162254
2021-05-18 00:00:00+05:30,494.9,502.9,491.75,496.35,146471
2021-05-19 00:00:00+05:30,494,520,493.5,498.05,344320
2021-05-20 00:00:00+05:30,495,502.3,488.8,490.7,127353
2021-05-21 00:00:00+05:30,492,503.95,491.4,493.9,127161
2021-05-24 00:00:00+05:30,496,499.5,489.3,491.2,74511
2021-05-25 00:00:00+05:30,493.15,496.2,480.1,481.85,106110
2021-05-26 00:00:00+05:30,481,498,481,486.5,190990
2021-05-27 00:00:00+05:30,488.35,488.35,475,476.5,90943
2021-05-28 00:00:00+05:30,479.6,483.9,469,470.7,96186
2021-05-31 00:00:00+05:30,471.9,474.6,465,466.5,74482
2021-06-01 00:00:00+05:30,468.5,502.9,464.6,499.5,564307
2021-06-02 00:00:00+05:30,503.5,519.85,502,505.1,547763
2021-06-03 00:00:00+05:30,519.1,538.7,518.5,524,664207
2021-06-04 00:00:00+05:30,525.4,558.65,517.75,549.45,681599
2021-06-07 00:00:00+05:30,559.5,574.8,546.1,565.45,649187
2021-06-08 00:00:00+05:30,564.5,566,548,554.15,304719
2021-06-09 00:00:00+05:30,557.95,559,536.45,543.75,275286
2021-06-10 00:00:00+05:30,544.8,570,544.8,553.6,177487
2021-06-11 00:00:00+05:30,556.4,561.05,543.1,546.75,187849
2021-06-14 00:00:00+05:30,547.9,553.65,526.45,550.95,180150
2021-06-15 00:00:00+05:30,551.95,556,543.35,545.75,89388
2021-06-16 00:00:00+05:30,548.9,559.45,537.1,542,144387
2021-06-17 00:00:00+05:30,538.95,546.35,527.8,528.7,121319
2021-06-18 00:00:00+05:30,530.4,537.4,505.25,522.85,109850
2021-06-21 00:00:00+05:30,511.1,548.8,510,545.5,147700
2021-06-22 00:00:00+05:30,551.4,552.7,539.65,543.5,86538
2021-06-23 00:00:00+05:30,540,546.15,531.35,533.65,66586
2021-06-24 00:00:00+05:30,536.95,546.9,532.05,537.55,92877
2021-06-25 00:00:00+05:30,540,555,540,553.2,199992
2021-06-28 00:00:00+05:30,573.9,632.65,555.8,600.9,4295842
2021-06-29 00:00:00+05:30,607.9,649,605,641.2,2873245
2021-06-30 00:00:00+05:30,652,659.9,632.1,642.6,1127404
2021-07-01 00:00:00+05:30,648.45,763.7,631,747.9,5664962
2021-07-02 00:00:00+05:30,735.8,752,705,710.9,1310239
2021-07-05 00:00:00+05:30,717.4,717.4,673.75,681.25,630229
2021-07-06 00:00:00+05:30,684,731.95,682.15,697.6,1454012
2021-07-07 00:00:00+05:30,701,707,682.1,688.35,301730
2021-07-08 00:00:00+05:30,691.85,732.4,685,701.4,1414118
2021-07-09 00:00:00+05:30,704.4,729.35,701.4,707.9,581019
2021-07-12 00:00:00+05:30,710,715.9,698.15,702.05,222994
2021-07-13 00:00:00+05:30,708,769,703,729.95,2354809
