date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,61.05,65.35,61.05,65.35,168163
2021-01-04 00:00:00+05:30,68.6,68.6,67.5,68.6,293725
2021-01-05 00:00:00+05:30,72,72,68,72,326054
2021-01-06 00:00:00+05:30,72,75.6,72,75.6,174949
2021-01-07 00:00:00+05:30,79.35,79.35,76.2,79.35,241505
2021-01-08 00:00:00+05:30,83.3,83.3,76.5,83.3,772834
2021-01-11 00:00:00+05:30,87.45,87.45,82.1,87.25,757209
2021-01-12 00:00:00+05:30,86.9,87.1,82.9,82.9,114681
2021-01-13 00:00:00+05:30,78.8,81.9,78.8,78.8,163481
2021-01-14 00:00:00+05:30,76.1,78,74.9,75.9,176358
2021-01-15 00:00:00+05:30,76.3,79.65,72.5,74.9,134528
2021-01-18 00:00:00+05:30,73.15,75.9,71.2,71.2,90769
2021-01-19 00:00:00+05:30,71.25,74.75,71.25,74.75,45150
2021-01-20 00:00:00+05:30,75.5,76.45,72.5,73.1,60289
2021-01-21 00:00:00+05:30,73.6,74.95,70.5,71.4,59558
2021-01-22 00:00:00+05:30,70.45,71.55,67.9,70.2,60805
2021-01-25 00:00:00+05:30,71.6,72.95,68.05,68.4,81797
2021-01-27 00:00:00+05:30,68.5,71.4,68,68.8,92421
2021-01-28 00:00:00+05:30,70.4,71,67.3,70.5,90999
2021-01-29 00:00:00+05:30,71.95,73.5,69.55,70.25,74863
2021-02-01 00:00:00+05:30,71.05,71.05,68.9,69.85,46699
2021-02-02 00:00:00+05:30,72.95,72.95,69.8,70.75,82339
2021-02-03 00:00:00+05:30,72.6,72.6,67.6,69.6,79259
2021-02-04 00:00:00+05:30,69,71,68.45,70.1,56273
2021-02-05 00:00:00+05:30,70.45,71.7,68.75,69.5,71592
2021-02-08 00:00:00+05:30,70,72.4,69.3,71.85,226588
2021-02-09 00:00:00+05:30,73.5,75.4,70.6,75.4,201528
2021-02-10 00:00:00+05:30,77.8,79.15,73.45,79.05,345912
2021-02-11 00:00:00+05:30,80.9,82.25,78.8,79.9,264155
2021-02-12 00:00:00+05:30,79.9,81.25,77.5,78.1,109271
2021-02-15 00:00:00+05:30,81.95,81.95,74.2,74.2,185901
2021-02-16 00:00:00+05:30,72,73.85,70.75,71.45,101429
2021-02-17 00:00:00+05:30,72.4,72.4,69.45,70.5,78557
2021-02-18 00:00:00+05:30,72.5,74,71,74,98683
2021-02-19 00:00:00+05:30,73.5,77.7,72.65,75.35,221489
2021-02-22 00:00:00+05:30,78.4,78.4,72,72.75,107361
2021-02-23 00:00:00+05:30,73,76.35,73,76.35,179965
2021-02-24 00:00:00+05:30,77.2,80.15,75.45,79.15,313002
2021-02-25 00:00:00+05:30,80.9,80.9,75.55,78.4,103944
2021-02-26 00:00:00+05:30,76.4,77.6,75.05,76.2,78330
2021-03-01 00:00:00+05:30,78.45,78.45,74.85,75.8,73906
2021-03-02 00:00:00+05:30,78.2,78.2,74.15,74.65,59857
2021-03-03 00:00:00+05:30,75.6,75.95,74.2,74.75,86970
2021-03-04 00:00:00+05:30,73,75.75,72.6,74.45,48657
2021-03-05 00:00:00+05:30,75.65,76.35,73,74.8,87665
2021-03-08 00:00:00+05:30,76.3,78.5,74.8,77.95,187877
2021-03-09 00:00:00+05:30,80.5,80.75,74.1,74.85,116159
2021-03-10 00:00:00+05:30,76.75,78.55,74.85,78.55,74615
2021-03-12 00:00:00+05:30,82.45,82.45,82.45,82.45,72929
