date,open,high,low,close,volume
2021-01-04 00:00:00+05:30,3.7,4,3.7,4,7147
2021-01-11 00:00:00+05:30,4,4.2,4,4.2,88206
2021-01-12 00:00:00+05:30,4.4,4.4,4.4,4.4,7930
2021-01-13 00:00:00+05:30,4.6,4.6,4.6,4.6,14994
2021-01-14 00:00:00+05:30,4.8,4.8,4.8,4.8,14027
2021-01-15 00:00:00+05:30,5,5,5,5,24427
2021-01-25 00:00:00+05:30,4.75,4.75,4.75,4.75,3040
2021-02-01 00:00:00+05:30,4.55,4.55,4.55,4.55,1000
2021-02-08 00:00:00+05:30,4.35,4.35,4.35,4.35,18519
2021-02-15 00:00:00+05:30,4.15,4.15,4.15,4.15,14250
2021-02-22 00:00:00+05:30,4.15,4.15,3.95,3.95,11361
2021-03-01 00:00:00+05:30,4,4.1,3.9,4,30110
2021-03-08 00:00:00+05:30,4,4,3.8,3.85,39370
2021-03-09 00:00:00+05:30,3.85,4,3.7,3.7,23201
2021-03-10 00:00:00+05:30,3.85,3.85,3.7,3.7,2642
2021-03-12 00:00:00+05:30,3.7,3.85,3.55,3.8,34303
2021-03-15 00:00:00+05:30,3.95,3.95,3.95,3.95,8190
2021-03-16 00:00:00+05:30,4.1,4.1,4.1,4.1,5115
2021-03-17 00:00:00+05:30,4.3,4.3,4.3,4.3,11540
2021-03-18 00:00:00+05:30,4.5,4.5,4.5,4.5,19602
2021-03-19 00:00:00+05:30,4.7,4.7,4.7,4.7,6883
2021-03-22 00:00:00+05:30,4.9,4.9,4.7,4.9,53616
2021-03-23 00:00:00+05:30,5.1,5.1,4.7,4.7,28676
2021-03-30 00:00:00+05:30,4.5,4.7,4.5,4.5,1300
2021-04-05 00:00:00+05:30,4.5,4.5,4.3,4.3,578
2021-04-12 00:00:00+05:30,4.1,4.1,4.1,4.1,4400
2021-04-19 00:00:00+05:30,4.1,4.1,3.9,3.9,4523
2021-04-26 00:00:00+05:30,4.05,4.05,3.9,4,19094
2021-05-03 00:00:00+05:30,4.1,4.2,4.1,4.2,3018
2021-05-10 00:00:00+05:30,4.05,4.4,4.05,4.4,32179
2021-05-11 00:00:00+05:30,4.6,4.6,4.6,4.6,2821
2021-05-12 00:00:00+05:30,4.8,4.8,4.8,4.8,10762
2021-05-14 00:00:00+05:30,5,5,5,5,3205
2021-05-17 00:00:00+05:30,5.25,5.25,5.25,5.25,221
2021-05-24 00:00:00+05:30,5.25,5.25,5,5.05,44350
2021-05-31 00:00:00+05:30,4.8,5.05,4.8,4.8,5100
2021-06-07 00:00:00+05:30,4.8,4.8,4.6,4.65,14418
2021-06-14 00:00:00+05:30,4.65,4.65,4.65,4.65,29791
2021-06-21 00:00:00+05:30,4.65,4.65,4.65,4.65,12340
2021-06-28 00:00:00+05:30,4.65,4.65,4.65,4.65,6176
2021-07-05 00:00:00+05:30,4.65,4.65,4.65,4.65,730
2021-07-12 00:00:00+05:30,4.85,4.85,4.85,4.85,6706
2021-07-19 00:00:00+05:30,5.05,5.05,5.05,5.05,3952
2021-07-26 00:00:00+05:30,5.3,5.3,5.3,5.3,10413
2021-07-27 00:00:00+05:30,5.8,5.8,5.8,5.8,562
2021-07-28 00:00:00+05:30,6.35,6.35,6.35,6.35,3438
2021-07-29 00:00:00+05:30,6.95,6.95,6.95,6.95,2009
2021-07-30 00:00:00+05:30,7.25,7.25,7.25,7.25,1864
2021-08-02 00:00:00+05:30,7.6,7.6,7.6,7.6,1939
2021-08-03 00:00:00+05:30,7.95,7.95,7.95,7.95,1592
2021-08-04 00:00:00+05:30,8.3,8.3,8.3,8.3,25981
2021-08-05 00:00:00+05:30,8.7,8.7,8.7,8.7,34244
2021-08-06 00:00:00+05:30,9.1,9.1,9.1,9.1,11271
2021-08-09 00:00:00+05:30,9.55,9.55,9.55,9.55,8796
2021-08-10 00:00:00+05:30,10,10,10,10,17950
2021-08-11 00:00:00+05:30,9.75,10.45,9.5,9.5,406920
2021-08-12 00:00:00+05:30,9.1,9.95,9.05,9.1,205912
2021-08-13 00:00:00+05:30,9.45,9.5,8.65,9.05,141214
2021-08-16 00:00:00+05:30,8.85,9.5,8.85,9.2,92024
2021-08-17 00:00:00+05:30,9.35,9.65,8.75,9.3,54614
2021-08-18 00:00:00+05:30,9.55,9.55,8.85,9.4,59484
2021-08-20 00:00:00+05:30,9.4,9.4,8.95,8.95,12264
2021-08-23 00:00:00+05:30,9,9,8.55,8.55,5462
2021-08-24 00:00:00+05:30,8.55,8.8,8.15,8.2,38886
2021-08-25 00:00:00+05:30,8.35,8.6,7.8,8.35,55542
2021-08-26 00:00:00+05:30,8.55,8.75,8.35,8.75,64171
2021-08-27 00:00:00+05:30,9.15,9.15,9.1,9.15,81493
2021-08-30 00:00:00+05:30,9.6,9.6,9.15,9.55,73599
2021-08-31 00:00:00+05:30,9.9,10,9.5,9.7,115224
2021-09-01 00:00:00+05:30,10.1,10.15,9.25,10,42547
2021-09-02 00:00:00+05:30,10.15,10.5,9.8,10.1,88753
2021-09-03 00:00:00+05:30,9.8,10.15,9.6,10.1,78279
2021-09-06 00:00:00+05:30,10.3,10.5,9.6,9.9,54753
2021-09-07 00:00:00+05:30,10.25,10.25,9.5,9.85,49809
2021-09-08 00:00:00+05:30,10.3,10.3,9.5,10.2,72143
2021-09-09 00:00:00+05:30,10.2,10.2,9.8,10,36627
2021-09-13 00:00:00+05:30,10.1,10.2,9.8,9.9,37131
2021-09-14 00:00:00+05:30,10.2,10.2,9.45,9.8,26363
2021-09-15 00:00:00+05:30,10.15,10.15,9.35,9.9,49590
2021-09-16 00:00:00+05:30,9.6,9.85,9.45,9.55,36222
2021-09-17 00:00:00+05:30,9.45,9.75,9.15,9.65,26184
2021-09-20 00:00:00+05:30,9.95,9.95,9.25,9.7,48719
2021-09-21 00:00:00+05:30,9.8,9.8,9.25,9.5,19953
2021-09-22 00:00:00+05:30,9.65,9.8,9.05,9.2,17309
2021-09-23 00:00:00+05:30,9.6,9.65,8.75,9.4,18126
2021-09-24 00:00:00+05:30,9.6,9.75,8.95,9.35,53269
2021-09-27 00:00:00+05:30,9.2,9.45,8.9,9.45,45270
2021-09-28 00:00:00+05:30,9,9.9,9,9.3,129126
2021-09-29 00:00:00+05:30,9.15,9.75,9,9.5,36832
2021-09-30 00:00:00+05:30,9.95,9.95,9.3,9.75,49646
2021-10-01 00:00:00+05:30,10.15,10.15,9.4,9.95,30920
2021-10-04 00:00:00+05:30,10,10.4,10,10.4,62691
2021-10-05 00:00:00+05:30,10.9,10.9,10.9,10.9,4953
2021-10-06 00:00:00+05:30,11.4,11.4,11.4,11.4,14893
2021-10-07 00:00:00+05:30,11.95,11.95,11.95,11.95,10682
2021-10-08 00:00:00+05:30,12.5,12.5,11.4,12.5,140596
2021-10-11 00:00:00+05:30,13.1,13.1,11.9,13.1,36742
2021-10-12 00:00:00+05:30,13.55,13.75,13.55,13.75,39152
2021-10-13 00:00:00+05:30,14.4,14.4,13.75,14.4,57430
2021-10-14 00:00:00+05:30,15,15.1,15,15.1,36432
2021-10-18 00:00:00+05:30,15.85,15.85,15.5,15.85,68936
2021-10-19 00:00:00+05:30,16.6,16.6,15.1,15.1,171915
2021-10-20 00:00:00+05:30,14.35,14.35,14.35,14.35,25726
2021-10-21 00:00:00+05:30,13.65,13.65,13.65,13.65,23055
2021-10-22 00:00:00+05:30,13,13.05,13,13,50445
2021-10-25 00:00:00+05:30,12.4,13.3,12.35,12.35,62997
2021-10-26 00:00:00+05:30,11.75,11.75,11.75,11.75,23680
2021-10-27 00:00:00+05:30,11.2,12.3,11.2,12.3,123323
2021-10-28 00:00:00+05:30,12.9,12.9,11.7,11.7,171710
2021-10-29 00:00:00+05:30,11.3,11.85,11.15,11.25,159722
2021-11-01 00:00:00+05:30,10.8,11.5,10.7,10.7,67567
2021-11-02 00:00:00+05:30,10.2,11.15,10.2,11,329736
2021-11-03 00:00:00+05:30,11.35,11.55,11.35,11.55,43127
2021-11-04 00:00:00+05:30,12.1,12.1,12,12.1,19662
2021-11-08 00:00:00+05:30,12.7,12.7,12.4,12.7,50831
2021-11-09 00:00:00+05:30,13.25,13.3,12.95,13.3,64152
2021-11-10 00:00:00+05:30,13.95,13.95,13.55,13.95,53667
2021-11-11 00:00:00+05:30,14.6,14.6,14.25,14.6,153290
2021-11-12 00:00:00+05:30,15.2,15.2,13.9,13.9,93307
2021-11-15 00:00:00+05:30,13.25,13.25,13.25,13.25,14922
2021-11-16 00:00:00+05:30,12.6,12.6,12.6,12.6,11119
2021-11-17 00:00:00+05:30,12.1,12.65,12,12,119908
2021-11-18 00:00:00+05:30,11.4,12.6,11.4,11.75,237529
