date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,895,904,893.05,900.15,4632855
2021-01-04 00:00:00+05:30,910,914,887.45,897.85,6991890
2021-01-05 00:00:00+05:30,891.7,927.35,883,921.65,11907501
2021-01-06 00:00:00+05:30,924.95,936.75,909.4,922.35,9768197
2021-01-07 00:00:00+05:30,935,961.65,931.1,952.05,12154311
2021-01-08 00:00:00+05:30,965,976,932.1,939.8,10838196
2021-01-11 00:00:00+05:30,942.9,950.95,926.2,929.1,8419415
2021-01-12 00:00:00+05:30,920,941.5,906.55,927.65,8805330
2021-01-13 00:00:00+05:30,932.8,953.5,926.15,942.75,9473962
2021-01-14 00:00:00+05:30,953,980.7,951.25,969.7,14887258
2021-01-15 00:00:00+05:30,974,983,953.45,965.9,9195430
2021-01-18 00:00:00+05:30,959,960,924,932.8,10668611
2021-01-19 00:00:00+05:30,942.05,952,936.25,939.9,6309233
2021-01-20 00:00:00+05:30,936.9,953.85,928.25,947.7,7004445
2021-01-21 00:00:00+05:30,959.4,967,918.25,925.85,8216362
2021-01-22 00:00:00+05:30,930,934,890,893.3,11366492
2021-01-25 00:00:00+05:30,906,912.35,839.2,849.15,11829328
2021-01-27 00:00:00+05:30,848,860.8,806,820.15,15810173
2021-01-28 00:00:00+05:30,801.3,828.85,789,802.6,13789865
2021-01-29 00:00:00+05:30,817.1,860.85,815.65,846.1,19305853
2021-02-01 00:00:00+05:30,859,981.4,856,970.6,38067807
2021-02-02 00:00:00+05:30,982.4,999,949.3,975.65,20556081
2021-02-03 00:00:00+05:30,980,1080.8,972.2,1048.55,34995822
2021-02-04 00:00:00+05:30,1034.9,1042,1016,1032.15,13666242
2021-02-05 00:00:00+05:30,1045,1085,1016.3,1025.1,19524257
2021-02-08 00:00:00+05:30,1036.05,1055,1028,1035.1,7162284
2021-02-09 00:00:00+05:30,1044,1051.6,1020,1025.8,7984133
2021-02-10 00:00:00+05:30,1035,1038.45,1003.6,1022.8,7815034
2021-02-11 00:00:00+05:30,1025,1036,1015.3,1021.9,5760021
2021-02-12 00:00:00+05:30,1023.8,1059.5,1012,1027.4,13959383
2021-02-15 00:00:00+05:30,1044.9,1063,1037.7,1057.6,9121286
2021-02-16 00:00:00+05:30,1068,1096.5,1041.1,1058.25,13883441
2021-02-17 00:00:00+05:30,1080,1085,1026.2,1033.2,13855321
2021-02-18 00:00:00+05:30,1045,1055.4,1033.4,1046.05,8911120
2021-02-19 00:00:00+05:30,1035,1074.55,1027.8,1065.9,14557527
2021-02-22 00:00:00+05:30,1064.95,1067.1,1018,1022.9,9412265
2021-02-23 00:00:00+05:30,1033.15,1053.95,1018,1048.3,7160332
2021-02-24 00:00:00+05:30,1047.3,1076,1041.25,1070,6833820
2021-02-25 00:00:00+05:30,1080,1119.5,1079,1109.75,12716781
2021-02-26 00:00:00+05:30,1070,1082.9,1051.25,1062.95,12247085
2021-03-01 00:00:00+05:30,1075,1096.6,1063.15,1067.95,6358886
2021-03-02 00:00:00+05:30,1075,1086.3,1060,1073.35,4917345
2021-03-03 00:00:00+05:30,1080,1104,1077.15,1099.75,5695638
2021-03-04 00:00:00+05:30,1078,1116,1072.6,1091.95,6128220
2021-03-05 00:00:00+05:30,1084,1084,1025.45,1039.9,13926140
2021-03-08 00:00:00+05:30,1054,1055.45,1014.5,1018.25,10522267
2021-03-09 00:00:00+05:30,1025.6,1035.6,1005,1024.8,9915907
2021-03-10 00:00:00+05:30,1043.15,1060,1033.05,1039.85,8832614
2021-03-12 00:00:00+05:30,1052,1056.4,1015.65,1022.65,5735382
2021-03-15 00:00:00+05:30,1027.8,1043.6,988.2,1038.65,8020745
2021-03-16 00:00:00+05:30,1045,1049.9,1028,1034.7,5161126
2021-03-17 00:00:00+05:30,1032,1039,1002.6,1008.95,4712570
2021-03-18 00:00:00+05:30,1025,1030.7,988,1002.8,5797610
2021-03-19 00:00:00+05:30,990,1018.8,981.1,1011.9,6838935
2021-03-22 00:00:00+05:30,1006,1011.85,961.05,968.15,12692489
2021-03-23 00:00:00+05:30,977,994.4,970,990.05,7530882
2021-03-24 00:00:00+05:30,980.05,985,955,958.7,5028085
2021-03-25 00:00:00+05:30,958.7,970,928.85,957.8,7614686
2021-03-26 00:00:00+05:30,973.8,976.5,950,952.75,4891178
2021-03-30 00:00:00+05:30,966,978.4,955,961.05,5832348
2021-03-31 00:00:00+05:30,961.05,969,950,954.45,4453746
2021-04-01 00:00:00+05:30,964,997,959.1,993.3,7932671
2021-04-05 00:00:00+05:30,985,988.95,918.55,937.35,11223431
2021-04-06 00:00:00+05:30,947.8,954.2,921.5,927.25,6925347
2021-04-07 00:00:00+05:30,931,952.45,921.15,945.55,5714921
2021-04-08 00:00:00+05:30,949,957.95,932,934.9,3946239
2021-04-09 00:00:00+05:30,935,939.7,917.45,923.65,4980026
2021-04-12 00:00:00+05:30,884,890,841,844.4,10674765
2021-04-13 00:00:00+05:30,850,881,844.5,877.4,6778840
2021-04-15 00:00:00+05:30,867.5,883.8,841.25,858.35,6862663
2021-04-16 00:00:00+05:30,864.1,869.95,853.05,862.95,5338683
2021-04-19 00:00:00+05:30,829.95,836.55,811,832,8550122
2021-04-20 00:00:00+05:30,845,864.8,840.05,845,8240669
2021-04-22 00:00:00+05:30,831,839.95,815,835.7,9717099
2021-04-23 00:00:00+05:30,830,859.95,822.8,850,7695324
2021-04-26 00:00:00+05:30,857,870.95,851.45,859.55,4894557
2021-04-27 00:00:00+05:30,859.55,886,859,882.45,5202133
2021-04-28 00:00:00+05:30,890,931,888,926.9,9935828
2021-04-29 00:00:00+05:30,936.85,958.85,917.1,939.45,12187280
2021-04-30 00:00:00+05:30,928,948.5,915.1,934.95,7301455
2021-05-03 00:00:00+05:30,929,967.7,899,913.6,16854199
2021-05-04 00:00:00+05:30,930,934.5,906,910.15,7499852
2021-05-05 00:00:00+05:30,923,934.75,909.3,931.15,5975741
2021-05-06 00:00:00+05:30,937.45,938.65,920,924.95,3705397
2021-05-07 00:00:00+05:30,932.55,951.8,925,926.2,5419712
2021-05-10 00:00:00+05:30,939,949.95,931.15,945.4,5087341
2021-05-11 00:00:00+05:30,923.95,957,922.9,948.85,5732298
2021-05-12 00:00:00+05:30,942,950.55,914,916.65,5074561
2021-05-14 00:00:00+05:30,923,923,888.1,890.85,6169600
2021-05-17 00:00:00+05:30,897.1,959.9,897.1,956.45,10987165
2021-05-18 00:00:00+05:30,967,986.95,967,974.55,8715366
2021-05-19 00:00:00+05:30,965,978.6,961.2,967,4787294
2021-05-20 00:00:00+05:30,963,987.9,963,975.5,5835440
2021-05-21 00:00:00+05:30,985,1020,981.8,1016,12591860
2021-05-24 00:00:00+05:30,1018.9,1022.75,997.05,1004.75,5385688
2021-05-25 00:00:00+05:30,1012,1012.75,982.4,993.9,4583345
2021-05-26 00:00:00+05:30,998.85,1007.95,987,998.45,2972854
2021-05-27 00:00:00+05:30,995.3,1013.3,987,1006.85,4427518
2021-05-28 00:00:00+05:30,1014.5,1025.5,1003,1019.35,5388785
2021-05-31 00:00:00+05:30,1015,1020.4,1004,1013,2643491
2021-06-01 00:00:00+05:30,1016,1031.35,1006,1010.05,3766919
2021-06-02 00:00:00+05:30,1008.9,1030,1003.5,1028,4177378
2021-06-03 00:00:00+05:30,1031,1037.25,964.05,1005.75,14752885
2021-06-04 00:00:00+05:30,1012.2,1023.4,1004,1009.3,4323154
2021-06-07 00:00:00+05:30,1018,1032.65,1009.5,1025.2,3823401
2021-06-08 00:00:00+05:30,1025,1028,1005.6,1020.15,3141410
2021-06-09 00:00:00+05:30,1019,1035.7,997.25,1003.55,4767864
2021-06-10 00:00:00+05:30,1012,1028.6,1006,1024.35,2984339
2021-06-11 00:00:00+05:30,1028,1032,1012.1,1015.1,2679470
2021-06-14 00:00:00+05:30,1012,1028,993.75,1024.3,3982216
2021-06-15 00:00:00+05:30,1025,1050,1025,1034.45,6026006
2021-06-16 00:00:00+05:30,1030,1038.7,1010.35,1013.7,3325800
2021-06-17 00:00:00+05:30,1002,1021.8,968,984.05,6126591
2021-06-18 00:00:00+05:30,993.9,999.8,960,995.4,4895262
