date,open,high,low,close,volume
2021-09-16 00:00:00+05:30,72.9,75.45,72.6,73.25,35222
2021-09-17 00:00:00+05:30,73.25,74.2,72.15,73,104509
2021-09-20 00:00:00+05:30,72,75.8,70.5,71.2,103347
2021-09-21 00:00:00+05:30,71.2,72.05,65.3,69.65,81369
2021-09-22 00:00:00+05:30,68.05,71.25,68.05,70.25,68563
2021-09-23 00:00:00+05:30,72.5,72.95,68.5,69.15,34844
2021-09-24 00:00:00+05:30,73.35,73.35,68.1,69.55,64108
2021-09-27 00:00:00+05:30,65,71.5,65,69,53486
2021-09-28 00:00:00+05:30,69.3,70.9,67.25,69,63492
2021-09-29 00:00:00+05:30,68.25,70.5,67.35,69.9,50118
2021-09-30 00:00:00+05:30,71,71.95,68.15,70.25,62785
2021-10-01 00:00:00+05:30,70.05,71.7,68.65,70.85,57021
2021-10-04 00:00:00+05:30,70.85,74.95,70.3,71.5,221809
2021-10-05 00:00:00+05:30,72.7,81,71.5,74.15,1594506
2021-10-06 00:00:00+05:30,75.9,77.8,69.5,71.15,183506
2021-10-07 00:00:00+05:30,73.8,73.8,69.3,70.1,125975
2021-10-08 00:00:00+05:30,70.1,72.45,69.65,70.5,97508
2021-10-11 00:00:00+05:30,69.3,71,69,69.7,91227
2021-10-12 00:00:00+05:30,71.5,71.5,68.35,69.35,85797
2021-10-13 00:00:00+05:30,70.7,70.7,68,68.55,64323
2021-10-14 00:00:00+05:30,70.35,70.35,68.05,68.45,81233
2021-10-18 00:00:00+05:30,65.8,71,65.8,68.5,147978
2021-10-19 00:00:00+05:30,68,70.5,63.5,65.2,87456
2021-10-20 00:00:00+05:30,65.2,67.3,65,66.75,68149
2021-10-21 00:00:00+05:30,68.8,68.8,65.8,66.65,55006
2021-10-22 00:00:00+05:30,66.1,69,66,66.2,48508
2021-10-25 00:00:00+05:30,65.15,67.7,62.7,64.6,81120
2021-10-26 00:00:00+05:30,65.9,66.9,63.25,64.95,26417
2021-10-27 00:00:00+05:30,65.8,67,63,66.25,41829
2021-10-28 00:00:00+05:30,67.6,67.6,64.2,64.5,16389
2021-10-29 00:00:00+05:30,64.05,65.95,62.9,65.55,63062
2021-11-01 00:00:00+05:30,66.9,66.9,57.85,63.3,77502
2021-11-02 00:00:00+05:30,63.6,64.7,63,63.2,11961
2021-11-03 00:00:00+05:30,61.25,64.45,61.25,63.3,45739
2021-11-04 00:00:00+05:30,63.55,67,63.3,64.05,6438
2021-11-08 00:00:00+05:30,63.1,66.7,62.2,65.45,47110
2021-11-09 00:00:00+05:30,66,66.45,63.25,65,98244
2021-11-10 00:00:00+05:30,66.7,66.7,63.5,65.85,71471
2021-11-11 00:00:00+05:30,66.85,67.35,65.15,65.5,48095
2021-11-12 00:00:00+05:30,65.5,65.85,64.6,65.2,8430
2021-11-15 00:00:00+05:30,67.2,68,65.5,66.8,58505
2021-11-16 00:00:00+05:30,66.7,68,66,66.3,43709
2021-11-17 00:00:00+05:30,68.6,68.6,66.95,67.75,87907
2021-11-18 00:00:00+05:30,69.4,69.4,66.5,67.45,95239
2021-11-22 00:00:00+05:30,69.4,69.4,62.05,65.35,35844
2021-11-23 00:00:00+05:30,67,67,65.3,66.3,14587
2021-11-24 00:00:00+05:30,68.85,68.85,66.5,67.3,64132
2021-11-25 00:00:00+05:30,68.75,68.95,66.15,67.25,61997
2021-11-26 00:00:00+05:30,67.05,68.05,65.05,66.4,108715
2021-11-29 00:00:00+05:30,64.3,66.2,62.7,64.8,75222
2021-11-30 00:00:00+05:30,66.65,66.65,63.35,65.8,58591
2021-12-01 00:00:00+05:30,66,67.5,64.05,67,58322
2021-12-02 00:00:00+05:30,68,68,65.6,66.4,24858
2021-12-03 00:00:00+05:30,68,68.7,65,65.5,25648
2021-12-06 00:00:00+05:30,65,67.9,64.6,66.95,77834
2021-12-07 00:00:00+05:30,66.9,67.9,65.05,65.55,20214
2021-12-08 00:00:00+05:30,66.8,67.8,66,67.25,46787
2021-12-09 00:00:00+05:30,65.3,68.75,65.3,67.1,18680
2021-12-10 00:00:00+05:30,66.05,67.95,66.05,67.2,76954
2021-12-13 00:00:00+05:30,67.7,77.8,67.3,75,670340
2021-12-14 00:00:00+05:30,75.1,75.5,70.55,71.75,271243
2021-12-15 00:00:00+05:30,77,79.5,72.15,72.8,474610
2021-12-16 00:00:00+05:30,74,75.4,70.05,72.25,120850
2021-12-17 00:00:00+05:30,73.9,73.9,69.55,71.2,80417
2021-12-20 00:00:00+05:30,70.5,72.9,66.65,69.9,122911
2021-12-21 00:00:00+05:30,74.5,74.5,67.7,71.45,225466
2021-12-22 00:00:00+05:30,71.8,75.2,71,73.15,748105
2021-12-23 00:00:00+05:30,74.7,75.3,71.2,71.6,299366
2021-12-24 00:00:00+05:30,73,73,70,71.35,77541
2021-12-27 00:00:00+05:30,71.4,72.85,68,70.45,244794
2021-12-28 00:00:00+05:30,71.5,75.5,71.35,72.8,677492
2021-12-29 00:00:00+05:30,73.8,74.7,71.7,72.3,117742
2021-12-30 00:00:00+05:30,72.9,73.5,72,72.15,78557
2021-12-31 00:00:00+05:30,73,73,70.1,71.6,124100
