date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,7.75,7.75,7.55,7.75,21431032
2021-01-04 00:00:00+05:30,8.1,8.1,7.4,7.65,55375380
2021-01-05 00:00:00+05:30,7.7,7.85,7.5,7.7,11027329
2021-01-06 00:00:00+05:30,7.9,8.05,7.8,8.05,31618116
2021-01-07 00:00:00+05:30,8.45,8.45,8.3,8.45,18162609
2021-01-08 00:00:00+05:30,8.75,8.85,8.05,8.05,33361607
2021-01-11 00:00:00+05:30,8.05,8.45,7.75,7.9,13392134
2021-01-12 00:00:00+05:30,7.8,8.25,7.55,8,11967926
2021-01-13 00:00:00+05:30,8.1,8.3,7.8,7.85,10544618
2021-01-14 00:00:00+05:30,7.9,7.95,7.55,7.65,6994380
2021-01-15 00:00:00+05:30,7.65,7.65,7.35,7.4,6287975
2021-01-18 00:00:00+05:30,7.4,7.55,7.05,7.05,7578827
2021-01-19 00:00:00+05:30,7,7.4,7,7.3,12601315
2021-01-20 00:00:00+05:30,7.3,7.65,7.05,7.6,21334948
2021-01-21 00:00:00+05:30,7.5,7.65,7.25,7.25,20393547
2021-01-22 00:00:00+05:30,7.25,7.4,6.95,7.1,8985843
2021-01-25 00:00:00+05:30,7.1,7.3,6.85,6.95,4714736
2021-01-27 00:00:00+05:30,6.95,7,6.65,6.85,8399307
2021-01-28 00:00:00+05:30,6.65,7.15,6.65,6.9,8748563
2021-01-29 00:00:00+05:30,6.95,7.2,6.8,6.95,7564787
2021-02-01 00:00:00+05:30,7.15,7.25,6.95,7.2,9200161
2021-02-02 00:00:00+05:30,7.45,7.45,7.05,7.2,11121071
2021-02-03 00:00:00+05:30,7.2,7.25,7,7.05,4859390
2021-02-04 00:00:00+05:30,7.05,7.1,6.95,7,3974341
2021-02-05 00:00:00+05:30,7,7.05,6.75,6.75,4641945
2021-02-08 00:00:00+05:30,6.75,7.05,6.6,7.05,7375527
2021-02-09 00:00:00+05:30,7.4,7.4,7.2,7.3,16358168
2021-02-10 00:00:00+05:30,7.3,7.35,6.95,7,8177261
2021-02-11 00:00:00+05:30,6.95,7.15,6.9,6.95,4552111
2021-02-12 00:00:00+05:30,7.15,7.15,6.9,7,5387056
2021-02-15 00:00:00+05:30,7.25,7.35,7.05,7.35,11816553
2021-02-16 00:00:00+05:30,7.5,7.7,7.15,7.3,14749002
2021-02-17 00:00:00+05:30,7.3,7.4,7.2,7.25,3546746
2021-02-18 00:00:00+05:30,7.3,7.4,7.1,7.25,5954580
2021-02-19 00:00:00+05:30,7.45,7.45,6.95,7,4762271
2021-02-22 00:00:00+05:30,7,7.15,7,7,4140212
2021-02-23 00:00:00+05:30,7.05,7.35,7,7.35,7036372
2021-02-24 00:00:00+05:30,7.45,7.7,7.4,7.7,17031620
2021-02-25 00:00:00+05:30,7.85,8.05,7.85,8.05,10199967
2021-02-26 00:00:00+05:30,7.95,8.45,7.75,8.45,36121595
2021-03-01 00:00:00+05:30,8.85,8.85,8.85,8.85,8195651
2021-03-02 00:00:00+05:30,9.25,9.25,9.15,9.25,22616648
2021-03-03 00:00:00+05:30,9.7,9.7,8.8,8.8,28243075
2021-03-04 00:00:00+05:30,8.4,9.2,8.4,9.2,28977008
2021-03-05 00:00:00+05:30,9.2,9.45,8.75,8.8,19826988
2021-03-08 00:00:00+05:30,8.9,9.1,8.55,8.75,8005786
2021-03-09 00:00:00+05:30,8.9,8.9,8.35,8.35,10651603
2021-03-10 00:00:00+05:30,8.4,8.55,7.95,8,12551362
2021-03-12 00:00:00+05:30,8.1,8.4,8.05,8.3,12550324
2021-03-15 00:00:00+05:30,8.4,8.4,7.9,8.25,14358065
2021-03-16 00:00:00+05:30,8.25,8.25,7.85,7.85,9425105
2021-03-17 00:00:00+05:30,7.6,7.6,7.5,7.5,6542272
2021-03-18 00:00:00+05:30,7.15,7.5,7.15,7.15,15172146
2021-03-19 00:00:00+05:30,6.8,7,6.8,6.9,18623684
2021-03-22 00:00:00+05:30,7,7.15,6.85,7,9175122
2021-03-23 00:00:00+05:30,7.05,7.35,7.05,7.35,6422153
2021-03-24 00:00:00+05:30,7.6,7.7,7.45,7.65,15193040
2021-03-25 00:00:00+05:30,7.8,7.85,7.3,7.3,6781428
2021-03-26 00:00:00+05:30,7.05,7.5,6.95,7.3,17958871
2021-03-30 00:00:00+05:30,7.3,7.4,6.95,7,6900503
2021-03-31 00:00:00+05:30,6.95,7.05,6.8,6.9,6876496
2021-04-01 00:00:00+05:30,7,7.2,6.95,7.1,5127028
2021-04-05 00:00:00+05:30,7.15,7.2,6.85,7,8252089
2021-04-06 00:00:00+05:30,7.05,7.35,6.95,7.15,6539001
2021-04-07 00:00:00+05:30,7.25,7.5,7.15,7.5,9178940
2021-04-08 00:00:00+05:30,8,8.7,7.85,8.3,32471256
2021-04-09 00:00:00+05:30,8.45,8.75,7.75,8.05,14608508
2021-04-12 00:00:00+05:30,7.65,7.8,7.05,7.2,13757404
2021-04-13 00:00:00+05:30,7.15,7.8,7.15,7.4,7797039
2021-04-15 00:00:00+05:30,7.3,7.4,7.05,7.2,6091299
2021-04-16 00:00:00+05:30,7.1,7.3,7.05,7.15,3563874
2021-04-19 00:00:00+05:30,6.95,7,6.4,6.85,7032876
2021-04-20 00:00:00+05:30,6.95,7.15,6.8,6.85,5032889
2021-04-22 00:00:00+05:30,6.85,7.25,6.7,7,6312879
2021-04-23 00:00:00+05:30,7,7.25,6.95,7.1,6579657
2021-04-26 00:00:00+05:30,7.15,7.2,7,7,3514825
2021-04-27 00:00:00+05:30,7.05,7.15,7,7,4900183
2021-04-28 00:00:00+05:30,7.05,7.15,7,7,2725240
2021-04-29 00:00:00+05:30,7.05,7.55,7.05,7.25,17010823
2021-04-30 00:00:00+05:30,7.1,7.65,7,7.1,17031245
